idEstacion,nombre,latitud,longitud
BN-RETIR,RETIRO,-34.590177,-58.373959
BN-SALDI,SALDIAS,-34.57248,-58.40267
BN-CUNIV,CIUDAD UNIVERSITARIA,-34.542826,-58.447824
BN-ARIST,ARISTOBULO DEL VALLE,-34.537541,-58.4781
BN-PADIL,M.PADILLA,-34.543625,-58.500191
BN-FLORI,FLORIDA,-34.537142,-58.513088
BN-MUNRO,MUNRO,-34.531676,-58.523844
BN-CARAP,CARAPACHAY,-34.528823,-58.537407
BN-VADEL,VILLA ADELINA,-34.523652,-58.546344
BN-BOULO,BOULOGNE,-34.508997,-58.564981
BN-MONTE,VICE ALMIRANTE MONTES,-34.504146,-58.61952
BN-DTORC,DON TORCUATO,-34.502607,-58.642601
BN-SOURD,SOURDEAUX,-34.502937,-58.666113
BN-VMAYO,VILLA DE MAYO,-34.503336,-58.680866
BN-POLVO,LOS POLVORINES,-34.498734,-58.695069
BN-PNOGU,ING. PABLO NOGUES,-34.493712,-58.706486
BN-GBOUR,GRAND BOURG,-34.485303,-58.725407
BN-TALTA,TIERRAS ALTAS,-34.478966,-58.739506
BN-TORTU,TORTUGUITAS,-34.470693,-58.758042
BN-MALBE,M.ALBERTI,-34.462856,-58.775712
BN-DVISO,DEL VISO,-34.453473,-58.796555
BN-CGRIE,CECILIA_GRIERSON,-34.439214,-58.824187
BN-VROSA,VILLA ROSA,-34.416311,-58.87224
LM-RETIR,RETIRO,-34.5909122,-58.3750538
LM-LTORR,L. DE LA TORRE,-34.5625299,-58.4367116
LM-BELGC,BELGRANO C,-34.5584914,-58.4494807
LM-NUNEZ,NÚÑEZ,-34.5487486,-58.4625541
LM-RIVAD,RIVADAVIA,-34.5365204,-58.4680326
LM-VLOPE,VTE. LÓPEZ,-34.5245542,-58.4728819
LM-OLIVO,OLIVOS,-34.5082230,-58.4804366
LM-LUCIL,LA LUCILA,-34.4974813,-58.4886129
LM-MARTI,MARTÍNEZ,-34.4881444,-58.4970405
LM-ACASU,ACASSUSO,-34.4799498,-58.5040028
LM-SISID,SAN ISIDRO,-34.4717862,-58.5137942
LM-BECCA,BECCAR,-34.4608043,-58.5265437
LM-VICTO,VICTORIA,-34.4564919,-58.5404899
LM-VIRRE,VIRREYES,-34.4503293,-58.5511975
LM-SFERN,SAN FERNANDO,-34.4440924,-58.5590584
LM-CARUP,CARUPÁ,-34.4381545,-58.5666484
LM-TIGRE,TIGRE,-34.4239474,-58.5812663
LM-3FEBR,3 DE FEBRERO,-34.5718528,-58.4251600
LM-CARRA,CARRANZA,-34.5754325,-58.4343684
LM-COLEG,COLEGIALES,-34.5729746,-58.4482530
LM-BELGR,BELGRANO R,-34.5678249,-58.4624028
LM-COGHL,COGHLAN,-34.5654176,-58.4749559
LM-SAAVE,SAAVEDRA,-34.5545422,-58.4867373
LM-JBJUS,J.B. JUSTO,-34.5425501,-58.4946570
LM-FLORI,FLORIDA,-34.5304745,-58.4944563
LM-CETRA,CETRÁNGOLO,-34.5232688,-58.4941393
LM-BMITR,B.MITRE,-34.5150276,-58.4892365
LM-DRAGO,DRAGO,-34.5684173,-58.4789912
LM-URQUI,URQUIZA,-34.5747120,-58.4878391
LM-PUEYR,PUEYRREDÓN,-34.5804962,-58.5018980
LM-MIGUE,MIGUELETE,-34.5811313,-58.5166476
LM-SMART,SAN MARTÍN,-34.5739248,-58.5313340
LM-SANDR,SAN ANDRÉS,-34.5637151,-58.5405410
LM-MALAV,MALAVER,-34.5573725,-58.5479328
LM-VBALL,VILLA BALLESTER,-34.5510362,-58.5559827
