idEstacion,idRamal
BN-RETIR,RET-VROS
BN-SALDI,RET-VROS
BN-CUNIV,RET-VROS
BN-ARIST,RET-VROS
BN-PADIL,RET-VROS
BN-FLORI,RET-VROS
BN-MUNRO,RET-VROS
BN-CARAP,RET-VROS
BN-VADEL,RET-VROS
BN-BOULO,RET-VROS
BN-MONTE,RET-VROS
BN-DTORC,RET-VROS
BN-SOURD,RET-VROS
BN-VMAYO,RET-VROS
BN-POLVO,RET-VROS
BN-PNOGU,RET-VROS
BN-GBOUR,RET-VROS
BN-TALTA,RET-VROS
BN-TORTU,RET-VROS
BN-MALBE,RET-VROS
BN-DVISO,RET-VROS
BN-CGRIE,RET-VROS
BN-VROSA,RET-VROS
LM-RETIR,RET-TIGR
LM-LTORR,RET-TIGR
LM-BELGC,RET-TIGR
LM-NUNEZ,RET-TIGR
LM-RIVAD,RET-TIGR
LM-VLOPE,RET-TIGR
LM-OLIVO,RET-TIGR
LM-LUCIL,RET-TIGR
LM-MARTI,RET-TIGR
LM-ACASU,RET-TIGR
LM-SISID,RET-TIGR
LM-BECCA,RET-TIGR
LM-VICTO,RET-TIGR
LM-VIRRE,RET-TIGR
LM-SFERN,RET-TIGR
LM-CARUP,RET-TIGR
LM-TIGRE,RET-TIGR
LM-RETIR,RET-BMIT
LM-3FEBR,RET-BMIT
LM-CARRA,RET-BMIT
LM-COLEG,RET-BMIT
LM-BELGR,RET-BMIT
LM-COGHL,RET-BMIT
LM-SAAVE,RET-BMIT
LM-JBJUS,RET-BMIT
LM-FLORI,RET-BMIT
LM-CETRA,RET-BMIT
LM-BMITR,RET-BMIT
LM-RETIR,RET-JLSU
LM-3FEBR,RET-JLSU
LM-CARRA,RET-JLSU
LM-COLEG,RET-JLSU
LM-BELGR,RET-JLSU
LM-DRAGO,RET-JLSU
LM-URQUI,RET-JLSU
LM-PUEYR,RET-JLSU
LM-MIGUE,RET-JLSU
LM-SMART,RET-JLSU
LM-SANDR,RET-JLSU
LM-MALAV,RET-JLSU
LM-VBALL,RET-JLSU
LM-CHILA,RET-JLSU
LM-JLSUA,RET-JLSU
LM-VBALL,VBA-ZARA
LM-BANCA,VBA-ZARA
LM-PACHE,VBA-ZARA
LM-BENAV,VBA-ZARA
LM-MASCH,VBA-ZARA
LM-ESCOB,VBA-ZARA
LM-RIOLU,VBA-ZARA
LM-OTAME,VBA-ZARA
LM-CAMPA,VBA-ZARA
LM-KM.83,VBA-ZARA
LM-ZARAT,VBA-ZARA
LM-VICTO,VIC-CAPI
LM_SCHWE,VIC-CAPI
LM_TALAR,VIC-CAPI
LM_CAMEL,VIC-CAPI
LM_GARIN,VIC-CAPI
LM_SAVIO,VIC-CAPI
LM_MATHE,VIC-CAPI
LM_ZELAY,VIC-CAPI
LM_CARDA,VIC-CAPI
LM_CAPIL,VIC-CAPI
LS_ONCES,ONCE-MOR
LS_CABAL,ONCE-MOR
LS_FLORE,ONCE-MOR
LS_FESTA,ONCE-MOR
LS_VLURO,ONCE-MOR
LS_LINIE,ONCE-MOR
LS_CIUDA,ONCE-MOR
LS_RMEJI,ONCE-MOR
LS_HAEDO,ONCE-MOR
LS_MORON,ONCE-MOR
LS_CASTE,ONCE-MOR
LS_ITUZA,ONCE-MOR
LS_PADUA,ONCE-MOR
LS_MERLO,ONCE-MOR
LS_PAREY,ONCE-MOR
LS_MOREN,ONCE-MOR
LS_MOREN,MORE-MER
LS-LREJA,MORE-MER
LS-FCOAL,MORE-MER
LS-MARIN,MORE-MER
LS-MALVI,MORE-MER
LS-GRODR,MORE-MER
LS-FRATE,MORE-MER
LS-LEZIC,MORE-MER
LS-ULUJA,MORE-MER
LS-LUJAN,MORE-MER
LS-JAURE,MORE-MER
LS-OLIVE,MORE-MER
LS-GOWLA,MORE-MER
LS-MERCE,MORE-MER
LS-MERLO,MER-LOBO
LS-KM.34,MER-LOBO
LS-FERRA,MER-LOBO
LS-ACOST,MER-LOBO
LS-MRCAL,MER-LOBO
LS-MARCO,MER-LOBO
LS-ZAMUD,MER-LOBO
LS-HORNO,MER-LOBO
LS-HERAS,MER-LOBO
LS-SPERA,MER-LOBO
LS-ZAPIO,MER-LOBO
LS-ELOBO,MER-LOBO
LS-LOBOS,MER-LOBO
SM-RETIR,RET-CABR
