SERVICIO,LR-GUTIE,LR-SSOFI,LR-BOSQU
1406,05:39,05:47,05:52
1408,06:38,06:46,06:51
1410,07:38,07:46,07:51
1412,08:38,08:46,08:51
1414,09:38,09:46,09:51
1416,10:38,10:46,10:51
1418,11:38,11:46,11:51
1420,12:38,12:46,12:51
1422,13:38,13:46,13:51
1424,14:38,14:46,14:51
1426,15:30,15:38,15:43
1428,16:38,16:46,16:51
1430,17:38,17:46,17:51
1432,18:38,18:46,18:51
1434,19:38,19:46,19:51
1406,05:39,05:47,05:52
1408,06:38,06:46,06:51
1410,07:38,07:46,07:51
1412,08:38,08:46,08:51
1414,09:38,09:46,09:51
1416,10:38,10:46,10:51
1418,11:38,11:46,11:51
1420,12:38,12:46,12:51
1422,13:38,13:46,13:51
1424,14:38,14:46,14:51
1426,15:30,15:38,15:43
1428,16:38,16:46,16:51
1430,17:38,17:46,17:51
1432,18:38,18:46,18:51
1434,19:38,19:46,19:51
1436,20:38,20:46,20:51
1436,20:38,20:46,20:51
