SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-VESPA,LR-RANEL,LR-SOURI,LR-BOSQU
2003,05:45,05:53,05:59,06:02,06:05,06:07,06:10,06:13,06:18,06:22,06:25,06:29,06:33,06:38
4105,05:54,06:02,06:08,06:11,06:14,06:16,06:19,06:22,06:27,06:31,,,,
2007,06:15,06:23,06:29,06:32,06:35,06:37,06:40,06:43,06:48,06:52,06:55,06:59,07:03,07:08
4109,06:45,06:53,06:59,07:02,07:05,07:07,07:10,07:13,07:18,07:22,,,,
2011,07:15,07:23,07:29,07:32,07:35,07:37,07:40,07:43,07:48,07:52,07:55,07:59,08:03,08:08
4113,07:45,07:53,07:59,08:02,08:05,08:07,08:10,08:13,08:18,08:22,,,,
2015,08:15,08:23,08:29,08:32,08:35,08:37,08:40,08:43,08:48,08:52,08:55,08:59,09:03,09:08
4117,08:45,08:53,08:59,09:02,09:05,09:07,09:10,09:13,09:18,09:22,,,,
2019,09:15,09:23,09:29,09:32,09:35,09:37,09:40,09:43,09:48,09:52,09:55,09:59,10:03,10:08
4121,09:45,09:53,09:59,10:02,10:05,10:07,10:10,10:13,10:18,10:22,,,,
2023,10:11,10:19,10:25,10:28,10:31,10:33,10:36,10:39,10:44,10:48,10:51,10:55,10:59,11:04
4125,10:37,10:45,10:51,10:54,10:57,10:59,11:02,11:05,11:10,11:14,,,,
2027,11:03,11:11,11:17,11:20,11:23,11:25,11:28,11:31,11:36,11:40,11:43,11:47,11:51,11:56
4129,11:29,11:37,11:43,11:46,11:49,11:51,11:54,11:57,12:02,12:06,,,,
2031,11:55,12:03,12:09,12:12,12:15,12:17,12:20,12:23,12:28,12:32,12:35,12:39,12:43,12:48
4133,12:21,12:29,12:35,12:38,12:41,12:43,12:46,12:49,12:54,12:58,,,,
2035,12:47,12:55,13:01,13:04,13:07,13:09,13:12,13:15,13:20,13:24,13:27,13:31,13:35,13:40
4137,13:13,13:21,13:27,13:30,13:33,13:35,13:38,13:41,13:46,13:50,,,,
2039,13:39,13:47,13:53,13:56,13:59,14:01,14:04,14:07,14:12,14:16,14:19,14:23,14:27,14:32
4141,14:05,14:13,14:19,14:22,14:25,14:27,14:30,14:33,14:38,14:42,,,,
2043,14:31,14:39,14:45,14:48,14:51,14:53,14:56,14:59,15:04,15:08,15:11,15:15,15:19,15:24
4145,14:57,15:05,15:11,15:14,15:17,15:19,15:22,15:25,15:30,15:34,,,,
2047,15:23,15:31,15:37,15:40,15:43,15:45,15:48,15:51,15:56,16:00,16:03,16:07,16:11,16:16
4149,15:49,15:57,16:03,16:06,16:09,16:11,16:14,16:17,16:22,16:26,,,,
2051,16:15,16:23,16:29,16:32,16:35,16:37,16:40,16:43,16:48,16:52,16:55,16:59,17:03,17:08
4153,16:41,16:49,16:55,16:58,17:01,17:03,17:06,17:09,17:14,17:18,,,,
2055,17:07,17:15,17:21,17:24,17:27,17:29,17:32,17:35,17:40,17:44,17:47,17:51,17:55,18:00
4157,17:33,17:41,17:47,17:50,17:53,17:55,17:58,18:01,18:06,18:10,,,,
2059,17:59,18:07,18:13,18:16,18:19,18:21,18:24,18:27,18:32,18:36,18:39,18:43,18:47,18:52
4161,18:25,18:33,18:39,18:42,18:45,18:47,18:50,18:53,18:58,19:02,,,,
2063,18:51,18:59,19:05,19:08,19:11,19:13,19:16,19:19,19:24,19:28,19:31,19:35,19:39,19:44
4165,19:17,19:25,19:31,19:34,19:37,19:39,19:42,19:45,19:50,19:54,,,,
2067,19:43,19:51,19:57,20:00,20:03,20:05,20:08,20:11,20:16,20:20,20:23,20:27,20:31,20:36
4169,20:09,20:17,20:23,20:26,20:29,20:31,20:34,20:37,20:42,20:46,,,,
4171,20:35,20:43,20:49,20:52,20:55,20:57,21:00,21:03,21:08,21:12,,,,
4173,21:06,21:14,21:20,21:23,21:26,21:28,21:31,21:34,21:39,21:43,,,,
