SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-VESPA,LR-RANEL,LR-SOURI,LR-BOSQU
E2039,04:25,04:33,04:39,04:42,04:45,04:47,04:50,04:53,04:58,05:02,05:05,05:09,05:13,05:18
E2047,,,,,,,,,,05:28,05:31,05:35,05:39,05:44
4051,05:08,05:16,05:22,05:25,05:28,05:30,05:33,05:36,05:41,05:45,,,,
2055,05:27,05:35,05:41,05:44,05:47,05:49,05:52,05:55,06:00,06:04,06:07,06:11,06:15,06:20
4059,05:40,05:48,05:54,05:57,06:00,06:02,06:05,06:08,06:13,06:17,,,,
2063,06:01,06:09,06:15,06:18,06:21,06:23,06:26,06:29,06:34,06:38,06:41,06:45,06:49,06:54
4067,06:10,06:18,06:24,06:27,06:30,06:32,06:35,06:38,06:43,06:47,,,,
2071,06:27,06:35,06:41,06:44,06:47,06:49,06:52,06:55,07:00,07:04,07:07,07:11,07:15,07:20
4075,06:35,06:43,06:49,06:52,06:55,06:57,07:00,07:03,07:08,07:12,,,,
2079,06:51,06:59,07:05,07:08,07:11,07:13,07:16,07:19,07:24,07:28,07:31,07:35,07:39,07:44
4083,06:58,07:06,07:12,07:15,07:18,07:20,07:23,07:26,07:31,07:35,,,,
2087,07:15,07:23,07:29,07:32,07:35,07:37,07:40,07:43,07:48,07:52,07:55,07:59,08:03,08:08
2095,07:39,07:47,07:53,07:56,07:59,08:01,08:04,08:07,08:12,08:16,08:19,08:23,08:27,08:32
4099,07:46,07:54,08:00,08:03,08:06,08:08,08:11,08:14,08:19,08:23,,,,
4107,08:10,08:18,08:24,08:27,08:30,08:32,08:35,08:38,08:43,08:47,,,,
2111,08:27,08:35,08:41,08:44,08:47,08:49,08:52,08:55,09:00,09:04,09:07,09:11,09:15,09:20
4115,08:35,08:43,08:49,08:52,08:55,08:57,09:00,09:03,09:08,09:12,,,,
2119,08:51,08:59,09:05,09:08,09:11,09:13,09:16,09:19,09:24,09:28,09:31,09:35,09:39,09:44
4123,08:59,09:07,09:13,09:16,09:19,09:21,09:24,09:27,09:32,09:36,,,,
2127,09:15,09:23,09:29,09:32,09:35,09:37,09:40,09:43,09:48,09:52,09:55,09:59,10:03,10:08
2135,09:40,09:48,09:54,09:57,10:00,10:02,10:05,10:08,10:13,10:17,10:20,10:24,10:28,10:33
4139,09:47,09:55,10:01,10:04,10:07,10:09,10:12,10:15,10:20,10:24,,,,
