SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-VESPA,LR-RANEL,LR-SOURI,LR-BOSQU
4005,04:48,04:56,05:02,05:05,05:08,05:10,05:13,05:16,05:21,05:25,,,,
4013,05:28,05:36,05:42,05:45,05:48,05:50,05:53,05:56,06:01,06:05,,,,
2017,05:48,05:56,06:02,06:05,06:08,06:10,06:13,06:16,06:21,06:25,06:28,06:32,06:36,06:41
4021,06:08,06:16,06:22,06:25,06:28,06:30,06:33,06:36,06:41,06:45,,,,
2025,06:28,06:36,06:42,06:45,06:48,06:50,06:53,06:56,07:01,07:05,07:08,07:12,07:16,07:21
4029,06:48,06:56,07:02,07:05,07:08,07:10,07:13,07:16,07:21,07:25,,,,
2033,07:08,07:16,07:22,07:25,07:28,07:30,07:33,07:36,07:41,07:45,07:48,07:52,07:56,08:01
4037,07:28,07:36,07:42,07:45,07:48,07:50,07:53,07:56,08:01,08:05,,,,
2041,07:48,07:56,08:02,08:05,08:08,08:10,08:13,08:16,08:21,08:25,08:28,08:32,08:36,08:41
4045,08:08,08:16,08:22,08:25,08:28,08:30,08:33,08:36,08:41,08:45,,,,
2049,08:28,08:36,08:42,08:45,08:48,08:50,08:53,08:56,09:01,09:05,09:08,09:12,09:16,09:21
4053,08:48,08:56,09:02,09:05,09:08,09:10,09:13,09:16,09:21,09:25,,,,
2057,09:08,09:16,09:22,09:25,09:28,09:30,09:33,09:36,09:41,09:45,09:48,09:52,09:56,10:01
4061,09:28,09:36,09:42,09:45,09:48,09:50,09:53,09:56,10:01,10:05,,,,
2065,09:48,09:56,10:02,10:05,10:08,10:10,10:13,10:16,10:21,10:25,10:28,10:32,10:36,10:41
4069,10:08,10:16,10:22,10:25,10:28,10:30,10:33,10:36,10:41,10:45,,,,
2073,10:28,10:36,10:42,10:45,10:48,10:50,10:53,10:56,11:01,11:05,11:08,11:12,11:16,11:21
4077,10:48,10:56,11:02,11:05,11:08,11:10,11:13,11:16,11:21,11:25,,,,
2081,11:08,11:16,11:22,11:25,11:28,11:30,11:33,11:36,11:41,11:45,11:48,11:52,11:56,12:01
4085,11:28,11:36,11:42,11:45,11:48,11:50,11:53,11:56,12:01,12:05,,,,
2089,11:48,11:56,12:02,12:05,12:08,12:10,12:13,12:16,12:21,12:25,12:28,12:32,12:36,12:41
4093,12:08,12:16,12:22,12:25,12:28,12:30,12:33,12:36,12:41,12:45,,,,
2097,12:28,12:36,12:42,12:45,12:48,12:50,12:53,12:56,13:01,13:05,13:08,13:12,13:16,13:21
4101,12:48,12:56,13:02,13:05,13:08,13:10,13:13,13:16,13:21,13:25,,,,
2105,13:08,13:16,13:22,13:25,13:28,13:30,13:33,13:36,13:41,13:45,13:48,13:52,13:56,14:01
4109,13:28,13:36,13:42,13:45,13:48,13:50,13:53,13:56,14:01,14:05,,,,
4113,13:48,13:56,14:02,14:05,14:08,14:10,14:13,14:16,14:21,14:25,,,,
4117,14:08,14:16,14:22,14:25,14:28,14:30,14:33,14:36,14:41,14:45,,,,
2121,14:28,14:36,14:42,14:45,14:48,14:50,14:53,14:56,15:01,15:05,15:08,15:12,15:16,15:21
4125,14:48,14:56,15:02,15:05,15:08,15:10,15:13,15:16,15:21,15:25,,,,
2129,15:08,15:16,15:22,15:25,15:28,15:30,15:33,15:36,15:41,15:45,15:48,15:52,15:56,16:01
4133,15:28,15:36,15:42,15:45,15:48,15:50,15:53,15:56,16:01,16:05,,,,
2137,15:48,15:56,16:02,16:05,16:08,16:10,16:13,16:16,16:21,16:25,16:28,16:32,16:36,16:41
4141,16:08,16:16,16:22,16:25,16:28,16:30,16:33,16:36,16:41,16:45,,,,
2145,16:28,16:36,16:42,16:45,16:48,16:50,16:53,16:56,17:01,17:05,17:08,17:12,17:16,17:21
4149,16:48,16:56,17:02,17:05,17:08,17:10,17:13,17:16,17:21,17:25,,,,
2153,17:08,17:16,17:22,17:25,17:28,17:30,17:33,17:36,17:41,17:45,17:48,17:52,17:56,18:01
4157,17:28,17:36,17:42,17:45,17:48,17:50,17:53,17:56,18:01,18:05,,,,
2161,17:49,17:57,18:03,18:06,18:09,18:11,18:14,18:17,18:22,18:26,18:29,18:33,18:37,18:42
4165,18:08,18:16,18:22,18:25,18:28,18:30,18:33,18:36,18:41,18:45,,,,
2169,18:28,18:36,18:42,18:45,18:48,18:50,18:53,18:56,19:01,19:05,19:08,19:12,19:16,19:21
4173,18:48,18:56,19:02,19:05,19:08,19:10,19:13,19:16,19:21,19:25,,,,
2177,19:08,19:16,19:22,19:25,19:28,19:30,19:33,19:36,19:41,19:45,19:48,19:52,19:56,20:01
4181,19:28,19:36,19:42,19:45,19:48,19:50,19:53,19:56,20:01,20:05,,,,
2185,19:48,19:56,20:02,20:05,20:08,20:10,20:13,20:16,20:21,20:25,20:28,20:32,20:36,20:41
4189,20:08,20:16,20:22,20:25,20:28,20:30,20:33,20:36,20:41,20:45,,,,
2193,20:32,20:40,20:46,20:49,20:52,20:54,20:57,21:00,21:05,21:09,21:12,21:16,21:20,21:25
4197,20:44,20:52,20:58,21:01,21:04,21:06,21:09,21:12,21:17,21:21,,,,
4205,21:22,21:30,21:36,21:39,21:42,21:44,21:47,21:50,21:55,21:59,,,,
4209,21:43,21:51,21:57,22:00,22:03,22:05,22:08,22:11,22:16,22:20,,,
