SERVICIO,LR-BOSQU,LR-SOURI,LR-RANEL,LR-VESPA,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
4102,,,,,05:49,05:52,05:57,06:00,06:03,06:05,06:08,06:11,06:18,06:26
4104,,,,,06:12,06:15,06:22,06:25,06:28,06:30,06:33,06:36,06:42,06:48
4106,,,,,06:41,06:44,06:49,06:52,06:55,06:57,07:00,07:03,07:10,07:18
2008,06:54,06:58,07:03,07:06,07:11,07:14,07:19,07:22,07:25,07:27,07:30,07:33,07:40,07:48
4110,,,,,07:41,07:44,07:49,07:52,07:55,07:57,08:00,08:03,08:10,08:18
2012,07:54,07:58,08:03,08:06,08:11,08:14,08:19,08:22,08:25,08:27,08:30,08:33,08:40,08:48
4114,,,,,08:41,08:44,08:49,08:52,08:55,08:57,09:00,09:03,09:10,09:18
2016,08:54,08:58,09:03,09:06,09:11,09:14,09:19,09:22,09:25,09:27,09:30,09:33,09:40,09:48
4118,,,,,09:41,09:44,09:49,09:52,09:55,09:57,10:00,10:03,10:10,10:18
2020,09:54,09:58,10:03,10:06,10:11,10:14,10:19,10:22,10:25,10:27,10:30,10:33,10:40,10:48
4122,,,,,10:41,10:44,10:49,10:52,10:55,10:57,11:00,11:03,11:10,11:18
2024,10:50,10:54,10:59,11:02,11:07,11:10,11:15,11:18,11:21,11:23,11:26,11:29,11:36,11:44
4126,,,,,11:33,11:36,11:41,11:44,11:47,11:49,11:52,11:55,12:02,12:10
2028,11:42,11:46,11:51,11:54,11:59,12:02,12:07,12:10,12:13,12:15,12:18,12:21,12:28,12:36
4130,,,,,12:25,12:28,12:33,12:36,12:39,12:41,12:44,12:47,12:54,13:02
2032,12:42,12:46,12:51,12:54,12:59,13:02,13:07,13:10,13:13,13:15,13:18,13:21,13:28,13:36
4134,,,,,13:17,13:20,13:25,13:28,13:31,13:33,13:36,13:39,13:46,13:54
2036,13:26,13:30,13:35,13:38,13:43,13:46,13:51,13:54,13:57,13:59,14:02,14:05,14:12,14:20
4138,,,,,14:09,14:12,14:17,14:20,14:23,14:25,14:28,14:31,14:38,14:46
2040,14:18,14:22,14:27,14:30,14:35,14:38,14:43,14:46,14:49,14:51,14:54,14:57,15:04,15:12
4142,,,,,15:01,15:04,15:09,15:12,15:15,15:17,15:20,15:23,15:30,15:38
2044,15:10,15:14,15:19,15:22,15:27,15:30,15:35,15:38,15:41,15:43,15:46,15:49,15:56,16:04
4146,,,,,15:53,15:56,16:01,16:04,16:07,16:09,16:12,16:15,16:22,16:30
2048,16:02,16:06,16:11,16:14,16:19,16:22,16:27,16:30,16:33,16:35,16:38,16:41,16:48,16:56
4150,,,,,16:45,16:48,16:53,16:56,16:59,17:01,17:04,17:07,17:14,17:22
2052,16:54,16:58,17:03,17:06,17:11,17:14,17:19,17:22,17:25,17:27,17:30,17:33,17:40,17:48
4154,,,,,17:37,17:40,17:45,17:48,17:51,17:53,17:56,17:59,18:06,18:14
2056,17:46,17:50,17:55,17:58,18:03,18:06,18:11,18:14,18:17,18:19,18:22,18:25,18:32,18:40
4158,,,,,18:29,18:32,18:37,18:40,18:43,18:45,18:48,18:51,18:58,19:06
2060,18:38,18:42,18:47,18:50,18:55,18:58,19:03,19:06,19:09,19:11,19:14,19:17,19:24,19:32
4162,,,,,19:21,19:24,19:29,19:32,19:35,19:37,19:40,19:43,19:50,19:58
2064,19:30,19:34,19:39,19:42,19:47,19:50,19:55,19:58,20:01,20:03,20:06,20:09,20:16,20:24
4166,,,,,20:13,20:16,20:21,20:24,20:27,20:29,20:32,20:35,20:42,20:50
2068,20:22,20:26,20:31,20:34,20:39,20:42,20:47,20:50,20:53,20:55,20:58,21:01,21:08,21:16
4170,,,,,21:05,21:08,21:13,21:16,21:19,21:21,21:24,21:27,21:34,21:42
4174,,,,,22:03,22:06,22:11,22:14,22:17,22:19,22:22,22:25,22:32,22:40
