SERVICIO,LR-BOSQU,LR-SOURI,LR-RANEL,LR-VESPA,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
E2048,,,,,,,05:28,05:31,05:34,05:36,05:39,05:42,05:49,05:57
E2050,05:14,05:18,05:23,05:26,05:31,05:34,05:39,05:42,05:45,05:47,05:50,05:53,06:00,06:08
4052,,,,,05:45,05:48,05:53,05:56,05:59,06:01,06:04,06:07,06:14,06:22
2056,05:40,05:44,05:49,05:52,05:57,06:00,06:05,06:08,06:11,06:13,06:16,06:19,06:26,06:34
4060,,,,,06:21,06:24,06:29,06:32,06:35,06:37,06:40,06:43,06:50,06:58
2064,06:16,06:20,06:25,06:28,06:33,06:36,06:41,06:44,06:47,06:49,06:52,06:55,07:02,07:10
4068,,,,,06:53,06:56,07:01,07:04,07:07,07:09,07:12,07:15,07:22,07:30
2072,06:52,06:56,07:01,07:04,07:09,07:12,07:17,07:20,07:23,07:25,07:28,07:31,07:38,07:46
4076,,,,,07:19,07:22,07:27,07:30,07:33,07:35,07:38,07:41,07:48,07:56
2080,07:16,07:20,07:25,07:28,07:33,07:36,07:41,07:44,07:47,07:49,07:52,07:55,08:02,08:10
4084,,,,,07:45,07:48,07:53,07:56,07:59,08:01,08:04,08:07,08:14,08:22
2088,07:40,07:44,07:49,07:52,07:57,08:00,08:05,08:08,08:11,08:13,08:16,08:19,08:26,08:34
4092,,,,,08:09,08:12,08:17,08:20,08:23,08:25,08:28,08:31,08:38,08:46
4100,,,,,08:33,08:36,08:41,08:44,08:47,08:49,08:52,08:55,09:02,09:10
2104,08:28,08:32,08:37,08:40,08:45,08:48,08:53,08:56,08:59,09:01,09:04,09:07,09:14,09:22
4108,,,,,08:57,09:00,09:05,09:08,09:11,09:13,09:16,09:19,09:26,09:34
2112,08:52,08:56,09:01,09:04,09:09,09:12,09:17,09:20,09:23,09:25,09:28,09:31,09:38,09:46
4116,,,,,09:21,09:24,09:29,09:32,09:35,09:37,09:40,09:43,09:50,09:58
2120,09:16,09:20,09:25,09:28,09:33,09:36,09:41,09:44,09:47,09:49,09:52,09:55,10:02,10:10
2128,09:39,09:43,09:48,09:51,09:56,09:59,10:04,10:07,10:10,10:12,10:15,10:18,10:25,10:33
4132,,,,,10:09,10:12,10:17,10:20,10:23,10:25,10:28,10:31,10:38,10:46
2136,10:03,10:07,10:12,10:15,10:20,10:23,10:28,10:31,10:34,10:36,10:39,10:42,10:49,10:57
4140,,,,,10:33,10:36,10:41,10:44,10:47,10:49,10:52,10:55,11:02,11:10
2144,10:27,10:31,10:36,10:39,10:44,10:47,10:52,10:55,10:58,11:00,11:03,11:06,11:13,11:21
4148,,,,,10:58,11:01,11:06,11:09,11:12,11:14,11:17,11:20,11:27,11:35
2152,10:54,10:58,11:03,11:06,11:11,11:14,11:19,11:22,11:25,11:27,11:30,11:33,11:40,11:48
4156,,,,,11:26,11:29,11:34,11:37,11:40,11:42,11:45,11:48,11:55,12:03
