SERVICIO,LR-BOSQU,LR-SOURI,LR-RANEL,LR-VESPA,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
4012,,,,,,,04:56,04:59,05:02,05:04,05:07,05:10,05:17,05:25
4016,,,,,05:08,05:11,05:16,05:19,05:22,05:24,05:27,05:30,05:37,05:45
4020,,,,,05:27,05:30,05:35,05:38,05:41,05:43,05:46,05:49,05:56,06:04
4024,,,,,05:55,05:58,06:03,06:06,06:09,06:11,06:14,06:17,06:24,06:32
4032,,,,,06:33,06:36,06:41,06:44,06:47,06:49,06:52,06:55,07:02,07:10
2036,06:35,06:39,06:44,06:47,06:52,06:55,07:00,07:03,07:06,07:08,07:11,07:14,07:21,07:29
4040,,,,,07:13,07:16,07:21,07:24,07:27,07:29,07:32,07:35,07:42,07:50
2044,07:15,07:19,07:24,07:27,07:32,07:35,07:40,07:43,07:46,07:48,07:51,07:54,08:01,08:09
4048,,,,,07:53,07:56,08:01,08:04,08:07,08:09,08:12,08:15,08:22,08:30
2052,07:55,07:59,08:04,08:07,08:12,08:15,08:20,08:23,08:26,08:28,08:31,08:34,08:41,08:49
4056,,,,,08:33,08:36,08:41,08:44,08:47,08:49,08:52,08:55,09:02,09:10
2060,08:35,08:39,08:44,08:47,08:52,08:55,09:00,09:03,09:06,09:08,09:11,09:14,09:21,09:29
4064,,,,,09:13,09:16,09:21,09:24,09:27,09:29,09:32,09:35,09:42,09:50
2068,09:15,09:19,09:24,09:27,09:32,09:35,09:40,09:43,09:46,09:48,09:51,09:54,10:01,10:09
4072,,,,,09:53,09:56,10:01,10:04,10:07,10:09,10:12,10:15,10:22,10:30
2076,09:55,09:59,10:04,10:07,10:12,10:15,10:20,10:23,10:26,10:28,10:31,10:34,10:41,10:49
4080,,,,,10:33,10:36,10:41,10:44,10:47,10:49,10:52,10:55,11:02,11:10
2084,10:35,10:39,10:44,10:47,10:52,10:55,11:00,11:03,11:06,11:08,11:11,11:14,11:21,11:29
4088,,,,,11:13,11:16,11:21,11:24,11:27,11:29,11:32,11:35,11:42,11:50
2092,11:15,11:19,11:24,11:27,11:32,11:35,11:40,11:43,11:46,11:48,11:51,11:54,12:01,12:09
4096,,,,,11:53,11:56,12:01,12:04,12:07,12:09,12:12,12:15,12:22,12:30
2100,11:55,11:59,12:04,12:07,12:12,12:15,12:20,12:23,12:26,12:28,12:31,12:34,12:41,12:49
4104,,,,,12:33,12:36,12:41,12:44,12:47,12:49,12:52,12:55,13:02,13:10
2108,12:35,12:39,12:44,12:47,12:52,12:55,13:00,13:03,13:06,13:08,13:11,13:14,13:21,13:29
4112,,,,,13:13,13:16,13:21,13:24,13:27,13:29,13:32,13:35,13:42,13:50
2116,13:15,13:19,13:24,13:27,13:32,13:35,13:40,13:43,13:46,13:48,13:51,13:54,14:01,14:09
4120,,,,,13:53,13:56,14:01,14:04,14:07,14:09,14:12,14:15,14:22,14:30
2124,13:55,13:59,14:04,14:07,14:12,14:15,14:20,14:23,14:26,14:28,14:31,14:34,14:41,14:49
4128,,,,,14:33,14:36,14:41,14:44,14:47,14:49,14:52,14:55,15:02,15:10
4132,,,,,14:52,14:55,15:00,15:03,15:06,15:08,15:11,15:14,15:21,15:29
4136,,,,,15:13,15:16,15:21,15:24,15:27,15:29,15:32,15:35,15:42,15:50
2140,15:15,15:19,15:24,15:27,15:32,15:35,15:40,15:43,15:46,15:48,15:51,15:54,16:01,16:09
4144,,,,,15:53,15:56,16:01,16:04,16:07,16:09,16:12,16:15,16:22,16:30
2148,15:55,15:59,16:04,16:07,16:12,16:15,16:20,16:23,16:26,16:28,16:31,16:34,16:41,16:49
4152,,,,,16:33,16:36,16:41,16:44,16:47,16:49,16:52,16:55,17:02,17:10
2156,16:35,16:39,16:44,16:47,16:52,16:55,17:00,17:03,17:06,17:08,17:11,17:14,17:21,17:29
4160,,,,,17:13,17:16,17:21,17:24,17:27,17:29,17:32,17:35,17:42,17:50
2164,17:15,17:19,17:24,17:27,17:32,17:35,17:40,17:43,17:46,17:48,17:51,17:54,18:01,18:09
4168,,,,,17:53,17:56,18:01,18:04,18:07,18:09,18:12,18:15,18:22,18:30
2172,17:55,17:59,18:04,18:07,18:12,18:15,18:20,18:23,18:26,18:28,18:31,18:34,18:41,18:49
4176,,,,,18:33,18:36,18:41,18:44,18:47,18:49,18:52,18:55,19:02,19:10
2180,18:35,18:39,18:44,18:47,18:52,18:55,19:00,19:03,19:06,19:08,19:11,19:14,19:21,19:29
4184,,,,,19:13,19:16,19:21,19:24,19:27,19:29,19:32,19:35,19:42,19:50
2188,19:15,19:19,19:24,19:27,19:32,19:35,19:40,19:43,19:46,19:48,19:51,19:54,20:01,20:09
4192,,,,,19:53,19:56,20:01,20:04,20:07,20:09,20:12,20:15,20:22,20:30
2196,19:55,19:59,20:04,20:07,20:12,20:15,20:20,20:23,20:26,20:28,20:31,20:34,20:41,20:49
4200,,,,,20:33,20:36,20:41,20:44,20:47,20:49,20:52,20:55,21:02,21:10
2204,20:35,20:39,20:44,20:47,20:52,20:55,21:00,21:03,21:06,21:08,21:11,21:14,21:21,21:29
4208,,,,,21:13,21:16,21:21,21:24,21:27,21:29,21:32,21:35,21:42,21:50
2212,21:19,21:23,21:28,21:31,21:36,21:39,21:44,21:47,21:50,21:52,21:55,21:58,22:05,22:13
4216,,,,,22:01,22:04,22:09,22:12,22:15,22:17,22:20,22:23,22:30,22:38
