SERVICIO,LR-CONST,LR-AVELL,LR-LANUS,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-JMARM,LR-RCALZ,LR-CLAYP,LR-ARDIG,LR-FVARE,LR-ZEBAL,LR-BOSQU
1017,05:00,05:08,05:15,05:20,05:23,05:26,,,,,,,
1021,05:30,05:38,05:45,05:50,05:53,05:56,,,,,,,
1025,06:00,06:08,06:15,06:20,06:23,06:26,06:30,06:33,06:36,06:40,06:45,06:49,06:53
1029,06:30,06:38,06:45,06:50,06:53,06:56,07:00,07:03,07:06,07:10,07:15,07:19,07:23
1033,07:00,07:08,07:15,07:20,07:23,07:26,07:30,07:33,07:36,07:40,07:45,07:49,07:53
1037,07:30,07:38,07:45,07:50,07:53,07:56,08:00,08:03,08:06,08:10,08:15,08:19,08:23
1041,08:00,08:08,08:15,08:20,08:23,08:26,08:30,08:33,08:36,08:40,08:45,08:49,08:53
1045,08:30,08:38,08:45,08:50,08:53,08:56,09:00,09:03,09:06,09:10,09:15,09:19,09:23
1049,09:00,09:08,09:15,09:20,09:23,09:26,09:30,09:33,09:36,09:40,09:45,09:49,09:53
1053,09:30,09:38,09:45,09:50,09:53,09:56,10:00,10:03,10:06,10:10,10:15,10:19,10:23
1057,09:56,10:04,10:11,10:16,10:19,10:22,10:26,10:29,10:32,10:36,10:41,10:45,10:49
1061,10:22,10:30,10:37,10:42,10:45,10:48,10:52,10:55,10:58,11:02,11:07,11:11,11:15
1065,10:48,10:56,11:03,11:08,11:11,11:14,11:18,11:21,11:24,11:28,11:33,11:37,11:41
1069,11:14,11:22,11:29,11:34,11:37,11:40,11:44,11:47,11:50,11:54,11:59,12:03,12:07
1073,11:48,11:56,12:03,12:08,12:11,12:14,12:18,12:21,12:24,12:28,12:33,12:37,12:41
1077,12:06,12:14,12:21,12:26,12:29,12:32,12:36,12:39,12:42,12:46,12:51,12:55,12:59
1081,12:32,12:40,12:47,12:52,12:55,12:58,13:02,13:05,13:08,13:12,13:17,13:21,13:25
1085,12:58,13:06,13:13,13:18,13:21,13:24,13:28,13:31,13:34,13:38,13:43,13:47,13:51
1089,13:24,13:32,13:39,13:44,13:47,13:50,13:54,13:57,14:00,14:04,14:09,14:13,14:17
1093,13:50,13:58,14:05,14:10,14:13,14:16,14:20,14:23,14:26,14:30,14:35,14:39,14:43
1097,14:16,14:24,14:31,14:36,14:39,14:42,14:46,14:49,14:52,14:56,15:01,15:05,15:09
1101,14:42,14:50,14:57,15:02,15:05,15:08,15:12,15:15,15:18,15:22,15:27,15:31,15:35
1105,15:08,15:16,15:23,15:28,15:31,15:34,15:38,15:41,15:44,15:48,15:53,15:57,16:01
1109,15:34,15:42,15:49,15:54,15:57,16:00,16:04,16:07,16:10,16:14,16:19,16:23,16:27
1113,16:00,16:08,16:15,16:20,16:23,16:26,16:30,16:33,16:36,16:40,16:45,16:49,16:53
1117,16:26,16:34,16:41,16:46,16:49,16:52,16:56,16:59,17:02,17:06,17:11,17:15,17:19
1121,16:52,17:00,17:07,17:12,17:15,17:18,17:22,17:25,17:28,17:32,17:37,17:41,17:45
1125,17:18,17:26,17:33,17:38,17:41,17:44,17:48,17:51,17:54,17:58,18:03,18:07,18:11
1129,17:44,17:52,17:59,18:04,18:07,18:10,18:14,18:17,18:20,18:24,18:29,18:33,18:37
1133,18:10,18:18,18:25,18:30,18:33,18:36,18:40,18:43,18:46,18:50,18:55,18:59,19:03
1137,18:36,18:44,18:51,18:56,18:59,19:02,19:06,19:09,19:12,19:16,19:21,19:25,19:29
1141,19:02,19:10,19:17,19:22,19:25,19:28,19:32,19:35,19:38,19:42,19:47,19:51,19:55
1145,19:28,19:36,19:43,19:48,19:51,19:54,19:58,20:01,20:04,20:08,20:13,20:17,20:21
1149,19:54,20:02,20:09,20:14,20:17,20:20,20:24,20:27,20:30,20:34,20:39,20:43,20:47
1153,20:20,20:28,20:35,20:40,20:43,20:46,20:50,20:53,20:56,21:00,21:05,21:09,21:13
1157,20:46,20:54,21:01,21:06,21:09,21:12,21:16,21:19,21:22,21:26,21:31,21:35,21:39
1161,21:12,21:20,21:27,21:32,21:35,21:38,21:42,21:45,21:48,21:52,21:57,22:01,22:05
1165,21:38,21:46,21:53,21:58,22:01,22:04,22:08,22:11,22:14,22:18,22:23,22:27,22:31
