SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-JMARM,LR-RCALZ,LR-CLAYP,LR-ARDIG,LR-FVARE,LR-ZEBAL,LR-BOSQU
1533,,,,,,,,,04:33,04:37,04:40,04:43,04:47,04:52,04:56,05:00
1037,04:19,,04:27,,04:34,,04:39,04:42,04:45,04:49,04:52,04:55,04:59,05:04,05:08,05:12
1041,04:31,,04:39,,04:46,,04:51,04:54,04:57,05:01,05:04,05:07,05:11,05:16,05:20,05:24
1045,04:44,,04:52,,04:59,,05:04,05:07,05:10,05:14,05:17,05:20,05:24,05:29,05:33,05:37
1049,04:57,,05:05,,05:12,,05:17,05:20,05:23,05:27,05:30,05:33,05:37,05:42,05:46,05:50
1053,,,,,,,,,05:35,05:39,05:42,05:45,05:49,05:54,05:58,06:02
1057,05:20,,05:28,,05:35,,05:40,05:43,05:46,05:50,05:53,05:56,06:00,06:05,06:09,06:13
1061,05:31,,05:39,,05:46,,05:51,05:54,05:57,06:01,06:04,06:07,06:11,06:16,06:20,06:24
1065,05:43,,05:51,,05:58,,06:03,06:06,06:09,06:13,06:16,06:19,06:23,06:28,06:32,06:36
1069,05:58,D,06:05,.,.,06:12,06:14,06:16,06:19,06:21,06:25,06:28,06:31,06:35,06:40,06:44,06:48
1073,06:08,,06:15,06:19,06:23,06:26,06:29,06:32,06:35,06:39,06:42,06:45,06:49,06:54,06:58,07:02
1077,06:23,D,06:30,06:33,06:37,06:39,06:41,06:44,06:46,06:50,06:53,06:56,07:00,07:05,07:09,07:13
1081,06:32,,06:39,06:43,06:47,06:50,06:53,06:56,06:59,07:03,07:06,07:09,07:13,07:18,07:22,07:26
1085,06:47,D,06:54,06:57,07:01,07:03,07:05,07:08,07:10,07:14,07:17,07:20,07:24,07:29,07:33,07:37
1089,06:56,,07:03,07:07,07:11,07:14,07:17,07:20,07:23,07:27,07:30,07:33,07:37,07:42,07:46,07:50
1097,07:20,,07:27,07:31,07:35,07:38,07:41,07:44,07:47,07:51,07:54,07:57,08:01,08:06,08:10,08:14
1101,07:35,D,07:42,07:45,07:49,07:51,07:53,07:56,07:58,08:02,08:05,08:08,08:12,08:17,08:21,08:25
1105,07:44,,07:51,07:55,07:59,08:02,08:05,08:08,08:11,08:15,08:18,08:21,08:25,08:30,08:34,08:38
1109,07:59,D,08:06,08:09,08:13,08:15,08:17,08:20,08:22,08:26,08:29,08:32,08:36,08:41,08:45,08:49
1113,08:08,,08:15,08:19,08:23,08:26,08:29,08:32,08:35,08:39,08:42,08:45,08:49,08:54,08:58,09:02
1117,08:23,D,08:30,08:33,08:37,08:39,08:41,08:44,08:46,08:50,08:53,08:56,09:00,09:05,09:09,09:13
1121,08:32,,08:39,08:43,08:47,08:50,08:53,08:56,08:59,09:03,09:06,09:09,09:13,09:18,09:22,09:26
1125,08:47,D,08:54,08:57,09:01,09:03,09:05,09:08,09:10,09:14,09:17,09:20,09:24,09:29,09:33,09:37
1129,08:56,,09:03,09:07,09:11,09:14,09:17,09:20,09:23,09:27,09:30,09:33,09:37,09:42,09:46,09:50
1133,09:11,D,09:18,09:21,09:25,09:27,09:29,09:32,09:34,09:38,09:41,09:44,09:48,09:53,09:57,10:01
1137,09:20,,09:27,09:31,09:35,09:38,09:41,09:44,09:47,09:51,09:54,09:57,10:01,10:06,10:10,10:14
1141,09:35,D,,,09:49,,,09:56,,10:02,10:05,10:08,10:12,10:17,10:21,10:25
1145,09:44,,09:51,09:55,09:59,10:02,10:05,10:08,10:11,10:15,10:18,10:21,10:25,10:30,10:34,10:38
1149,09:59,,10:07,,10:14,,10:19,10:22,10:25,10:29,10:32,10:35,10:39,10:44,10:48,10:52
1157,10:29,,10:37,,10:44,,10:49,10:52,10:55,10:59,11:02,11:05,11:09,11:14,11:18,11:22
1161,10:56,,11:04,,11:11,,11:16,11:19,11:22,11:26,11:29,11:32,11:36,11:41,11:45,11:49
1169,11:28,,11:36,,11:43,,11:48,11:51,11:54,11:58,12:01,12:04,12:08,12:13,12:17,12:21
1177,12:01,,12:09,,12:16,,12:21,12:24,12:27,12:31,12:34,12:37,12:41,12:46,12:50,12:54
1181,12:28,,12:36,,12:43,,12:48,12:51,12:54,12:58,13:01,13:04,13:08,13:13,13:17,13:21
1189,12:56,,13:04,,13:11,,13:16,13:19,13:22,13:26,13:29,13:32,13:36,13:41,13:45,13:49
1193,13:14,,13:22,,13:29,,13:34,13:37,13:40,13:44,13:47,13:50,13:54,13:59,14:03,14:07
1201,13:46,,13:54,,14:01,,14:06,14:09,14:12,14:16,14:19,14:22,14:26,14:31,14:35,14:39
1205,13:59,,14:07,,14:14,,14:19,14:22,14:25,14:29,14:32,14:35,14:39,14:44,14:48,14:52
1221,14:59,,15:07,,15:14,,15:19,15:22,15:25,15:29,15:32,15:35,15:39,15:44,15:48,15:52
1225,15:19,,15:27,,15:34,,15:39,15:42,15:45,15:49,15:52,15:55,15:59,16:04,16:08,16:12
1229,15:33,,15:41,,15:48,,15:53,15:56,15:59,16:03,16:06,16:09,16:13,16:18,16:22,16:26
1233,15:43,,15:51,,15:58,,16:03,16:06,16:09,16:13,16:16,16:19,16:23,16:28,16:32,16:36
1237,15:59,D,16:06,16:09,16:13,16:15,16:17,16:20,16:22,16:26,16:29,16:32,16:36,16:41,16:45,16:49
1241,16:08,,16:15,16:19,16:23,16:26,16:29,16:32,16:35,16:39,16:42,16:45,16:49,16:54,16:58,17:02
1249,16:32,,16:39,16:43,16:47,16:50,16:53,16:56,16:59,17:03,17:06,17:09,17:13,17:18,17:22,17:26
1253,16:47,D,16:54,16:57,17:01,17:03,17:05,17:08,17:10,17:14,17:17,17:20,17:24,17:29,17:33,17:37
1257,16:56,,17:03,17:07,17:11,17:14,17:17,17:20,17:23,17:27,17:30,17:33,17:37,17:42,17:46,17:50
1261,17:11,D,17:18,17:21,17:25,17:27,17:29,17:32,17:34,17:38,17:41,17:44,17:48,17:53,17:57,18:01
1265,17:20,,17:27,17:31,17:35,17:38,17:41,17:44,17:47,17:51,17:54,17:57,18:01,18:06,18:10,18:14
1269,17:35,D,17:42,17:45,17:49,17:51,17:53,17:56,17:58,18:02,18:05,18:08,18:12,18:17,18:21,18:25
1273,17:44,,17:51,17:55,17:59,18:02,18:05,18:08,18:11,18:15,18:18,18:21,18:25,18:30,18:34,18:38
1277,17:59,D,18:06,18:09,18:13,18:15,18:17,18:20,18:22,18:26,18:29,18:32,18:36,18:41,18:45,18:49
1281,18:08,,18:15,18:19,18:23,18:26,18:29,18:32,18:35,18:39,18:42,18:45,18:49,18:54,18:58,19:02
1289,18:32,,18:39,18:43,18:47,18:50,18:53,18:56,18:59,19:03,19:06,19:09,19:13,19:18,19:22,19:26
1293,18:47,D,18:54,18:57,19:01,19:03,19:05,19:08,19:10,19:14,19:17,19:20,19:24,19:29,19:33,19:37
1297,18:56,,19:03,19:07,19:11,19:14,19:17,19:20,19:23,19:27,19:30,19:33,19:37,19:42,19:46,19:50
1301,19:11,D,19:18,19:21,19:25,19:27,19:29,19:32,19:34,19:38,19:41,19:44,19:48,19:53,19:57,20:01
1305,19:20,,19:27,19:31,19:35,19:38,19:41,19:44,19:47,19:51,19:54,19:57,20:01,20:06,20:10,20:14
1309,19:35,D,19:42,19:45,19:49,19:51,19:53,19:56,19:58,20:02,20:05,20:08,20:12,20:17,20:21,20:25
1313,19:44,,19:51,19:55,19:59,20:02,20:05,20:08,20:11,20:15,20:18,20:21,20:25,20:30,20:34,20:38
1321,20:12,,20:20,,20:27,,20:32,20:35,20:38,20:42,20:45,20:48,20:52,20:57,21:01,21:05
1325,20:33,,20:41,,20:48,,20:53,20:56,20:59,21:03,21:06,21:09,21:13,21:18,21:22,21:26
1341,21:32,,21:40,,21:47,,21:52,21:55,21:58,,,,,,,
1357,22:35,,22:43,,22:50,,22:55,22:58,23:01,,,,,,,
