SERVICIO,LR-CONST,LR-AVELL,LR-LANUS,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-JMARM,LR-RCALZ,LR-CLAYP,LR-ARDIG,LR-FVARE,LR-ZEBAL,LR-BOSQU
1015,05:41,05:49,05:56,06:01,06:04,06:07,06:11,06:14,06:17,06:21,06:26,06:30,06:34
1019,06:01,06:09,06:16,06:21,06:24,06:27,06:31,06:34,06:37,06:41,06:46,06:50,06:54
1023,06:21,06:29,06:36,06:41,06:44,06:47,06:51,06:54,06:57,07:01,07:06,07:10,07:14
1027,06:41,06:49,06:56,07:01,07:04,07:07,07:11,07:14,07:17,07:21,07:26,07:30,07:34
1031,07:01,07:09,07:16,07:21,07:24,07:27,07:31,07:34,07:37,07:41,07:46,07:50,07:54
1035,07:21,07:29,07:36,07:41,07:44,07:47,07:51,07:54,07:57,08:01,08:06,08:10,08:14
1039,07:41,07:49,07:56,08:01,08:04,08:07,08:11,08:14,08:17,08:21,08:26,08:30,08:34
1043,08:01,08:09,08:16,08:21,08:24,08:27,08:31,08:34,08:37,08:41,08:46,08:50,08:54
1047,08:21,08:29,08:36,08:41,08:44,08:47,08:51,08:54,08:57,09:01,09:06,09:10,09:14
1051,08:41,08:49,08:56,09:01,09:04,09:07,09:11,09:14,09:17,09:21,09:26,09:30,09:34
1055,09:01,09:09,09:16,09:21,09:24,09:27,09:31,09:34,09:37,09:41,09:46,09:50,09:54
1059,09:21,09:29,09:36,09:41,09:44,09:47,09:51,09:54,09:57,10:01,10:06,10:10,10:14
1063,09:41,09:49,09:56,10:01,10:04,10:07,10:11,10:14,10:17,10:21,10:26,10:30,10:34
1067,10:01,10:09,10:16,10:21,10:24,10:27,10:31,10:34,10:37,10:41,10:46,10:50,10:54
1071,10:21,10:29,10:36,10:41,10:44,10:47,10:51,10:54,10:57,11:01,11:06,11:10,11:14
1079,11:01,11:09,11:16,11:21,11:24,11:27,11:31,11:34,11:37,11:41,11:46,11:50,11:54
1083,11:21,11:29,11:36,11:41,11:44,11:47,11:51,11:54,11:57,12:01,12:06,12:10,12:14
1087,11:41,11:49,11:56,12:01,12:04,12:07,12:11,12:14,12:17,12:21,12:26,12:30,12:34
1095,12:21,12:29,12:36,12:41,12:44,12:47,12:51,12:54,12:57,13:01,13:06,13:10,13:14
1099,12:41,12:49,12:56,13:01,13:04,13:07,13:11,13:14,13:17,13:21,13:26,13:30,13:34
1103,13:01,13:09,13:16,13:21,13:24,13:27,13:31,13:34,13:37,13:41,13:46,13:50,13:54
1107,13:21,13:29,13:36,13:41,13:44,13:47,13:51,13:54,13:57,14:01,14:06,14:10,14:14
1115,14:01,14:09,14:16,14:21,14:24,14:27,14:31,14:34,14:37,14:41,14:46,14:50,14:54
1119,14:21,14:29,14:36,14:41,14:44,14:47,14:51,14:54,14:57,15:01,15:06,15:10,15:14
1123,14:41,14:49,14:56,15:01,15:04,15:07,15:11,15:14,15:17,15:21,15:26,15:30,15:34
1127,15:01,15:09,15:16,15:21,15:24,15:27,15:31,15:34,15:37,15:41,15:46,15:50,15:54
1131,15:21,15:29,15:36,15:41,15:44,15:47,15:51,15:54,15:57,16:01,16:06,16:10,16:14
1135,15:41,15:49,15:56,16:01,16:04,16:07,16:11,16:14,16:17,16:21,16:26,16:30,16:34
1139,16:01,16:09,16:16,16:21,16:24,16:27,16:31,16:34,16:37,16:41,16:46,16:50,16:54
1143,16:21,16:29,16:36,16:41,16:44,16:47,16:51,16:54,16:57,17:01,17:06,17:10,17:14
1147,16:41,16:49,16:56,17:01,17:04,17:07,17:11,17:14,17:17,17:21,17:26,17:30,17:34
1151,17:01,17:09,17:16,17:21,17:24,17:27,17:31,17:34,17:37,17:41,17:46,17:50,17:54
1155,17:21,17:29,17:36,17:41,17:44,17:47,17:51,17:54,17:57,18:01,18:06,18:10,18:14
1159,17:41,17:49,17:56,18:01,18:04,18:07,18:11,18:14,18:17,18:21,18:26,18:30,18:34
1163,18:01,18:09,18:16,18:21,18:24,18:27,18:31,18:34,18:37,18:41,18:46,18:50,18:54
1167,18:21,18:29,18:36,18:41,18:44,18:47,18:51,18:54,18:57,19:01,19:06,19:10,19:14
1171,18:41,18:49,18:56,19:01,19:04,19:07,19:11,19:14,19:17,19:21,19:26,19:30,19:34
1175,19:01,19:09,19:16,19:21,19:24,19:27,19:31,19:34,19:37,19:41,19:46,19:50,19:54
1179,19:21,19:29,19:36,19:41,19:44,19:47,19:51,19:54,19:57,20:01,20:06,20:10,20:14
1183,19:41,19:49,19:56,20:01,20:04,20:07,20:11,20:14,20:17,20:21,20:26,20:30,20:34
1187,20:01,20:09,20:16,20:21,20:24,20:27,20:31,20:34,20:37,20:41,20:46,20:50,20:54
1191,20:25,20:33,20:40,20:45,20:48,20:51,20:55,20:58,21:01,21:05,21:10,21:14,21:18
1195,20:49,20:57,21:04,21:09,21:12,21:15,21:19,21:22,21:25,21:29,21:34,21:38,21:42
1199,21:13,21:21,21:28,21:33,21:36,21:39,21:43,21:46,21:49,21:53,21:58,22:02,22:06
