SERVICIO,LR-BOSQU,LR-ZEBAL,LR-FVARE,LR-ARDIG,LR-CLAYP,LR-RCALZ,LR-JMARM,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-LANUS,LR-AVELL,LR-CONST
1010,,,,,,,,05:39,05:42,05:45,05:50,05:58,06:06
1014,,,,,,,,06:09,06:12,06:15,06:20,06:28,06:36
1022,06:40,06:45,06:49,06:55,06:59,07:02,07:05,07:09,07:12,07:15,07:20,07:28,07:36
1026,07:10,07:15,07:19,07:25,07:29,07:32,07:35,07:39,07:42,07:45,07:50,07:58,08:06
1030,07:40,07:45,07:49,07:55,07:59,08:02,08:05,08:09,08:12,08:15,08:20,08:28,08:36
1034,08:10,08:15,08:19,08:25,08:29,08:32,08:35,08:39,08:42,08:45,08:50,08:58,09:06
1038,08:40,08:45,08:49,08:55,08:59,09:02,09:05,09:09,09:12,09:15,09:20,09:28,09:36
1042,09:10,09:15,09:19,09:25,09:29,09:32,09:35,09:39,09:42,09:45,09:50,09:58,10:06
1046,09:40,09:45,09:49,09:55,09:59,10:02,10:05,10:09,10:12,10:15,10:20,10:28,10:36
1050,10:10,10:15,10:19,10:25,10:29,10:32,10:35,10:39,10:42,10:45,10:50,10:58,11:06
1054,10:40,10:45,10:49,10:55,10:59,11:02,11:05,11:09,11:12,11:15,11:20,11:28,11:36
1058,11:06,11:11,11:15,11:21,11:25,11:28,11:31,11:35,11:38,11:41,11:46,11:54,12:02
1062,11:32,11:37,11:41,11:47,11:51,11:54,11:57,12:01,12:04,12:07,12:12,12:20,12:28
1066,11:58,12:03,12:07,12:13,12:17,12:20,12:23,12:27,12:30,12:33,12:38,12:46,12:54
1070,12:24,12:29,12:33,12:39,12:43,12:46,12:49,12:53,12:56,12:59,13:04,13:12,13:20
1074,12:50,12:55,12:59,13:05,13:09,13:12,13:15,13:19,13:22,13:25,13:30,13:38,13:46
1078,13:16,13:21,13:25,13:31,13:35,13:38,13:41,13:45,13:48,13:51,13:56,14:04,14:12
1082,13:42,13:47,13:51,13:57,14:01,14:04,14:07,14:11,14:14,14:17,14:22,14:30,14:38
1086,14:08,14:13,14:17,14:23,14:27,14:30,14:33,14:37,14:40,14:43,14:48,14:56,15:04
1090,14:34,14:39,14:43,14:49,14:53,14:56,14:59,15:03,15:06,15:09,15:14,15:22,15:30
1094,15:00,15:05,15:09,15:15,15:19,15:22,15:25,15:29,15:32,15:35,15:40,15:48,15:56
1098,15:26,15:31,15:35,15:41,15:45,15:48,15:51,15:55,15:58,16:01,16:06,16:14,16:22
1102,15:52,15:57,16:01,16:07,16:11,16:14,16:17,16:21,16:24,16:27,16:32,16:40,16:48
1106,16:18,16:23,16:27,16:33,16:37,16:40,16:43,16:47,16:50,16:53,16:58,17:06,17:14
1110,16:44,16:49,16:53,16:59,17:03,17:06,17:09,17:13,17:16,17:19,17:24,17:32,17:40
1114,17:10,17:15,17:19,17:25,17:29,17:32,17:35,17:39,17:42,17:45,17:50,17:58,18:06
1118,17:36,17:41,17:45,17:51,17:55,17:58,18:01,18:05,18:08,18:11,18:16,18:24,18:32
1122,18:02,18:07,18:11,18:17,18:21,18:24,18:27,18:31,18:34,18:37,18:42,18:50,18:58
1126,18:28,18:33,18:37,18:43,18:47,18:50,18:53,18:57,19:00,19:03,19:08,19:16,19:24
1130,18:54,18:59,19:03,19:09,19:13,19:16,19:19,19:23,19:26,19:29,19:34,19:42,19:50
1134,19:20,19:25,19:29,19:35,19:39,19:42,19:45,19:49,19:52,19:55,20:00,20:08,20:16
1138,19:46,19:51,19:55,20:01,20:05,20:08,20:11,20:15,20:18,20:21,20:26,20:34,20:42
1142,20:12,20:17,20:21,20:27,20:31,20:34,20:37,20:41,20:44,20:47,20:52,21:00,21:08
1146,20:38,20:43,20:47,20:53,20:57,21:00,21:03,21:07,21:10,21:13,21:18,21:26,21:34
1150,21:04,21:09,21:13,21:19,21:23,21:26,21:29,21:33,21:36,21:39,21:44,21:52,22:00
1154,21:30,21:35,21:39,21:45,21:49,21:52,21:55,21:59,22:02,22:05,22:10,22:18,22:26
1158,21:56,22:01,22:05,22:11,22:15,22:18,22:21,22:25,22:28,22:31,22:36,22:44,22:52
1562,22:17,22:22,22:26,22:32,22:36,22:39,22:42,22:46,,,,,
1568,22:43,22:48,22:52,22:58,23:02,23:05,23:08,23:12,,,,
