SERVICIO,LR-BOSQU,LR-ZEBAL,LR-FVARE,LR-ARDIG,LR-CLAYP,LR-RCALZ,LR-JMARM,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-ESCAL,LR-LANUS,LR-GERLI,LR-AVELL,LR-HYRIG,LR-CONST
1030,04:46,04:51,04:55,05:01,05:05,05:08,05:11,05:15,05:18,05:21,,05:26,,05:34,,05:42
1038,05:09,05:14,05:18,05:24,05:28,05:31,05:34,05:38,05:41,05:44,,05:49,,05:57,,06:05
1042,05:20,05:25,05:29,05:35,05:39,05:42,05:45,05:48,05:51,05:53,05:55,05:58,06:01,06:05,,06:13
1046,05:34,05:39,05:43,05:49,05:53,05:56,05:59,06:03,06:06,06:09,06:12,06:15,06:19,06:23,,06:30
1050,05:46,05:51,05:55,06:01,06:05,06:08,06:11,06:14,06:17,06:19,06:21,06:24,06:27,06:31,,06:39
1054,05:58,06:03,06:07,06:13,06:17,06:20,06:23,06:27,06:30,06:33,06:36,06:39,06:43,06:47,,06:54
1058,06:11,06:16,06:20,06:26,06:30,06:33,06:36,06:40,06:43,06:46,06:49,06:52,06:56,07:00,,07:07
1062,06:22,06:27,06:31,06:37,06:41,06:44,06:47,06:51,06:54,06:57,07:00,07:03,07:07,07:11,,07:18
1066,06:34,06:39,06:43,06:49,06:53,06:56,06:59,07:02,07:05,07:07,07:09,07:12,07:15,07:19,,07:27
1070,06:46,06:51,06:55,07:01,07:05,07:08,07:11,07:15,07:18,07:21,07:24,07:27,07:31,07:35,,07:42
1074,06:56,07:01,07:05,07:11,07:15,07:18,07:21,07:24,07:27,07:29,07:31,07:34,.,.,07:41,,07:49
1078,07:10,07:15,07:19,07:25,07:29,07:32,07:35,07:39,07:42,07:45,07:48,07:51,07:55,07:59,,08:06
1082,07:22,07:27,07:31,07:37,07:41,07:44,07:47,07:50,07:53,07:55,07:57,08:00,08:03,08:07,,08:15
1086,07:34,07:39,07:43,07:49,07:53,07:56,07:59,08:03,08:06,08:09,08:12,08:15,08:19,08:23,,08:30
1090,07:46,07:51,07:55,08:01,08:05,08:08,08:11,08:14,08:17,08:19,08:21,08:24,08:27,08:31,,08:39
1094,07:58,08:03,08:07,08:13,08:17,08:20,08:23,08:27,08:30,08:33,08:36,08:39,08:43,08:47,,08:54
