SERVICIO,LR-BOSQU,LR-ZEBAL,LR-FVARE,LR-ARDIG,LR-CLAYP,LR-RCALZ,LR-JMARM,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-LANUS,LR-AVELL,LR-CONST
1038,06:42,06:47,06:51,06:57,07:01,07:04,07:07,07:11,07:14,07:17,07:22,07:30,07:38
1042,07:02,07:07,07:11,07:17,07:21,07:24,07:27,07:31,07:34,07:37,07:42,07:50,07:58
1046,07:22,07:27,07:31,07:37,07:41,07:44,07:47,07:51,07:54,07:57,08:02,08:10,08:18
1050,07:42,07:47,07:51,07:57,08:01,08:04,08:07,08:11,08:14,08:17,08:22,08:30,08:38
1054,08:02,08:07,08:11,08:17,08:21,08:24,08:27,08:31,08:34,08:37,08:42,08:50,08:58
1058,08:22,08:27,08:31,08:37,08:41,08:44,08:47,08:51,08:54,08:57,09:02,09:10,09:18
1062,08:42,08:47,08:51,08:57,09:01,09:04,09:07,09:11,09:14,09:17,09:22,09:30,09:38
1066,09:02,09:07,09:11,09:17,09:21,09:24,09:27,09:31,09:34,09:37,09:42,09:50,09:58
1070,09:22,09:27,09:31,09:37,09:41,09:44,09:47,09:51,09:54,09:57,10:02,10:10,10:18
1074,09:42,09:47,09:51,09:57,10:01,10:04,10:07,10:11,10:14,10:17,10:22,10:30,10:38
1078,10:02,10:07,10:11,10:17,10:21,10:24,10:27,10:31,10:34,10:37,10:42,10:50,10:58
1082,10:22,10:27,10:31,10:37,10:41,10:44,10:47,10:51,10:54,10:57,11:02,11:10,11:18
1086,10:42,10:47,10:51,10:57,11:01,11:04,11:07,11:11,11:14,11:17,11:22,11:30,11:38
1090,11:02,11:07,11:11,11:17,11:21,11:24,11:27,11:31,11:34,11:37,11:42,11:50,11:58
1094,11:22,11:27,11:31,11:37,11:41,11:44,11:47,11:51,11:54,11:57,12:02,12:10,12:18
1102,12:02,12:07,12:11,12:17,12:21,12:24,12:27,12:31,12:34,12:37,12:42,12:50,12:58
1106,12:22,12:27,12:31,12:37,12:41,12:44,12:47,12:51,12:54,12:57,13:02,13:10,13:18
1110,12:42,12:47,12:51,12:57,13:01,13:04,13:07,13:11,13:14,13:17,13:22,13:30,13:38
1118,13:22,13:27,13:31,13:37,13:41,13:44,13:47,13:51,13:54,13:57,14:02,14:10,14:18
1122,13:42,13:47,13:51,13:57,14:01,14:04,14:07,14:11,14:14,14:17,14:22,14:30,14:38
1126,14:02,14:07,14:11,14:17,14:21,14:24,14:27,14:31,14:34,14:37,14:42,14:50,14:58
1130,14:22,14:27,14:31,14:37,14:41,14:44,14:47,14:51,14:54,14:57,15:02,15:10,15:18
1146,15:02,15:07,15:11,15:17,15:21,15:24,15:27,15:31,15:34,15:37,15:42,15:50,15:58
1150,15:22,15:27,15:31,15:37,15:41,15:44,15:47,15:51,15:54,15:57,16:02,16:10,16:18
1154,15:42,15:47,15:51,15:57,16:01,16:04,16:07,16:11,16:14,16:17,16:22,16:30,16:38
1158,16:02,16:07,16:11,16:17,16:21,16:24,16:27,16:31,16:34,16:37,16:42,16:50,16:58
1162,16:22,16:27,16:31,16:37,16:41,16:44,16:47,16:51,16:54,16:57,17:02,17:10,17:18
1166,16:42,16:47,16:51,16:57,17:01,17:04,17:07,17:11,17:14,17:17,17:22,17:30,17:38
1174,17:02,17:07,17:11,17:17,17:21,17:24,17:27,17:31,17:34,17:37,17:42,17:50,17:58
1178,17:22,17:27,17:31,17:37,17:41,17:44,17:47,17:51,17:54,17:57,18:02,18:10,18:18
1182,17:42,17:47,17:51,17:57,18:01,18:04,18:07,18:11,18:14,18:17,18:22,18:30,18:38
1186,18:02,18:07,18:11,18:17,18:21,18:24,18:27,18:31,18:34,18:37,18:42,18:50,18:58
1190,18:22,18:27,18:31,18:37,18:41,18:44,18:47,18:51,18:54,18:57,19:02,19:10,19:18
1194,18:42,18:47,18:51,18:57,19:01,19:04,19:07,19:11,19:14,19:17,19:22,19:30,19:38
1198,19:02,19:07,19:11,19:17,19:21,19:24,19:27,19:31,19:34,19:37,19:42,19:50,19:58
1202,19:22,19:27,19:31,19:37,19:41,19:44,19:47,19:51,19:54,19:57,20:02,20:10,20:18
1206,19:42,19:47,19:51,19:57,20:01,20:04,20:07,20:11,20:14,20:17,20:22,20:30,20:38
1210,20:03,20:08,20:12,20:18,20:22,20:25,20:28,20:32,20:35,20:38,20:43,20:51,20:59
1214,20:22,20:27,20:31,20:37,20:41,20:44,20:47,20:51,20:54,20:57,21:02,21:10,21:18
1218,20:42,20:47,20:51,20:57,21:01,21:04,21:07,21:11,21:14,21:17,21:22,21:30,21:38
1222,21:02,21:07,21:11,21:17,21:21,21:24,21:27,21:31,21:34,21:37,21:42,21:50,21:58
1226,21:26,21:31,21:35,21:41,21:45,21:48,21:51,21:55,21:58,22:01,22:06,22:14,22:22
1530,21:50,21:55,21:59,22:05,22:09,22:12,22:15,22:19,,,,,
1534,22:14,22:19,22:23,22:29,22:33,22:36,22:39,22:43,,,,,
