SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
3001,04:00,,04:07,04:11,04:15,04:18,04:21,04:24,04:27,04:31,04:36,04:39,04:42,04:46,04:50
4693,,,,,,,,,04:50,,,,,,05:09
3005,04:40,,04:47,04:51,04:55,04:58,05:01,05:04,05:07,05:11,05:16,05:19,05:22,05:26,05:30
3009,05:20,,05:27,05:31,05:35,05:38,05:41,05:44,05:47,05:51,05:56,05:59,06:02,06:06,06:10
4695,,,,,,,,,06:00,,,,,,06:19
3013,06:00,,06:07,06:11,06:15,06:18,06:21,06:24,06:27,06:31,06:36,06:39,06:42,06:46,06:50
3017,06:40,,06:47,06:51,06:55,06:58,07:01,07:04,07:07,07:11,07:16,07:19,07:22,07:26,07:30
3021,07:20,,07:27,07:31,07:35,07:38,07:41,07:44,07:47,07:51,07:56,07:59,08:02,08:06,08:10
3025,08:00,,08:07,08:11,08:15,08:18,08:21,08:24,08:27,08:31,08:36,08:39,08:42,08:46,08:50
3029,08:40,,08:47,08:51,08:55,08:58,09:01,09:04,09:07,09:11,09:16,09:19,09:22,09:26,09:30
3033,09:10,,09:17,09:21,09:25,09:28,09:31,09:34,09:37,09:41,09:46,09:49,09:52,09:56,10:00
3037,09:40,,09:47,09:51,09:55,09:58,10:01,10:04,10:07,10:11,10:16,10:19,10:22,10:26,10:30
3041,10:06,,10:13,10:17,10:21,10:24,10:27,10:30,10:33,10:37,10:42,10:45,10:48,10:52,10:56
3045,10:32,,10:39,10:43,10:47,10:50,10:53,10:56,10:59,11:03,11:08,11:11,11:14,11:18,11:22
3049,10:58,,11:05,11:09,11:13,11:16,11:19,11:22,11:25,11:29,11:34,11:37,11:40,11:44,11:48
3053,11:24,,11:31,11:35,11:39,11:42,11:45,11:48,11:51,11:55,12:00,12:03,12:06,12:10,12:14
3057,11:50,,11:57,12:01,12:05,12:08,12:11,12:14,12:17,12:21,12:26,12:29,12:32,12:36,12:40
3061,12:16,,12:23,12:27,12:31,12:34,12:37,12:40,12:43,12:47,12:52,12:55,12:58,13:02,13:06
3065,12:42,,12:49,12:53,12:57,13:00,13:03,13:06,13:09,13:13,13:18,13:21,13:24,13:28,13:32
3069,13:08,,13:15,13:19,13:23,13:26,13:29,13:32,13:35,13:39,13:44,13:47,13:50,13:54,13:58
3073,13:34,,13:41,13:45,13:49,13:52,13:55,13:58,14:01,14:05,14:10,14:13,14:16,14:20,14:24
3077,14:00,,14:07,14:11,14:15,14:18,14:21,14:24,14:27,14:31,14:36,14:39,14:42,14:46,14:50
3081,14:26,,14:33,14:37,14:41,14:44,14:47,14:50,14:53,14:57,15:02,15:05,15:08,15:12,15:16
3085,14:52,,14:59,15:03,15:07,15:10,15:13,15:16,15:19,15:23,15:28,15:31,15:34,15:38,15:42
3089,15:18,,15:25,15:29,15:33,15:36,15:39,15:42,15:45,15:49,15:54,15:57,16:00,16:04,16:08
3093,15:44,,15:51,15:55,15:59,16:02,16:05,16:08,16:11,16:15,16:20,16:23,16:26,16:30,16:34
3097,16:10,,16:17,16:21,16:25,16:28,16:31,16:34,16:37,16:41,16:46,16:49,16:52,16:56,17:00
3101,16:36,,16:43,16:47,16:51,16:54,16:57,17:00,17:03,17:07,17:12,17:15,17:18,17:22,17:26
3105,17:02,,17:09,17:13,17:17,17:20,17:23,17:26,17:29,17:33,17:38,17:41,17:44,17:48,17:52
3109,17:28,,17:35,17:39,17:43,17:46,17:49,17:52,17:55,17:59,18:04,18:07,18:10,18:14,18:18
3113,17:54,,18:01,18:05,18:09,18:12,18:15,18:18,18:21,18:25,18:30,18:33,18:36,18:40,18:44
3117,18:20,,18:27,18:31,18:35,18:38,18:41,18:44,18:47,18:51,18:56,18:59,19:02,19:06,19:10
3121,18:46,,18:53,18:57,19:01,19:04,19:07,19:10,19:13,19:17,19:22,19:25,19:28,19:32,19:36
3125,19:12,,19:19,19:23,19:27,19:30,19:33,19:36,19:39,19:43,19:48,19:51,19:54,19:58,20:02
3129,19:38,,19:45,19:49,19:53,19:56,19:59,20:02,20:05,20:09,20:14,20:17,20:20,20:24,20:28
3133,20:04,,20:11,20:15,20:19,20:22,20:25,20:28,20:31,20:35,20:40,20:43,20:46,20:50,20:54
3137,20:30,,20:37,20:41,20:45,20:48,20:51,20:54,20:57,21:01,21:06,21:09,21:12,21:16,21:20
3141,21:00,,21:07,21:11,21:15,21:18,21:21,21:24,21:27,21:31,21:36,21:39,21:42,21:46,21:50
3145,21:30,,21:37,21:41,21:45,21:48,21:51,21:54,21:57,22:01,22:06,22:09,22:12,22:16,22:20
3149,22:00,,22:07,22:11,22:15,22:18,22:21,22:24,22:27,22:31,22:36,22:39,22:42,22:46,22:50
3925,22:34,,22:42,,22:49,,22:54,22:57,23:00,23:04,23:09,,,,
3943,22:54,,23:01,23:05,23:09,23:12,23:15,23:18,23:21,23:25,23:30,,,,
