SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
4693,,,,,,,,,03:02,,,,,,03:21
4695,,,,,,,,,03:22,,,,,,03:41
3005,04:24,,04:31,04:35,04:39,04:42,04:45,04:48,04:51,04:55,05:00,05:03,05:06,05:10,05:14
3009,04:40,,04:47,04:51,04:55,04:58,05:01,05:04,05:07,05:11,05:16,05:19,05:22,05:26,05:30
3013,04:56,,05:03,05:07,05:11,05:14,05:17,05:20,05:23,05:27,05:32,05:35,05:38,05:42,05:46
3017,05:12,,05:19,05:23,05:27,05:30,05:33,05:36,05:39,05:43,05:48,05:51,05:54,05:58,06:02
3021,05:28,,05:35,05:39,05:43,05:46,05:49,05:52,05:55,05:59,06:04,06:07,06:10,06:14,06:18
3025,05:44,,05:51,05:55,05:59,06:02,06:05,06:08,06:11,06:15,06:20,06:23,06:26,06:30,06:34
3029,06:00,,06:07,06:11,06:15,06:18,06:21,06:24,06:27,06:31,06:36,06:39,06:42,06:46,06:50
3033,06:16,,06:23,06:26,06:30,06:32,06:34,06:37,06:39,06:43,06:48,06:51,06:54,06:58,07:02
3037,06:24,,06:31,06:35,06:39,06:42,06:45,06:48,06:51,06:55,07:00,07:03,07:06,07:10,07:14
3041,06:40,,06:47,06:50,06:54,06:56,06:58,07:01,07:03,07:07,07:12,07:15,07:18,07:22,07:26
3045,06:48,,06:55,06:59,07:03,07:06,07:09,07:12,07:15,07:19,07:24,07:27,07:30,07:34,07:38
3049,07:04,,07:11,07:14,07:18,07:20,07:22,07:25,07:27,07:31,07:36,07:39,07:42,07:46,07:50
3053,07:12,,07:19,07:23,07:27,07:30,07:33,07:36,07:39,07:43,07:48,07:51,07:54,07:58,08:02
3057,07:23,,07:30,07:34,07:38,07:41,07:44,07:47,07:50,07:54,07:59,08:02,08:05,08:09,08:13
3061,07:36,,07:43,07:47,07:51,07:54,07:57,08:00,08:03,08:07,08:12,08:15,08:18,08:22,08:26
3065,07:52,,07:59,08:02,08:06,08:08,08:10,08:13,08:15,08:19,08:24,08:27,08:30,08:34,08:38
3069,08:00,,08:07,08:11,08:15,08:18,08:21,08:24,08:27,08:31,08:36,08:39,08:42,08:46,08:50
3073,08:16,,08:23,08:26,08:30,08:32,08:34,08:37,08:39,08:43,08:48,08:51,08:54,08:58,09:02
3077,08:24,,08:31,08:35,08:39,08:42,08:45,08:48,08:51,08:55,09:00,09:03,09:06,09:10,09:14
3085,08:48,,08:55,08:59,09:03,09:06,09:09,09:12,09:15,09:19,09:24,09:27,09:30,09:34,09:38
3089,09:04,,09:11,09:14,09:18,09:20,09:22,09:25,09:27,09:31,09:36,09:39,09:42,09:46,09:50
3093,09:12,,09:19,09:23,09:27,09:30,09:33,09:36,09:39,09:43,09:48,09:51,09:54,09:58,10:02
3971,09:22,,09:30,,09:37,,09:42,09:45,09:48,09:52,09:57,,,,
3097,09:28,,09:35,09:38,09:42,09:44,09:46,09:49,09:51,09:55,10:00,10:03,10:06,10:10,10:14
3101,09:36,,09:43,09:47,09:51,09:54,09:57,10:00,10:03,10:07,10:12,10:15,10:18,10:22,10:26
3105,09:52,,09:59,10:02,10:06,10:08,10:10,10:13,10:15,10:19,10:24,10:27,10:30,10:34,10:38
3109,10:00,,10:07,10:11,10:15,10:18,10:21,10:24,10:27,10:31,10:36,10:39,10:42,10:46,10:50
3113,10:12,,10:19,10:23,10:27,10:30,10:33,10:36,10:39,10:43,10:48,10:51,10:54,10:58,11:02
3117,10:24,,10:31,10:35,10:39,10:42,10:45,10:48,10:51,10:55,11:00,11:03,11:06,11:10,11:14
3121,10:36,,10:43,10:47,10:51,10:54,10:57,11:00,11:03,11:07,11:12,11:15,11:18,11:22,11:26
3125,10:48,,10:55,10:59,11:03,11:06,11:09,11:12,11:15,11:19,11:24,11:27,11:30,11:34,11:38
3929,11:00,,11:07,11:11,11:15,11:18,11:21,11:24,11:27,11:31,11:36,,,,
3133,11:12,,11:19,11:23,11:27,11:30,11:33,11:36,11:39,11:43,11:48,11:51,11:54,11:58,12:02
3137,11:24,,11:31,11:35,11:39,11:42,11:45,11:48,11:51,11:55,12:00,12:03,12:06,12:10,12:14
3141,11:36,,11:43,11:47,11:51,11:54,11:57,12:00,12:03,12:07,12:12,12:15,12:18,12:22,12:26
3145,11:48,,11:55,11:59,12:03,12:06,12:09,12:12,12:15,12:19,12:24,12:27,12:30,12:34,12:38
3149,12:00,,12:07,12:11,12:15,12:18,12:21,12:24,12:27,12:31,12:36,12:39,12:42,12:46,12:50
3153,12:12,,12:19,12:23,12:27,12:30,12:33,12:36,12:39,12:43,12:48,12:51,12:54,12:58,13:02
3157,12:24,,12:31,12:35,12:39,12:42,12:45,12:48,12:51,12:55,13:00,13:03,13:06,13:10,13:14
3161,12:36,,12:43,12:47,12:51,12:54,12:57,13:00,13:03,13:07,13:12,13:15,13:18,13:22,13:26
3165,12:48,,12:55,12:59,13:03,13:06,13:09,13:12,13:15,13:19,13:24,13:27,13:30,13:34,13:38
3169,13:00,,13:07,13:11,13:15,13:18,13:21,13:24,13:27,13:31,13:36,13:39,13:42,13:46,13:50
3173,13:12,,13:19,13:23,13:27,13:30,13:33,13:36,13:39,13:43,13:48,13:51,13:54,13:58,14:02
