SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
4693,,,,,,,,,03:22,,,,,,03:41
3019,04:20,,04:27,04:31,04:35,04:38,04:41,04:44,04:47,04:51,04:56,04:59,05:02,05:06,05:10
3023,04:40,,04:47,04:51,04:55,04:58,05:01,05:04,05:07,05:11,05:16,05:19,05:22,05:26,05:30
3027,05:00,,05:07,05:11,05:15,05:18,05:21,05:24,05:27,05:31,05:36,05:39,05:42,05:46,05:50
3031,05:20,,05:27,05:31,05:35,05:38,05:41,05:44,05:47,05:51,05:56,05:59,06:02,06:06,06:10
4697,,,,,,,,,05:58,,,,,,06:17
3035,05:40,,05:47,05:51,05:55,05:58,06:01,06:04,06:07,06:11,06:16,06:19,06:22,06:26,06:30
3039,06:00,,06:07,06:11,06:15,06:18,06:21,06:24,06:27,06:31,06:36,06:39,06:42,06:46,06:50
3043,06:20,,06:27,06:31,06:35,06:38,06:41,06:44,06:47,06:51,06:56,06:59,07:02,07:06,07:10
3047,06:40,,06:47,06:51,06:55,06:58,07:01,07:04,07:07,07:11,07:16,07:19,07:22,07:26,07:30
3051,07:00,,07:07,07:11,07:15,07:18,07:21,07:24,07:27,07:31,07:36,07:39,07:42,07:46,07:50
3055,07:20,,07:27,07:31,07:35,07:38,07:41,07:44,07:47,07:51,07:56,07:59,08:02,08:06,08:10
3059,07:40,,07:47,07:51,07:55,07:58,08:01,08:04,08:07,08:11,08:16,08:19,08:22,08:26,08:30
3063,08:00,,08:07,08:11,08:15,08:18,08:21,08:24,08:27,08:31,08:36,08:39,08:42,08:46,08:50
3067,08:20,,08:27,08:31,08:35,08:38,08:41,08:44,08:47,08:51,08:56,08:59,09:02,09:06,09:10
3071,08:40,,08:47,08:51,08:55,08:58,09:01,09:04,09:07,09:11,09:16,09:19,09:22,09:26,09:30
3075,09:00,,09:07,09:11,09:15,09:18,09:21,09:24,09:27,09:31,09:36,09:39,09:42,09:46,09:50
3079,09:20,,09:27,09:31,09:35,09:38,09:41,09:44,09:47,09:51,09:56,09:59,10:02,10:06,10:10
3083,09:40,,09:47,09:51,09:55,09:58,10:01,10:04,10:07,10:11,10:16,10:19,10:22,10:26,10:30
3087,10:00,,10:07,10:11,10:15,10:18,10:21,10:24,10:27,10:31,10:36,10:39,10:42,10:46,10:50
3091,10:20,,10:27,10:31,10:35,10:38,10:41,10:44,10:47,10:51,10:56,10:59,11:02,11:06,11:10
3905,10:40,,10:47,10:51,10:55,10:58,11:01,11:04,11:07,11:11,11:16,,,,
3099,11:00,,11:07,11:11,11:15,11:18,11:21,11:24,11:27,11:31,11:36,11:39,11:42,11:46,11:50
3103,11:20,,11:27,11:31,11:35,11:38,11:41,11:44,11:47,11:51,11:56,11:59,12:02,12:06,12:10
3107,11:40,,11:47,11:51,11:55,11:58,12:01,12:04,12:07,12:11,12:16,12:19,12:22,12:26,12:30
3111,12:00,,12:07,12:11,12:15,12:18,12:21,12:24,12:27,12:31,12:36,12:39,12:42,12:46,12:50
3115,12:20,,12:27,12:31,12:35,12:38,12:41,12:44,12:47,12:51,12:56,12:59,13:02,13:06,13:10
3119,12:40,,12:47,12:51,12:55,12:58,13:01,13:04,13:07,13:11,13:16,13:19,13:22,13:26,13:30
3123,13:00,,13:07,13:11,13:15,13:18,13:21,13:24,13:27,13:31,13:36,13:39,13:42,13:46,13:50
3127,13:20,,13:27,13:31,13:35,13:38,13:41,13:44,13:47,13:51,13:56,13:59,14:02,14:06,14:10
3931,13:40,,13:47,13:51,13:55,13:58,14:01,14:04,14:07,14:11,14:16,,,,
3135,14:00,,14:07,14:11,14:15,14:18,14:21,14:24,14:27,14:31,14:36,14:39,14:42,14:46,14:50
