SERVICIO,LR-EZEIZ,LR-JAGUE,LR-MGRAN,LR-LGUIL,LR-LLAVA,LR-TURDE,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-ESCAL,LR-LANUS,LR-GERLI,LR-AVELL,LR-HYRIG,LR-CONST
3002,04:36,04:40,04:44,04:47,04:50,04:54,04:59,05:02,05:05,05:08,05:11,05:15,05:19,,05:26
3906,,,,,05:00,05:04,05:09,05:12,05:15,,05:20,,05:28,,05:36
3006,05:16,05:20,05:24,05:27,05:30,05:34,05:39,05:42,05:45,05:48,05:51,05:55,05:59,,06:06
3010,05:56,06:00,06:04,06:07,06:10,06:14,06:19,06:22,06:25,06:28,06:31,06:35,06:39,,06:46
3918,,,,,06:30,06:34,06:39,06:42,06:45,,06:50,,06:58,,07:06
3014,06:36,06:40,06:44,06:47,06:50,06:54,06:59,07:02,07:05,07:08,07:11,07:15,07:19,,07:26
3018,07:16,07:20,07:24,07:27,07:30,07:34,07:39,07:42,07:45,07:48,07:51,07:55,07:59,,08:06
3022,07:56,08:00,08:04,08:07,08:10,08:14,08:19,08:22,08:25,08:28,08:31,08:35,08:39,,08:46
3026,08:36,08:40,08:44,08:47,08:50,08:54,08:59,09:02,09:05,09:08,09:11,09:15,09:19,,09:26
3030,09:06,09:10,09:14,09:17,09:20,09:24,09:29,09:32,09:35,09:38,09:41,09:45,09:49,,09:56
3034,09:36,09:40,09:44,09:47,09:50,09:54,09:59,10:02,10:05,10:08,10:11,10:15,10:19,,10:26
3038,10:06,10:10,10:14,10:17,10:20,10:24,10:29,10:32,10:35,10:38,10:41,10:45,10:49,,10:56
3042,10:34,10:38,10:42,10:45,10:48,10:52,10:57,11:00,11:03,11:06,11:09,11:13,11:17,,11:24
3046,11:02,11:06,11:10,11:13,11:16,11:20,11:25,11:28,11:31,11:34,11:37,11:41,11:45,,11:52
3050,11:28,11:32,11:36,11:39,11:42,11:46,11:51,11:54,11:57,12:00,12:03,12:07,12:11,,12:18
3054,11:54,11:58,12:02,12:05,12:08,12:12,12:17,12:20,12:23,12:26,12:29,12:33,12:37,,12:44
3058,12:20,12:24,12:28,12:31,12:34,12:38,12:43,12:46,12:49,12:52,12:55,12:59,13:03,,13:10
3062,12:46,12:50,12:54,12:57,13:00,13:04,13:09,13:12,13:15,13:18,13:21,13:25,13:29,,13:36
3066,13:12,13:16,13:20,13:23,13:26,13:30,13:35,13:38,13:41,13:44,13:47,13:51,13:55,,14:02
3070,13:38,13:42,13:46,13:49,13:52,13:56,14:01,14:04,14:07,14:10,14:13,14:17,14:21,,14:28
3074,14:04,14:08,14:12,14:15,14:18,14:22,14:27,14:30,14:33,14:36,14:39,14:43,14:47,,14:54
3078,14:30,14:34,14:38,14:41,14:44,14:48,14:53,14:56,14:59,15:02,15:05,15:09,15:13,,15:20
3082,14:56,15:00,15:04,15:07,15:10,15:14,15:19,15:22,15:25,15:28,15:31,15:35,15:39,,15:46
3086,15:22,15:26,15:30,15:33,15:36,15:40,15:45,15:48,15:51,15:54,15:57,16:01,16:05,,16:12
3090,15:48,15:52,15:56,15:59,16:02,16:06,16:11,16:14,16:17,16:20,16:23,16:27,16:31,,16:38
3094,16:14,16:18,16:22,16:25,16:28,16:32,16:37,16:40,16:43,16:46,16:49,16:53,16:57,,17:04
3098,16:40,16:44,16:48,16:51,16:54,16:58,17:03,17:06,17:09,17:12,17:15,17:19,17:23,,17:30
3102,17:06,17:10,17:14,17:17,17:20,17:24,17:29,17:32,17:35,17:38,17:41,17:45,17:49,,17:56
3106,17:32,17:36,17:40,17:43,17:46,17:50,17:55,17:58,18:01,18:04,18:07,18:11,18:15,,18:22
3110,17:58,18:02,18:06,18:09,18:12,18:16,18:21,18:24,18:27,18:30,18:33,18:37,18:41,,18:48
3114,18:24,18:28,18:32,18:35,18:38,18:42,18:47,18:50,18:53,18:56,18:59,19:03,19:07,,19:14
3118,18:50,18:54,18:58,19:01,19:04,19:08,19:13,19:16,19:19,19:22,19:25,19:29,19:33,,19:40
3122,19:16,19:20,19:24,19:27,19:30,19:34,19:39,19:42,19:45,19:48,19:51,19:55,19:59,,20:06
3126,19:42,19:46,19:50,19:53,19:56,20:00,20:05,20:08,20:11,20:14,20:17,20:21,20:25,,20:32
3130,20:08,20:12,20:16,20:19,20:22,20:26,20:31,20:34,20:37,20:40,20:43,20:47,20:51,,20:58
3134,20:34,20:38,20:42,20:45,20:48,20:52,20:57,21:00,21:03,21:06,21:09,21:13,21:17,,21:24
3138,21:00,21:04,21:08,21:11,21:14,21:18,21:23,21:26,21:29,21:32,21:35,21:39,21:43,,21:50
3142,21:26,21:30,21:34,21:37,21:40,21:44,21:49,21:52,21:55,21:58,22:01,22:05,22:09,,22:16
3148,21:52,21:56,22:00,22:03,22:06,22:10,22:15,22:18,22:21,22:24,22:27,22:31,22:35,,22:42
4694,22:44,,,,,,23:06,,,,,,,,
4696,23:01,,,,,,23:23,,,,,,,,
