SERVICIO,LR-EZEIZ,LR-JAGUE,LR-MGRAN,LR-LGUIL,LR-LLAVA,LR-TURDE,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-ESCAL,LR-LANUS,LR-GERLI,LR-AVELL,LR-HYRIG,LR-CONST
3004,04:04,04:08,04:12,04:15,04:18,04:22,04:27,04:30,04:33,04:36,04:39,04:43,04:47,,04:54
3008,04:20,04:24,04:28,04:31,04:34,04:38,04:43,04:46,04:49,04:52,04:55,04:59,05:03,,05:10
3014,04:44,04:48,04:52,04:55,04:58,05:02,05:07,05:10,05:13,05:16,05:19,05:23,05:27,,05:34
3022,05:08,05:12,05:16,05:19,05:22,05:26,05:31,05:34,05:37,05:40,05:43,05:47,05:51,,05:58
3026,05:24,05:28,05:32,05:35,05:38,05:42,05:47,05:50,05:53,05:56,05:59,06:03,06:07,,06:14
3928,,,,,05:45,05:49,05:53,05:56,05:58,06:00,06:03,06:06,06:10,,06:18
3030,05:39,05:43,05:47,05:50,05:53,05:57,06:01,06:04,06:06,06:08,06:11,06:14,06:18,,06:26
3034,05:48,05:52,05:56,05:59,06:02,06:06,06:11,06:14,06:17,06:20,06:23,06:27,06:31,,06:38
3038,06:02,06:06,06:10,06:13,06:16,06:20,06:24,06:27,06:29,06:31,06:34,06:37,06:41,,06:49
3042,06:12,06:16,06:20,06:23,06:26,06:30,06:35,06:38,06:41,06:44,06:47,06:51,06:55,,07:02
3050,06:36,06:40,06:44,06:47,06:50,06:54,06:59,07:02,07:05,07:08,07:11,07:15,07:19,,07:26
3054,06:50,06:54,06:58,07:01,07:04,07:08,07:12,07:15,07:17,07:19,07:22,07:25,07:29,,07:37
3058,07:00,07:04,07:08,07:11,07:14,07:18,07:23,07:26,07:29,07:32,07:35,07:39,07:43,,07:50
3062,07:14,07:18,07:22,07:25,07:28,07:32,07:36,07:39,07:41,07:43,07:46,07:49,07:53,,08:01
3066,07:24,07:28,07:32,07:35,07:38,07:42,07:47,07:50,07:53,07:56,07:59,08:03,08:07,,08:14
3070,07:38,07:42,07:46,07:49,07:52,07:56,08:00,08:03,08:05,08:07,08:10,08:13,08:17,,08:25
3074,07:48,07:52,07:56,07:59,08:02,08:06,08:11,08:14,08:17,08:20,08:23,08:27,08:31,,08:38
3078,08:02,08:06,08:10,08:13,08:16,08:20,08:24,08:27,08:29,08:31,08:34,08:37,08:41,,08:49
3082,08:12,08:16,08:20,08:23,08:26,08:30,08:35,08:38,08:41,08:44,08:47,08:51,08:55,,09:02
3086,08:24,08:28,08:32,08:35,08:38,08:42,08:47,08:50,08:53,08:56,08:59,09:03,09:07,,09:14
3090,08:36,08:40,08:44,08:47,08:50,08:54,08:59,09:02,09:05,09:08,09:11,09:15,09:19,,09:26
3094,08:50,08:54,08:58,09:01,09:04,09:08,09:12,09:15,09:17,09:19,09:22,09:25,09:29,,09:37
3098,09:00,09:04,09:08,09:11,09:14,09:18,09:23,09:26,09:29,09:32,09:35,09:39,09:43,,09:50
3102,09:14,09:18,09:22,09:25,09:28,09:32,09:36,09:39,09:41,09:43,09:46,09:49,09:53,,10:01
