SERVICIO,LR-EZEIZ,LR-JAGUE,LR-MGRAN,LR-LGUIL,LR-LLAVA,LR-TURDE,LR-TEMPE,LR-LZAMO,LR-BANFI,LR-ESCAL,LR-LANUS,LR-GERLI,LR-AVELL,LR-HYRIG,LR-CONST
3020,04:15,04:19,04:23,04:26,04:29,04:33,04:38,04:41,04:44,04:47,04:50,04:54,04:58,,05:05
3906,,,,,,,04:49,04:52,04:55,,05:00,,05:08,,05:16
3024,04:35,04:39,04:43,04:46,04:49,04:53,04:58,05:01,05:04,05:07,05:10,05:14,05:18,,05:25
3028,04:55,04:59,05:03,05:06,05:09,05:13,05:18,05:21,05:24,05:27,05:30,05:34,05:38,,05:45
3918,,,,,05:22,05:26,05:31,05:34,05:37,,05:42,,05:50,,05:58
3032,05:15,05:19,05:23,05:26,05:29,05:33,05:38,05:41,05:44,05:47,05:50,05:54,05:58,,06:05
3922,,,,,05:42,05:46,05:51,05:54,05:57,,06:02,,06:10,,06:18
3036,05:35,05:39,05:43,05:46,05:49,05:53,05:58,06:01,06:04,06:07,06:10,06:14,06:18,,06:25
3926,,,,,06:02,06:06,06:11,06:14,06:17,,06:22,,06:30,,06:38
3040,05:55,05:59,06:03,06:06,06:09,06:13,06:18,06:21,06:24,06:27,06:30,06:34,06:38,,06:45
3930,,,,,06:22,06:26,06:31,06:34,06:37,,06:42,,06:50,,06:58
3044,06:15,06:19,06:23,06:26,06:29,06:33,06:38,06:41,06:44,06:47,06:50,06:54,06:58,,07:05
3934,,,,,06:42,06:46,06:51,06:54,06:57,,07:02,,07:10,,07:18
3048,06:35,06:39,06:43,06:46,06:49,06:53,06:58,07:01,07:04,07:07,07:10,07:14,07:18,,07:25
3052,06:55,06:59,07:03,07:06,07:09,07:13,07:18,07:21,07:24,07:27,07:30,07:34,07:38,,07:45
3056,07:15,07:19,07:23,07:26,07:29,07:33,07:38,07:41,07:44,07:47,07:50,07:54,07:58,,08:05
3060,07:35,07:39,07:43,07:46,07:49,07:53,07:58,08:01,08:04,08:07,08:10,08:14,08:18,,08:25
3064,07:55,07:59,08:03,08:06,08:09,08:13,08:18,08:21,08:24,08:27,08:30,08:34,08:38,,08:45
3068,08:15,08:19,08:23,08:26,08:29,08:33,08:38,08:41,08:44,08:47,08:50,08:54,08:58,,09:05
3072,08:35,08:39,08:43,08:46,08:49,08:53,08:58,09:01,09:04,09:07,09:10,09:14,09:18,,09:25
3076,08:55,08:59,09:03,09:06,09:09,09:13,09:18,09:21,09:24,09:27,09:30,09:34,09:38,,09:45
3080,09:15,09:19,09:23,09:26,09:29,09:33,09:38,09:41,09:44,09:47,09:50,09:54,09:58,,10:05
3084,09:35,09:39,09:43,09:46,09:49,09:53,09:58,10:01,10:04,10:07,10:10,10:14,10:18,,10:25
3088,09:55,09:59,10:03,10:06,10:09,10:13,10:18,10:21,10:24,10:27,10:30,10:34,10:38,,10:45
3092,10:15,10:19,10:23,10:26,10:29,10:33,10:38,10:41,10:44,10:47,10:50,10:54,10:58,,11:05
3096,10:35,10:39,10:43,10:46,10:49,10:53,10:58,11:01,11:04,11:07,11:10,11:14,11:18,,11:25
3100,10:55,10:59,11:03,11:06,11:09,11:13,11:18,11:21,11:24,11:27,11:30,11:34,11:38,,11:45
3104,11:15,11:19,11:23,11:26,11:29,11:33,11:38,11:41,11:44,11:47,11:50,11:54,11:58,,12:05
3108,11:35,11:39,11:43,11:46,11:49,11:53,11:58,12:01,12:04,12:07,12:10,12:14,12:18,,12:25
3912,,,,,12:09,12:13,12:18,12:21,12:24,12:27,12:30,12:34,12:38,,12:45
3116,12:15,12:19,12:23,12:26,12:29,12:33,12:38,12:41,12:44,12:47,12:50,12:54,12:58,,13:05
3120,12:35,12:39,12:43,12:46,12:49,12:53,12:58,13:01,13:04,13:07,13:10,13:14,13:18,,13:25
3124,12:55,12:59,13:03,13:06,13:09,13:13,13:18,13:21,13:24,13:27,13:30,13:34,13:38,,13:45
3128,13:15,13:19,13:23,13:26,13:29,13:33,13:38,13:41,13:44,13:47,13:50,13:54,13:58,,14:05
3132,13:35,13:39,13:43,13:46,13:49,13:53,13:58,14:01,14:04,14:07,14:10,14:14,14:18,,14:25
3136,13:55,13:59,14:03,14:06,14:09,14:13,14:18,14:21,14:24,14:27,14:30,14:34,14:38,,14:45
3140,14:15,14:19,14:23,14:26,14:29,14:33,14:38,14:41,14:44,14:47,14:50,14:54,14:58,,15:05
3144,14:35,14:39,14:43,14:46,14:49,14:53,14:58,15:01,15:04,15:07,15:10,15:14,15:18,,15:25
3948,,,,,15:11,15:15,15:20,15:23,15:26,15:29,15:32,15:36,15:40,,15:47
3152,15:15,15:19,15:23,15:26,15:29,15:33,15:38,15:41,15:44,15:47,15:50,15:54,15:58,,16:05
3156,15:35,15:39,15:43,15:46,15:49,15:53,15:58,16:01,16:04,16:07,16:10,16:14,16:18,,16:25
3160,15:55,15:59,16:03,16:06,16:09,16:13,16:18,16:21,16:24,16:27,16:30,16:34,16:38,,16:45
3164,16:15,16:19,16:23,16:26,16:29,16:33,16:38,16:41,16:44,16:47,16:50,16:54,16:58,,17:05
3168,16:35,16:39,16:43,16:46,16:49,16:53,16:58,17:01,17:04,17:07,17:10,17:14,17:18,,17:25
3172,16:55,16:59,17:03,17:06,17:09,17:13,17:18,17:21,17:24,17:27,17:30,17:34,17:38,,17:45
3176,17:15,17:19,17:23,17:26,17:29,17:33,17:38,17:41,17:44,17:47,17:50,17:54,17:58,,18:05
3180,17:35,17:39,17:43,17:46,17:49,17:53,17:58,18:01,18:04,18:07,18:10,18:14,18:18,,18:25
3184,17:55,17:59,18:03,18:06,18:09,18:13,18:18,18:21,18:24,18:27,18:30,18:34,18:38,,18:45
3188,18:15,18:19,18:23,18:26,18:29,18:33,18:38,18:41,18:44,18:47,18:50,18:54,18:58,,19:05
3192,18:35,18:39,18:43,18:46,18:49,18:53,18:58,19:01,19:04,19:07,19:10,19:14,19:18,,19:25
3196,18:55,18:59,19:03,19:06,19:09,19:13,19:18,19:21,19:24,19:27,19:30,19:34,19:38,,19:45
3200,19:15,19:19,19:23,19:26,19:29,19:33,19:38,19:41,19:44,19:47,19:50,19:54,19:58,,20:05
3204,19:35,19:39,19:43,19:46,19:49,19:53,19:58,20:01,20:04,20:07,20:10,20:14,20:18,,20:25
3208,19:55,19:59,20:03,20:06,20:09,20:13,20:18,20:21,20:24,20:27,20:30,20:34,20:38,,20:45
3212,20:15,20:19,20:23,20:26,20:29,20:33,20:38,20:41,20:44,20:47,20:50,20:54,20:58,,21:05
3216,20:35,20:39,20:43,20:46,20:49,20:53,20:58,21:01,21:04,21:07,21:10,21:14,21:18,,21:25
3220,20:55,20:59,21:03,21:06,21:09,21:13,21:18,21:21,21:24,21:27,21:30,21:34,21:38,,21:45
3224,21:15,21:19,21:23,21:26,21:29,21:33,21:38,21:41,21:44,21:47,21:50,21:54,21:58,,22:05
3228,21:35,21:39,21:43,21:46,21:49,21:53,21:58,22:01,22:04,22:07,22:10,22:14,22:18,,22:25
3232,21:55,21:59,22:03,22:06,22:09,22:13,22:18,22:21,22:24,22:27,22:30,22:34,22:38,,22:45
3240,22:32,22:36,22:40,22:43,22:46,22:50,22:55,22:58,23:01,23:04,23:07,23:11,23:15,,23:22
4696,23:07,,,,,,23:29,,,,,,,,
