SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-PTNOS,LR-HUDSO,LR-PEREY,LR-VELIS,LR-CBELL,LR-GONNE,LR-RINGU,LR-TOLOS,LR-LPLAT
E2039,04:25,04:33,04:39,04:42,04:45,04:47,04:50,04:53,04:58,05:02,,,,,,,,,
E2047,,,,,,,,,,05:28,05:16,05:18,05:25,05:29,05:33,05:38,05:41,05:46,05:50
4051,05:08,05:16,05:22,05:25,05:28,05:30,05:33,05:36,05:41,05:45,05:50,05:52,05:59,06:03,06:07,06:12,06:15,06:20,06:24
4059,05:40,05:48,05:54,05:57,06:00,06:02,06:05,06:08,06:13,06:17,06:22,06:24,06:31,06:35,06:39,06:44,06:47,06:52,06:56
4067,06:10,06:18,06:24,06:27,06:30,06:32,06:35,06:38,06:43,06:47,06:52,06:54,07:01,07:05,07:09,07:14,07:17,07:22,07:26
4075,06:35,06:43,06:49,06:52,06:55,06:57,07:00,07:03,07:08,07:12,07:17,07:19,07:26,07:30,07:34,07:39,07:42,07:47,07:51
4083,06:58,07:06,07:12,07:15,07:18,07:20,07:23,07:26,07:31,07:35,07:40,07:42,07:49,07:53,07:57,08:02,08:05,08:10,08:14
4099,07:46,07:54,08:00,08:03,08:06,08:08,08:11,08:14,08:19,08:23,08:28,08:30,08:37,08:41,08:45,08:50,08:53,08:58,09:02
4107,08:10,08:18,08:24,08:27,08:30,08:32,08:35,08:38,08:43,08:47,08:52,08:54,09:01,09:05,09:09,09:14,09:17,09:22,09:26
4115,08:35,08:43,08:49,08:52,08:55,08:57,09:00,09:03,09:08,09:12,09:17,09:19,09:26,09:30,09:34,09:39,09:42,09:47,09:51
4123,08:59,09:07,09:13,09:16,09:19,09:21,09:24,09:27,09:32,09:36,09:41,09:43,09:50,09:54,09:58,10:03,10:06,10:11,10:15
4139,09:47,09:55,10:01,10:04,10:07,10:09,10:12,10:15,10:20,10:24,10:29,10:31,10:38,10:42,10:46,10:51,10:54,10:59,11:03
4147,10:19,10:27,10:33,10:36,10:39,10:41,10:44,10:47,10:52,10:56,11:01,11:03,11:10,11:14,11:18,11:23,11:26,11:31,11:35
4155,10:51,10:59,11:05,11:08,11:11,11:13,11:16,11:19,11:24,11:28,11:33,11:35,11:42,11:46,11:50,11:55,11:58,12:03,12:07
4163,11:25,11:33,11:39,11:42,11:45,11:47,11:50,11:53,11:58,12:02,12:07,12:09,12:16,12:20,12:24,12:29,12:32,12:37,12:41
4171,11:55,12:03,12:09,12:12,12:15,12:17,12:20,12:23,12:28,12:32,12:37,12:39,12:46,12:50,12:54,12:59,13:02,13:07,13:11
4179,12:23,12:31,12:37,12:40,12:43,12:45,12:48,12:51,12:56,13:00,13:05,13:07,13:14,13:18,13:22,13:27,13:30,13:35,13:39
4187,12:53,13:01,13:07,13:10,13:13,13:15,13:18,13:21,13:26,13:30,13:35,13:37,13:44,13:48,13:52,13:57,14:00,14:05,14:09
4195,13:23,13:31,13:37,13:40,13:43,13:45,13:48,13:51,13:56,14:00,14:05,14:07,14:14,14:18,14:22,14:27,14:30,14:35,14:39
4199,13:38,13:46,13:52,13:55,13:58,14:00,14:03,14:06,14:11,14:15,,,,,,,,,
4203,13:55,14:03,14:09,14:12,14:15,14:17,14:20,14:23,14:28,14:32,14:37,14:39,14:46,14:50,14:54,14:59,15:02,15:07,15:11
4211,14:26,14:34,14:40,14:43,14:46,14:48,14:51,14:54,14:59,15:03,15:08,15:10,15:17,15:21,15:25,15:30,15:33,15:38,15:42
4219,14:53,15:01,15:07,15:10,15:13,15:15,15:18,15:21,15:26,15:30,15:35,15:37,15:44,15:48,15:52,15:57,16:00,16:05,16:09
4227,15:22,15:30,15:36,15:39,15:42,15:44,15:47,15:50,15:55,15:59,16:04,16:06,16:13,16:17,16:21,16:26,16:29,16:34,16:38
4235,15:46,15:54,16:00,16:03,16:06,16:08,16:11,16:14,16:19,16:23,16:28,16:30,16:37,16:41,16:45,16:50,16:53,16:58,17:02
4243,16:10,16:18,16:24,16:27,16:30,16:32,16:35,16:38,16:43,16:47,16:52,16:54,17:01,17:05,17:09,17:14,17:17,17:22,17:26
4259,16:58,17:06,17:12,17:15,17:18,17:20,17:23,17:26,17:31,17:35,17:40,17:42,17:49,17:53,17:57,18:02,18:05,18:10,18:14
4267,17:22,17:30,17:36,17:39,17:42,17:44,17:47,17:50,17:55,17:59,18:04,18:06,18:13,18:17,18:21,18:26,18:29,18:34,18:38
4275,17:46,17:54,18:00,18:03,18:06,18:08,18:11,18:14,18:19,18:23,18:28,18:30,18:37,18:41,18:45,18:50,18:53,18:58,19:02
4283,18:10,18:18,18:24,18:27,18:30,18:32,18:35,18:38,18:43,18:47,18:52,18:54,19:01,19:05,19:09,19:14,19:17,19:22,19:26
4291,18:34,18:42,18:48,18:51,18:54,18:56,18:59,19:02,19:07,19:11,19:16,19:18,19:25,19:29,19:33,19:38,19:41,19:46,19:50
4299,18:58,19:06,19:12,19:15,19:18,19:20,19:23,19:26,19:31,19:35,19:40,19:42,19:49,19:53,19:57,20:02,20:05,20:10,20:14
4307,19:23,19:31,19:37,19:40,19:43,19:45,19:48,19:51,19:56,20:00,20:05,20:07,20:14,20:18,20:22,20:27,20:30,20:35,20:39
4315,19:47,19:55,20:01,20:04,20:07,20:09,20:12,20:15,20:20,20:24,20:29,20:31,20:38,20:42,20:46,20:51,20:54,20:59,21:03
4323,20:19,20:27,20:33,20:36,20:39,20:41,20:44,20:47,20:52,20:56,21:01,21:03,21:10,21:14,21:18,21:23,21:26,21:31,21:35
4331,20:49,20:57,21:03,21:06,21:09,21:11,21:14,21:17,21:22,21:26,21:31,21:33,21:40,21:44,21:48,21:53,21:56,22:01,22:05
E2335,21:06,21:14,21:20,21:23,21:26,21:28,21:31,21:34,21:39,21:43,,,,,,,,,
