SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-PTNOS,LR-HUDSO,LR-PEREY,LR-VELIS,LR-CBELL,LR-GONNE,LR-RINGU,LR-TOLOS,LR-LPLAT
4005,04:48,04:56,05:02,05:05,05:08,05:10,05:13,05:16,05:21,05:25,05:30,05:32,05:39,05:43,05:47,05:52,05:55,06:00,06:04
4013,05:28,05:36,05:42,05:45,05:48,05:50,05:53,05:56,06:01,06:05,06:10,06:12,06:19,06:23,06:27,06:32,06:35,06:40,06:44
4021,06:08,06:16,06:22,06:25,06:28,06:30,06:33,06:36,06:41,06:45,06:50,06:52,06:59,07:03,07:07,07:12,07:15,07:20,07:24
4029,06:48,06:56,07:02,07:05,07:08,07:10,07:13,07:16,07:21,07:25,07:30,07:32,07:39,07:43,07:47,07:52,07:55,08:00,08:04
4037,07:28,07:36,07:42,07:45,07:48,07:50,07:53,07:56,08:01,08:05,08:10,08:12,08:19,08:23,08:27,08:32,08:35,08:40,08:44
4045,08:08,08:16,08:22,08:25,08:28,08:30,08:33,08:36,08:41,08:45,08:50,08:52,08:59,09:03,09:07,09:12,09:15,09:20,09:24
4053,08:48,08:56,09:02,09:05,09:08,09:10,09:13,09:16,09:21,09:25,09:30,09:32,09:39,09:43,09:47,09:52,09:55,10:00,10:04
4061,09:28,09:36,09:42,09:45,09:48,09:50,09:53,09:56,10:01,10:05,10:10,10:12,10:19,10:23,10:27,10:32,10:35,10:40,10:44
4069,10:08,10:16,10:22,10:25,10:28,10:30,10:33,10:36,10:41,10:45,10:50,10:52,10:59,11:03,11:07,11:12,11:15,11:20,11:24
4077,10:48,10:56,11:02,11:05,11:08,11:10,11:13,11:16,11:21,11:25,11:30,11:32,11:39,11:43,11:47,11:52,11:55,12:00,12:04
4085,11:28,11:36,11:42,11:45,11:48,11:50,11:53,11:56,12:01,12:05,12:10,12:12,12:19,12:23,12:27,12:32,12:35,12:40,12:44
4093,12:08,12:16,12:22,12:25,12:28,12:30,12:33,12:36,12:41,12:45,12:50,12:52,12:59,13:03,13:07,13:12,13:15,13:20,13:24
4101,12:48,12:56,13:02,13:05,13:08,13:10,13:13,13:16,13:21,13:25,13:30,13:32,13:39,13:43,13:47,13:52,13:55,14:00,14:04
4109,13:28,13:36,13:42,13:45,13:48,13:50,13:53,13:56,14:01,14:05,14:10,14:12,14:19,14:23,14:27,14:32,14:35,14:40,14:44
4113,13:48,13:56,14:02,14:05,14:08,14:10,14:13,14:16,14:21,14:25,,,,,,,,,
4117,14:08,14:16,14:22,14:25,14:28,14:30,14:33,14:36,14:41,14:45,14:50,14:52,14:59,15:03,15:07,15:12,15:15,15:20,15:24
4125,14:48,14:56,15:02,15:05,15:08,15:10,15:13,15:16,15:21,15:25,15:30,15:32,15:39,15:43,15:47,15:52,15:55,16:00,16:04
4133,15:28,15:36,15:42,15:45,15:48,15:50,15:53,15:56,16:01,16:05,16:10,16:12,16:19,16:23,16:27,16:32,16:35,16:40,16:44
4141,16:08,16:16,16:22,16:25,16:28,16:30,16:33,16:36,16:41,16:45,16:50,16:52,16:59,17:03,17:07,17:12,17:15,17:20,17:24
4149,16:48,16:56,17:02,17:05,17:08,17:10,17:13,17:16,17:21,17:25,17:30,17:32,17:39,17:43,17:47,17:52,17:55,18:00,18:04
4157,17:28,17:36,17:42,17:45,17:48,17:50,17:53,17:56,18:01,18:05,18:10,18:12,18:19,18:23,18:27,18:32,18:35,18:40,18:44
4165,18:08,18:16,18:22,18:25,18:28,18:30,18:33,18:36,18:41,18:45,18:50,18:52,18:59,19:03,19:07,19:12,19:15,19:20,19:24
4173,18:48,18:56,19:02,19:05,19:08,19:10,19:13,19:16,19:21,19:25,19:30,19:32,19:39,19:43,19:47,19:52,19:55,20:00,20:04
4181,19:28,19:36,19:42,19:45,19:48,19:50,19:53,19:56,20:01,20:05,20:10,20:12,20:19,20:23,20:27,20:32,20:35,20:40,20:44
4189,20:08,20:16,20:22,20:25,20:28,20:30,20:33,20:36,20:41,20:45,20:50,20:52,20:59,21:03,21:07,21:12,21:15,21:20,21:24
4197,20:44,20:52,20:58,21:01,21:04,21:06,21:09,21:12,21:17,21:21,21:26,21:28,21:35,21:39,21:43,21:48,21:51,21:56,22:00
4205,21:22,21:30,21:36,21:39,21:42,21:44,21:47,21:50,21:55,21:59,22:04,22:06,22:13,22:17,22:21,22:26,22:29,22:34,22:38
4209,21:43,21:51,21:57,22:00,22:03,22:05,22:08,22:11,22:16,22:20,,,,,,,,,
