SERVICIO,LR-LPLAT,LR-TOLOS,LR-RINGU,LR-GONNE,LR-CBELL,LR-VELIS,LR-PEREY,LR-HUDSO,LR-PTNOS,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
4102,05:09,05:13,05:18,05:21,05:26,05:30,05:33,05:40,05:43,05:49,05:52,05:57,06:00,06:03,06:05,06:08,06:11,06:18,06:26
4104,,,,,,,,,,06:12,06:15,06:22,06:25,06:28,06:30,06:33,06:36,06:42,06:48
4106,06:01,06:05,06:10,06:13,06:18,06:22,06:25,06:32,06:35,06:41,06:44,06:49,06:52,06:55,06:57,07:00,07:03,07:10,07:18
4110,07:01,07:05,07:10,07:13,07:18,07:22,07:25,07:32,07:35,07:41,07:44,07:49,07:52,07:55,07:57,08:00,08:03,08:10,08:18
4114,08:01,08:05,08:10,08:13,08:18,08:22,08:25,08:32,08:35,08:41,08:44,08:49,08:52,08:55,08:57,09:00,09:03,09:10,09:18
4118,09:01,09:05,09:10,09:13,09:18,09:22,09:25,09:32,09:35,09:41,09:44,09:49,09:52,09:55,09:57,10:00,10:03,10:10,10:18
4122,10:01,10:05,10:10,10:13,10:18,10:22,10:25,10:32,10:35,10:41,10:44,10:49,10:52,10:55,10:57,11:00,11:03,11:10,11:18
4126,10:53,10:57,11:02,11:05,11:10,11:14,11:17,11:24,11:27,11:33,11:36,11:41,11:44,11:47,11:49,11:52,11:55,12:02,12:10
4130,11:45,11:49,11:54,11:57,12:02,12:06,12:09,12:16,12:19,12:25,12:28,12:33,12:36,12:39,12:41,12:44,12:47,12:54,13:02
4134,12:37,12:41,12:46,12:49,12:54,12:58,13:01,13:08,13:11,13:17,13:20,13:25,13:28,13:31,13:33,13:36,13:39,13:46,13:54
4138,13:29,13:33,13:38,13:41,13:46,13:50,13:53,14:00,14:03,14:09,14:12,14:17,14:20,14:23,14:25,14:28,14:31,14:38,14:46
4142,14:21,14:25,14:30,14:33,14:38,14:42,14:45,14:52,14:55,15:01,15:04,15:09,15:12,15:15,15:17,15:20,15:23,15:30,15:38
4146,15:13,15:17,15:22,15:25,15:30,15:34,15:37,15:44,15:47,15:53,15:56,16:01,16:04,16:07,16:09,16:12,16:15,16:22,16:30
4150,16:05,16:09,16:14,16:17,16:22,16:26,16:29,16:36,16:39,16:45,16:48,16:53,16:56,16:59,17:01,17:04,17:07,17:14,17:22
4154,16:57,17:01,17:06,17:09,17:14,17:18,17:21,17:28,17:31,17:37,17:40,17:45,17:48,17:51,17:53,17:56,17:59,18:06,18:14
4158,17:49,17:53,17:58,18:01,18:06,18:10,18:13,18:20,18:23,18:29,18:32,18:37,18:40,18:43,18:45,18:48,18:51,18:58,19:06
4162,18:41,18:45,18:50,18:53,18:58,19:02,19:05,19:12,19:15,19:21,19:24,19:29,19:32,19:35,19:37,19:40,19:43,19:50,19:58
4166,19:33,19:37,19:42,19:45,19:50,19:54,19:57,20:04,20:07,20:13,20:16,20:21,20:24,20:27,20:29,20:32,20:35,20:42,20:50
4170,20:25,20:29,20:34,20:37,20:42,20:46,20:49,20:56,20:59,21:05,21:08,21:13,21:16,21:19,21:21,21:24,21:27,21:34,21:42
4174,21:23,21:27,21:32,21:35,21:40,21:44,21:47,21:54,21:57,22:03,22:06,22:11,22:14,22:17,22:19,22:22,22:25,22:32,22:40
