SERVICIO,LR-LPLAT,LR-TOLOS,LR-RINGU,LR-GONNE,LR-CBELL,LR-VELIS,LR-PEREY,LR-HUDSO,LR-PTNOS,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
E2048,,,,,,,,,,,,05:28,05:31,05:34,05:36,05:39,05:42,05:49,05:57
4052,05:05,05:09,05:14,05:17,05:22,05:26,05:29,05:36,05:39,05:45,05:48,05:53,05:56,05:59,06:01,06:04,06:07,06:14,06:22
4060,05:41,05:45,05:50,05:53,05:58,06:02,06:05,06:12,06:15,06:21,06:24,06:29,06:32,06:35,06:37,06:40,06:43,06:50,06:58
4068,06:13,06:17,06:22,06:25,06:30,06:34,06:37,06:44,06:47,06:53,06:56,07:01,07:04,07:07,07:09,07:12,07:15,07:22,07:30
4076,06:39,06:43,06:48,06:51,06:56,07:00,07:03,07:10,07:13,07:19,07:22,07:27,07:30,07:33,07:35,07:38,07:41,07:48,07:56
4084,07:05,07:09,07:14,07:17,07:22,07:26,07:29,07:36,07:39,07:45,07:48,07:53,07:56,07:59,08:01,08:04,08:07,08:14,08:22
4092,07:29,07:33,07:38,07:41,07:46,07:50,07:53,08:00,08:03,08:09,08:12,08:17,08:20,08:23,08:25,08:28,08:31,08:38,08:46
4100,07:53,07:57,08:02,08:05,08:10,08:14,08:17,08:24,08:27,08:33,08:36,08:41,08:44,08:47,08:49,08:52,08:55,09:02,09:10
4108,08:17,08:21,08:26,08:29,08:34,08:38,08:41,08:48,08:51,08:57,09:00,09:05,09:08,09:11,09:13,09:16,09:19,09:26,09:34
4116,08:41,08:45,08:50,08:53,08:58,09:02,09:05,09:12,09:15,09:21,09:24,09:29,09:32,09:35,09:37,09:40,09:43,09:50,09:58
4132,09:29,09:33,09:38,09:41,09:46,09:50,09:53,10:00,10:03,10:09,10:12,10:17,10:20,10:23,10:25,10:28,10:31,10:38,10:46
4140,09:53,09:57,10:02,10:05,10:10,10:14,10:17,10:24,10:27,10:33,10:36,10:41,10:44,10:47,10:49,10:52,10:55,11:02,11:10
4148,10:18,10:22,10:27,10:30,10:35,10:39,10:42,10:49,10:52,10:58,11:01,11:06,11:09,11:12,11:14,11:17,11:20,11:27,11:35
4156,10:46,10:50,10:55,10:58,11:03,11:07,11:10,11:17,11:20,11:26,11:29,11:34,11:37,11:40,11:42,11:45,11:48,11:55,12:03
4172,11:44,11:48,11:53,11:56,12:01,12:05,12:08,12:15,12:18,12:24,12:27,12:32,12:35,12:38,12:40,12:43,12:46,12:53,13:01
4180,12:14,12:18,12:23,12:26,12:31,12:35,12:38,12:45,12:48,12:54,12:57,13:02,13:05,13:08,13:10,13:13,13:16,13:23,13:31
4188,12:44,12:48,12:53,12:56,13:01,13:05,13:08,13:15,13:18,13:24,13:27,13:32,13:35,13:38,13:40,13:43,13:46,13:53,14:01
4196,13:14,13:18,13:23,13:26,13:31,13:35,13:38,13:45,13:48,13:54,13:57,14:02,14:05,14:08,14:10,14:13,14:16,14:23,14:31
4204,13:44,13:48,13:53,13:56,14:01,14:05,14:08,14:15,14:18,14:24,14:27,14:32,14:35,14:38,14:40,14:43,14:46,14:53,15:01
4208,,,,,,,,,,14:38,14:41,14:46,14:49,14:52,14:54,14:57,15:00,15:07,15:15
4212,14:14,14:18,14:23,14:26,14:31,14:35,14:38,14:45,14:48,14:54,14:57,15:02,15:05,15:08,15:10,15:13,15:16,15:23,15:31
4220,14:44,14:48,14:53,14:56,15:01,15:05,15:08,15:15,15:18,15:24,15:27,15:32,15:35,15:38,15:40,15:43,15:46,15:53,16:01
4228,15:16,15:20,15:25,15:28,15:33,15:37,15:40,15:47,15:50,15:56,15:59,16:04,16:07,16:10,16:12,16:15,16:18,16:25,16:33
4236,15:48,15:52,15:57,16:00,16:05,16:09,16:12,16:19,16:22,16:28,16:31,16:36,16:39,16:42,16:44,16:47,16:50,16:57,17:05
4244,16:17,16:21,16:26,16:29,16:34,16:38,16:41,16:48,16:51,16:57,17:00,17:05,17:08,17:11,17:13,17:16,17:19,17:26,17:34
4252,16:41,16:45,16:50,16:53,16:58,17:02,17:05,17:12,17:15,17:21,17:24,17:29,17:32,17:35,17:37,17:40,17:43,17:50,17:58
4260,17:05,17:09,17:14,17:17,17:22,17:26,17:29,17:36,17:39,17:45,17:48,17:53,17:56,17:59,18:01,18:04,18:07,18:14,18:22
4268,17:29,17:33,17:38,17:41,17:46,17:50,17:53,18:00,18:03,18:09,18:12,18:17,18:20,18:23,18:25,18:28,18:31,18:38,18:46
