SERVICIO,LR-LPLAT,LR-TOLOS,LR-RINGU,LR-GONNE,LR-CBELL,LR-VELIS,LR-PEREY,LR-HUDSO,LR-PTNOS,LR-BERAZ,LR-EZPEL,LR-QUILM,LR-BERNA,LR-DBOSC,LR-WILDE,LR-VDOMI,LR-SARAN,LR-AVELL,LR-CONST
4012,,,,,,,,,,,,04:56,04:59,05:02,05:04,05:07,05:10,05:17,05:25
4016,,,,,,,,,,05:08,05:11,05:16,05:19,05:22,05:24,05:27,05:30,05:37,05:45
4020,04:47,04:51,04:56,04:59,05:04,05:08,05:11,05:18,05:21,05:27,05:30,05:35,05:38,05:41,05:43,05:46,05:49,05:56,06:04
4024,05:15,05:19,05:24,05:27,05:32,05:36,05:39,05:46,05:49,05:55,05:58,06:03,06:06,06:09,06:11,06:14,06:17,06:24,06:32
4032,05:53,05:57,06:02,06:05,06:10,06:14,06:17,06:24,06:27,06:33,06:36,06:41,06:44,06:47,06:49,06:52,06:55,07:02,07:10
4040,06:33,06:37,06:42,06:45,06:50,06:54,06:57,07:04,07:07,07:13,07:16,07:21,07:24,07:27,07:29,07:32,07:35,07:42,07:50
4048,07:13,07:17,07:22,07:25,07:30,07:34,07:37,07:44,07:47,07:53,07:56,08:01,08:04,08:07,08:09,08:12,08:15,08:22,08:30
4056,07:53,07:57,08:02,08:05,08:10,08:14,08:17,08:24,08:27,08:33,08:36,08:41,08:44,08:47,08:49,08:52,08:55,09:02,09:10
4064,08:33,08:37,08:42,08:45,08:50,08:54,08:57,09:04,09:07,09:13,09:16,09:21,09:24,09:27,09:29,09:32,09:35,09:42,09:50
4072,09:13,09:17,09:22,09:25,09:30,09:34,09:37,09:44,09:47,09:53,09:56,10:01,10:04,10:07,10:09,10:12,10:15,10:22,10:30
4080,09:53,09:57,10:02,10:05,10:10,10:14,10:17,10:24,10:27,10:33,10:36,10:41,10:44,10:47,10:49,10:52,10:55,11:02,11:10
4088,10:33,10:37,10:42,10:45,10:50,10:54,10:57,11:04,11:07,11:13,11:16,11:21,11:24,11:27,11:29,11:32,11:35,11:42,11:50
4096,11:13,11:17,11:22,11:25,11:30,11:34,11:37,11:44,11:47,11:53,11:56,12:01,12:04,12:07,12:09,12:12,12:15,12:22,12:30
4104,11:53,11:57,12:02,12:05,12:10,12:14,12:17,12:24,12:27,12:33,12:36,12:41,12:44,12:47,12:49,12:52,12:55,13:02,13:10
4112,12:33,12:37,12:42,12:45,12:50,12:54,12:57,13:04,13:07,13:13,13:16,13:21,13:24,13:27,13:29,13:32,13:35,13:42,13:50
4120,13:13,13:17,13:22,13:25,13:30,13:34,13:37,13:44,13:47,13:53,13:56,14:01,14:04,14:07,14:09,14:12,14:15,14:22,14:30
4128,13:53,13:57,14:02,14:05,14:10,14:14,14:17,14:24,14:27,14:33,14:36,14:41,14:44,14:47,14:49,14:52,14:55,15:02,15:10
4132,,,,,,,,,,14:52,14:55,15:00,15:03,15:06,15:08,15:11,15:14,15:21,15:29
4136,14:33,14:37,14:42,14:45,14:50,14:54,14:57,15:04,15:07,15:13,15:16,15:21,15:24,15:27,15:29,15:32,15:35,15:42,15:50
4144,15:13,15:17,15:22,15:25,15:30,15:34,15:37,15:44,15:47,15:53,15:56,16:01,16:04,16:07,16:09,16:12,16:15,16:22,16:30
4152,15:53,15:57,16:02,16:05,16:10,16:14,16:17,16:24,16:27,16:33,16:36,16:41,16:44,16:47,16:49,16:52,16:55,17:02,17:10
4160,16:33,16:37,16:42,16:45,16:50,16:54,16:57,17:04,17:07,17:13,17:16,17:21,17:24,17:27,17:29,17:32,17:35,17:42,17:50
4168,17:13,17:17,17:22,17:25,17:30,17:34,17:37,17:44,17:47,17:53,17:56,18:01,18:04,18:07,18:09,18:12,18:15,18:22,18:30
4176,17:53,17:57,18:02,18:05,18:10,18:14,18:17,18:24,18:27,18:33,18:36,18:41,18:44,18:47,18:49,18:52,18:55,19:02,19:10
4184,18:33,18:37,18:42,18:45,18:50,18:54,18:57,19:04,19:07,19:13,19:16,19:21,19:24,19:27,19:29,19:32,19:35,19:42,19:50
4192,19:13,19:17,19:22,19:25,19:30,19:34,19:37,19:44,19:47,19:53,19:56,20:01,20:04,20:07,20:09,20:12,20:15,20:22,20:30
4200,19:53,19:57,20:02,20:05,20:10,20:14,20:17,20:24,20:27,20:33,20:36,20:41,20:44,20:47,20:49,20:52,20:55,21:02,21:10
4208,20:33,20:37,20:42,20:45,20:50,20:54,20:57,21:04,21:07,21:13,21:16,21:21,21:24,21:27,21:29,21:32,21:35,21:42,21:50
4216,21:21,21:25,21:30,21:33,21:38,21:42,21:45,21:52,21:55,22:01,22:04,22:09,22:12,22:15,22:17,22:20,22:23,22:30,22:38
