SERVICIO,LR-EZEIZ,LR-HEZEI,LR-UFERR,LR-TSUAR,LR-SPEGA,LR-MAPAZ,LR-CASAR,LR-PETIO,LR-KLOOS,LR-LEVEN,LR-HCALT,LR-CANUE
4693,03:21,03:24,03:27,03:31,03:36,03:41,03:46,03:50,03:54,04:00,04:03,04:09
4695,03:41,03:44,03:47,03:51,03:56,04:01,04:06,04:10,04:14,04:20,04:23,04:29
4603,04:24,04:27,04:30,04:34,04:39,04:44,04:49,04:53,04:57,05:03,05:06,05:12
4605,05:06,05:09,05:12,05:16,05:21,05:26,05:31,05:35,05:39,05:45,05:48,05:54
4607,05:48,05:51,05:54,05:58,06:03,06:08,06:13,06:17,06:21,06:27,06:30,06:36
4609,06:30,06:33,06:36,06:40,06:45,06:50,06:55,06:59,07:03,07:09,07:12,07:18
4611,07:12,07:15,07:18,07:22,07:27,07:32,07:37,07:41,07:45,07:51,07:54,08:00
4615,07:54,07:57,08:00,08:04,08:09,08:14,08:19,08:23,08:27,08:33,08:36,08:42
4617,08:36,08:39,08:42,08:46,08:51,08:56,09:01,09:05,09:09,09:15,09:18,09:24
4619,09:18,09:21,09:24,09:28,09:33,09:38,09:43,09:47,09:51,09:57,10:00,10:06
4621,10:00,10:03,10:06,10:10,10:15,10:20,10:25,10:29,10:33,10:39,10:42,10:48
4623,10:49,10:52,10:55,10:59,11:04,11:09,11:14,11:18,11:22,11:28,11:31,11:37
4625,11:35,11:38,11:41,11:45,11:50,11:55,12:00,12:04,12:08,12:14,12:17,12:23
4627,12:20,12:23,12:26,12:30,12:35,12:40,12:45,12:49,12:53,12:59,13:02,13:08
4629,13:04,13:07,13:10,13:14,13:19,13:24,13:29,13:33,13:37,13:43,13:46,13:52
4631,13:45,13:48,13:51,13:55,14:00,14:05,14:10,14:14,14:18,14:24,14:27,14:33
4633,14:28,14:31,14:34,14:38,14:43,14:48,14:53,14:57,15:01,15:07,15:10,15:16
4635,15:10,15:13,15:16,15:20,15:25,15:30,15:35,15:39,15:43,15:49,15:52,15:58
4637,15:52,15:55,15:58,16:02,16:07,16:12,16:17,16:21,16:25,16:31,16:34,16:40
4639,16:34,16:37,16:40,16:44,16:49,16:54,16:59,17:03,17:07,17:13,17:16,17:22
4641,17:16,17:19,17:22,17:26,17:31,17:36,17:41,17:45,17:49,17:55,17:58,18:04
4643,17:58,18:01,18:04,18:08,18:13,18:18,18:23,18:27,18:31,18:37,18:40,18:46
4645,18:40,18:43,18:46,18:50,18:55,19:00,19:05,19:09,19:13,19:19,19:22,19:28
4647,19:22,19:25,19:28,19:32,19:37,19:42,19:47,19:51,19:55,20:01,20:04,20:10
4649,20:04,20:07,20:10,20:14,20:19,20:24,20:29,20:33,20:37,20:43,20:46,20:52
4651,20:46,20:49,20:52,20:56,21:01,21:06,21:11,21:15,21:19,21:25,21:28,21:34
4653,21:30,21:33,21:36,21:40,21:45,21:50,21:55,21:59,22:03,22:09,22:12,22:18
4655,22:16,22:19,22:22,22:26,22:31,22:36,22:41,22:45,22:49,22:55,22:58,23:04
4657,23:38,23:41,23:44,23:48,23:53,23:58,00:03,00:07,00:11,00:17,00:20,00:26
