SERVICIO,LR-EZEIZ,LR-HEZEI,LR-UFERR,LR-TSUAR,LR-SPEGA,LR-MAPAZ,LR-CASAR,LR-PETIO,LR-KLOOS,LR-LEVEN,LR-HCALT,LR-CANUE
4693,03:41,03:44,03:47,03:51,03:56,04:01,04:06,04:10,04:14,04:20,04:23,04:29
4603,04:14,04:17,04:20,04:24,04:29,04:34,04:39,04:43,04:47,04:53,04:56,05:02
4605,05:00,05:03,05:06,05:10,05:15,05:20,05:25,05:29,05:33,05:39,05:42,05:48
4607,05:57,06:00,06:03,06:07,06:12,06:17,06:22,06:26,06:30,06:36,06:39,06:45
4697,06:17,06:20,06:23,06:27,06:32,06:37,06:42,06:46,06:50,06:56,06:59,07:05
4609,06:53,06:56,06:59,07:03,07:08,07:13,07:18,07:22,07:26,07:32,07:35,07:41
4611,07:49,07:52,07:55,07:59,08:04,08:09,08:14,08:18,08:22,08:28,08:31,08:37
4613,08:45,08:48,08:51,08:55,09:00,09:05,09:10,09:14,09:18,09:24,09:27,09:33
4615,09:41,09:44,09:47,09:51,09:56,10:01,10:06,10:10,10:14,10:20,10:23,10:29
4617,10:37,10:40,10:43,10:47,10:52,10:57,11:02,11:06,11:10,11:16,11:19,11:25
4619,11:33,11:36,11:39,11:43,11:48,11:53,11:58,12:02,12:06,12:12,12:15,12:21
4621,12:29,12:32,12:35,12:39,12:44,12:49,12:54,12:58,13:02,13:08,13:11,13:17
4623,13:25,13:28,13:31,13:35,13:40,13:45,13:50,13:54,13:58,14:04,14:07,14:13
4625,14:21,14:24,14:27,14:31,14:36,14:41,14:46,14:50,14:54,15:00,15:03,15:09
4627,15:17,15:20,15:23,15:27,15:32,15:37,15:42,15:46,15:50,15:56,15:59,16:05
4629,16:13,16:16,16:19,16:23,16:28,16:33,16:38,16:42,16:46,16:52,16:55,17:01
4631,17:09,17:12,17:15,17:19,17:24,17:29,17:34,17:38,17:42,17:48,17:51,17:57
4633,18:05,18:08,18:11,18:15,18:20,18:25,18:30,18:34,18:38,18:44,18:47,18:53
4635,19:01,19:04,19:07,19:11,19:16,19:21,19:26,19:30,19:34,19:40,19:43,19:49
4637,19:57,20:00,20:03,20:07,20:12,20:17,20:22,20:26,20:30,20:36,20:39,20:45
4639,20:53,20:56,20:59,21:03,21:08,21:13,21:18,21:22,21:26,21:32,21:35,21:41
4641,21:48,21:51,21:54,21:58,22:03,22:08,22:13,22:17,22:21,22:27,22:30,22:36
4643,22:46,22:49,22:52,22:56,23:01,23:06,23:11,23:15,23:19,23:25,23:28,23:34
