SERVICIO,LR-CANUE,LR-HCALT,LR-LEVEN,LR-KLOOS,LR-PETIO,LR-CASAR,LR-MAPAZ,LR-SPEGA,LR-TSUAR,LR-UFERR,LR-HEZEI,LR-EZEIZ
4608,05:40,05:46,05:49,05:55,05:59,06:03,06:09,06:14,06:19,06:23,06:26,06:29
4610,06:36,06:42,06:45,06:51,06:55,06:59,07:05,07:10,07:15,07:19,07:22,07:25
4612,07:32,07:38,07:41,07:47,07:51,07:55,08:01,08:06,08:11,08:15,08:18,08:21
4614,08:28,08:34,08:37,08:43,08:47,08:51,08:57,09:02,09:07,09:11,09:14,09:17
4616,09:24,09:30,09:33,09:39,09:43,09:47,09:53,09:58,10:03,10:07,10:10,10:13
4618,10:20,10:26,10:29,10:35,10:39,10:43,10:49,10:54,10:59,11:03,11:06,11:09
4620,11:16,11:22,11:25,11:31,11:35,11:39,11:45,11:50,11:55,11:59,12:02,12:05
4622,12:12,12:18,12:21,12:27,12:31,12:35,12:41,12:46,12:51,12:55,12:58,13:01
4624,13:08,13:14,13:17,13:23,13:27,13:31,13:37,13:42,13:47,13:51,13:54,13:57
4626,14:04,14:10,14:13,14:19,14:23,14:27,14:33,14:38,14:43,14:47,14:50,14:53
4628,15:00,15:06,15:09,15:15,15:19,15:23,15:29,15:34,15:39,15:43,15:46,15:49
4630,15:56,16:02,16:05,16:11,16:15,16:19,16:25,16:30,16:35,16:39,16:42,16:45
4632,16:52,16:58,17:01,17:07,17:11,17:15,17:21,17:26,17:31,17:35,17:38,17:41
4634,17:49,17:55,17:58,18:04,18:08,18:12,18:18,18:23,18:28,18:32,18:35,18:38
4636,18:44,18:50,18:53,18:59,19:03,19:07,19:13,19:18,19:23,19:27,19:30,19:33
4638,19:33,19:39,19:42,19:48,19:52,19:56,20:02,20:07,20:12,20:16,20:19,20:22
4640,20:29,20:35,20:38,20:44,20:48,20:52,20:58,21:03,21:08,21:12,21:15,21:18
4642,21:25,21:31,21:34,21:40,21:44,21:48,21:54,21:59,22:04,22:08,22:11,22:14
4694,21:55,22:01,22:04,22:10,22:14,22:18,22:24,22:29,22:34,22:38,22:41,22:44
4696,22:12,22:18,22:21,22:27,22:31,22:35,22:41,22:46,22:51,22:55,22:58,23:01
