SERVICIO,LR-CANUE,LR-HCALT,LR-LEVEN,LR-KLOOS,LR-PETIO,LR-CASAR,LR-MAPAZ,LR-SPEGA,LR-TSUAR,LR-UFERR,LR-HEZEI,LR-EZEIZ
4602,04:04,04:10,04:13,04:19,04:23,04:27,04:33,04:38,04:43,04:47,04:50,04:53
4604,04:46,04:52,04:55,05:01,05:05,05:09,05:15,05:20,05:25,05:29,05:32,05:35
4606,05:28,05:34,05:37,05:43,05:47,05:51,05:57,06:02,06:07,06:11,06:14,06:17
4608,06:10,06:16,06:19,06:25,06:29,06:33,06:39,06:44,06:49,06:53,06:56,06:59
4612,06:52,06:58,07:01,07:07,07:11,07:15,07:21,07:26,07:31,07:35,07:38,07:41
4614,07:34,07:40,07:43,07:49,07:53,07:57,08:03,08:08,08:13,08:17,08:20,08:23
4616,08:16,08:22,08:25,08:31,08:35,08:39,08:45,08:50,08:55,08:59,09:02,09:05
4618,08:58,09:04,09:07,09:13,09:17,09:21,09:27,09:32,09:37,09:41,09:44,09:47
4620,09:40,09:46,09:49,09:55,09:59,10:03,10:09,10:14,10:19,10:23,10:26,10:29
4622,10:30,10:36,10:39,10:45,10:49,10:53,10:59,11:04,11:09,11:13,11:16,11:19
4624,11:18,11:24,11:27,11:33,11:37,11:41,11:47,11:52,11:57,12:01,12:04,12:07
4626,12:00,12:06,12:09,12:15,12:19,12:23,12:29,12:34,12:39,12:43,12:46,12:49
4628,12:39,12:45,12:48,12:54,12:58,13:02,13:08,13:13,13:18,13:22,13:25,13:28
4630,13:24,13:30,13:33,13:39,13:43,13:47,13:53,13:58,14:03,14:07,14:10,14:13
4632,14:08,14:14,14:17,14:23,14:27,14:31,14:37,14:42,14:47,14:51,14:54,14:57
4634,14:50,14:56,14:59,15:05,15:09,15:13,15:19,15:24,15:29,15:33,15:36,15:39
4636,15:32,15:38,15:41,15:47,15:51,15:55,16:01,16:06,16:11,16:15,16:18,16:21
4638,16:14,16:20,16:23,16:29,16:33,16:37,16:43,16:48,16:53,16:57,17:00,17:03
4640,16:56,17:02,17:05,17:11,17:15,17:19,17:25,17:30,17:35,17:39,17:42,17:45
4642,17:38,17:44,17:47,17:53,17:57,18:01,18:07,18:12,18:17,18:21,18:24,18:27
4644,18:20,18:26,18:29,18:35,18:39,18:43,18:49,18:54,18:59,19:03,19:06,19:09
4646,19:02,19:08,19:11,19:17,19:21,19:25,19:31,19:36,19:41,19:45,19:48,19:51
4648,19:44,19:50,19:53,19:59,20:03,20:07,20:13,20:18,20:23,20:27,20:30,20:33
4650,20:26,20:32,20:35,20:41,20:45,20:49,20:55,21:00,21:05,21:09,21:12,21:15
4652,21:10,21:16,21:19,21:25,21:29,21:33,21:39,21:44,21:49,21:53,21:56,21:59
4692,21:48,21:54,21:57,22:03,22:07,22:11,22:17,22:22,22:27,22:31,22:34,22:37
4656,22:30,22:36,22:39,22:45,22:49,22:53,22:59,23:04,23:09,23:13,23:16,23:19
4694,22:57,23:03,23:06,23:12,23:16,23:20,23:26,23:31,23:36,23:40,23:43,23:46
