SERVICIO,LR-CANUE,LR-HCALT,LR-LEVEN,LR-KLOOS,LR-PETIO,LR-CASAR,LR-MAPAZ,LR-SPEGA,LR-TSUAR,LR-UFERR,LR-HEZEI,LR-EZEIZ
4604,03:50,03:56,03:59,04:05,04:09,04:13,04:19,04:24,04:29,04:33,04:36,04:39
4606,04:46,04:52,04:55,05:01,05:05,05:09,05:15,05:20,05:25,05:29,05:32,05:35
4608,05:42,05:48,05:51,05:57,06:01,06:05,06:11,06:16,06:21,06:25,06:28,06:31
4610,06:39,06:45,06:48,06:54,06:58,07:02,07:08,07:13,07:18,07:22,07:25,07:28
4612,07:35,07:41,07:44,07:50,07:54,07:58,08:04,08:09,08:14,08:18,08:21,08:24
4614,08:31,08:37,08:40,08:46,08:50,08:54,09:00,09:05,09:10,09:14,09:17,09:20
4616,09:27,09:33,09:36,09:42,09:46,09:50,09:56,10:01,10:06,10:10,10:13,10:16
4618,10:24,10:30,10:33,10:39,10:43,10:47,10:53,10:58,11:03,11:07,11:10,11:13
4620,11:19,11:25,11:28,11:34,11:38,11:42,11:48,11:53,11:58,12:02,12:05,12:08
4622,12:15,12:21,12:24,12:30,12:34,12:38,12:44,12:49,12:54,12:58,13:01,13:04
4624,13:11,13:17,13:20,13:26,13:30,13:34,13:40,13:45,13:50,13:54,13:57,14:00
4626,14:07,14:13,14:16,14:22,14:26,14:30,14:36,14:41,14:46,14:50,14:53,14:56
4628,15:03,15:09,15:12,15:18,15:22,15:26,15:32,15:37,15:42,15:46,15:49,15:52
4630,15:59,16:05,16:08,16:14,16:18,16:22,16:28,16:33,16:38,16:42,16:45,16:48
4632,16:55,17:01,17:04,17:10,17:14,17:18,17:24,17:29,17:34,17:38,17:41,17:44
4634,17:51,17:57,18:00,18:06,18:10,18:14,18:20,18:25,18:30,18:34,18:37,18:40
4636,18:47,18:53,18:56,19:02,19:06,19:10,19:16,19:21,19:26,19:30,19:33,19:36
4638,19:43,19:49,19:52,19:58,20:02,20:06,20:12,20:17,20:22,20:26,20:29,20:32
4640,20:38,20:44,20:47,20:53,20:57,21:01,21:07,21:12,21:17,21:21,21:24,21:27
4642,21:34,21:40,21:43,21:49,21:53,21:57,22:03,22:08,22:13,22:17,22:20,22:23
4696,22:18,22:24,22:27,22:33,22:37,22:41,22:47,22:52,22:57,23:01,23:04,23:07
