SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-COGHL,LM-SAAVE,LM-JBJUS,LM-FLORI,LM-CETRA,LM-BMITR
3303,07:40,07:51,07:54,07:57,08:01,08:04,08:07,08:10,08:12,08:14,08:17
3307,08:15,08:26,08:29,08:32,08:36,08:39,08:42,08:45,08:47,08:49,08:52
3313,08:58,09:09,09:12,09:15,09:19,09:22,09:25,09:28,09:30,09:32,09:35
3319,09:40,09:51,09:54,09:57,10:01,10:04,10:07,10:10,10:12,10:14,10:17
3323,10:20,10:31,10:34,10:37,10:41,10:44,10:47,10:50,10:52,10:54,10:57
3329,11:00,11:11,11:14,11:17,11:21,11:24,11:27,11:30,11:32,11:34,11:37
3333,11:34,11:45,11:48,11:51,11:55,11:58,12:01,12:04,12:06,12:08,12:11
3339,12:16,12:27,12:30,12:33,12:37,12:40,12:43,12:46,12:48,12:50,12:53
3345,12:58,13:09,13:12,13:15,13:19,13:22,13:25,13:28,13:30,13:32,13:35
3349,13:39,13:50,13:53,13:56,14:00,14:03,14:06,14:09,14:11,14:13,14:16
3355,14:20,14:31,14:34,14:37,14:41,14:44,14:47,14:50,14:52,14:54,14:57
3359,14:56,15:07,15:10,15:13,15:17,15:20,15:23,15:26,15:28,15:30,15:33
3365,15:38,15:49,15:52,15:55,15:59,16:02,16:05,16:08,16:10,16:12,16:15
3371,16:20,16:31,16:34,16:37,16:41,16:44,16:47,16:50,16:52,16:54,16:57
3375,16:56,17:07,17:10,17:13,17:17,17:20,17:23,17:26,17:28,17:30,17:33
3381,17:40,17:51,17:54,17:57,18:01,18:04,18:07,18:10,18:12,18:14,18:17
3385,18:16,18:27,18:30,18:33,18:37,18:40,18:43,18:46,18:48,18:50,18:53
3391,18:56,19:07,19:10,19:13,19:17,19:20,19:23,19:26,19:28,19:30,19:33
3397,19:38,19:49,19:52,19:55,19:59,20:02,20:05,20:08,20:10,20:12,20:15
3401,20:20,20:31,20:34,20:37,20:41,20:44,20:47,20:50,20:52,20:54,20:57
