SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-COGHL,LM-SAAVE,LM-JBJUS,LM-FLORI,LM-CETRA,LM-BMITR
1595,,,,,06:52,06:55,06:58,07:01,07:03,07:05,07:08
3303,07:01,07:12,07:15,07:18,07:22,07:25,07:28,07:31,07:33,07:35,07:38
3309,07:37,07:48,07:51,07:54,07:58,08:01,08:04,08:07,08:09,08:11,08:14
3315,08:13,08:24,08:27,08:30,08:34,08:37,08:40,08:43,08:45,08:47,08:50
3321,08:49,09:00,09:03,09:06,09:10,09:13,09:16,09:19,09:21,09:23,09:26
3327,09:25,09:36,09:39,09:42,09:46,09:49,09:52,09:55,09:57,09:59,10:02
3333,10:01,10:12,10:15,10:18,10:22,10:25,10:28,10:31,10:33,10:35,10:38
3339,10:37,10:48,10:51,10:54,10:58,11:01,11:04,11:07,11:09,11:11,11:14
3345,11:13,11:24,11:27,11:30,11:34,11:37,11:40,11:43,11:45,11:47,11:50
3351,11:49,12:00,12:03,12:06,12:10,12:13,12:16,12:19,12:21,12:23,12:26
3357,12:25,12:36,12:39,12:42,12:46,12:49,12:52,12:55,12:57,12:59,13:02
3363,13:01,13:12,13:15,13:18,13:22,13:25,13:28,13:31,13:33,13:35,13:38
3369,13:37,13:48,13:51,13:54,13:58,14:01,14:04,14:07,14:09,14:11,14:14
3375,14:13,14:24,14:27,14:30,14:34,14:37,14:40,14:43,14:45,14:47,14:50
3381,14:49,15:00,15:03,15:06,15:10,15:13,15:16,15:19,15:21,15:23,15:26
3387,15:25,15:36,15:39,15:42,15:46,15:49,15:52,15:55,15:57,15:59,16:02
3393,16:01,16:12,16:15,16:18,16:22,16:25,16:28,16:31,16:33,16:35,16:38
3399,16:37,16:48,16:51,16:54,16:58,17:01,17:04,17:07,17:09,17:11,17:14
3405,17:13,17:24,17:27,17:30,17:34,17:37,17:40,17:43,17:45,17:47,17:50
3411,17:49,18:00,18:03,18:06,18:10,18:13,18:16,18:19,18:21,18:23,18:26
3417,18:25,18:36,18:39,18:42,18:46,18:49,18:52,18:55,18:57,18:59,19:02
3423,19:01,19:12,19:15,19:18,19:22,19:25,19:28,19:31,19:33,19:35,19:38
3429,19:37,19:48,19:51,19:54,19:58,20:01,20:04,20:07,20:09,20:11,20:14
3435,20:13,20:24,20:27,20:30,20:34,20:37,20:40,20:43,20:45,20:47,20:50
3441,20:49,21:00,21:03,21:06,21:10,21:13,21:16,21:19,21:21,21:23,21:26
