SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-COGHL,LM-SAAVE,LM-JBJUS,LM-FLORI,LM-CETRA,LM-BMITR
3303,07:40,07:51,07:54,07:57,08:01,08:04,08:07,08:10,08:12,08:14,08:17
3307,08:13,08:24,08:27,08:30,08:34,08:37,08:40,08:43,08:45,08:47,08:50
3313,08:56,09:07,09:10,09:13,09:17,09:20,09:23,09:26,09:28,09:30,09:33
3319,09:40,09:51,09:54,09:57,10:01,10:04,10:07,10:10,10:12,10:14,10:17
3323,10:20,10:31,10:34,10:37,10:41,10:44,10:47,10:50,10:52,10:54,10:57
3329,11:00,11:11,11:14,11:17,11:21,11:24,11:27,11:30,11:32,11:34,11:37
3335,11:42,11:53,11:56,11:59,12:03,12:06,12:09,12:12,12:14,12:16,12:19
3339,12:16,12:27,12:30,12:33,12:37,12:40,12:43,12:46,12:48,12:50,12:53
3345,13:00,13:11,13:14,13:17,13:21,13:24,13:27,13:30,13:32,13:34,13:37
3349,13:39,13:50,13:53,13:56,14:00,14:03,14:06,14:09,14:11,14:13,14:16
3355,14:20,14:31,14:34,14:37,14:41,14:44,14:47,14:50,14:52,14:54,14:57
3361,15:00,15:11,15:14,15:17,15:21,15:24,15:27,15:30,15:32,15:34,15:37
3365,15:42,15:53,15:56,15:59,16:03,16:06,16:09,16:12,16:14,16:16,16:19
3371,16:20,16:31,16:34,16:37,16:41,16:44,16:47,16:50,16:52,16:54,16:57
3375,16:55,17:06,17:09,17:12,17:16,17:19,17:22,17:25,17:27,17:29,17:32
3381,17:36,17:47,17:50,17:53,17:57,18:00,18:03,18:06,18:08,18:10,18:13
3385,18:12,18:23,18:26,18:29,18:33,18:36,18:39,18:42,18:44,18:46,18:49
3391,18:55,19:06,19:09,19:12,19:16,19:19,19:22,19:25,19:27,19:29,19:32
3397,19:40,19:51,19:54,19:57,20:01,20:04,20:07,20:10,20:12,20:14,20:17
3401,20:20,20:31,20:34,20:37,20:41,20:44,20:47,20:50,20:52,20:54,20:57
