SERVICIO,SM-CABRE,SM-MANZA,SM-PILAR,SM-ASTOL,SM-DERQU,SM-SVERD,SM-JCPAZ,SM-SMIGU,SM-MUNIZ,SM-BVIST,SM-MORRI,SM-HURLI,SM-PALOM,SM-CASER,SM-SLUGA,SM-SAENZ,SM-DEVOT,SM-VDPAR,SM-PATER,SM-VCRES,SM-PALER,SM-RETIR
3800,,,,,,,03:30,03:36,03:39,03:43,03:49,03:54,03:59,04:04,04:08,04:11,04:14,04:18,04:22,04:26,04:30,04:40
3802,,,03:30,03:35,03:40,03:46,03:52,03:58,04:01,04:05,04:11,04:16,04:21,04:26,04:30,04:33,04:36,04:40,04:44,04:48,04:52,05:02
3804,,,,,,,04:13,04:19,04:22,04:26,04:32,04:37,04:42,04:47,04:51,04:54,04:57,05:01,05:05,05:09,05:13,05:23
3806,,,04:17,04:22,04:27,04:33,04:39,04:45,04:48,04:52,04:58,05:03,05:08,05:13,05:17,05:20,05:23,05:27,05:31,05:35,05:39,05:49
3808,,,,,,,05:00,05:06,05:09,05:13,05:19,05:24,05:29,05:34,05:38,05:41,05:44,05:48,05:52,05:56,06:00,06:10
3810,,,04:55,05:00,05:05,05:11,05:17,05:23,05:26,05:30,05:36,05:41,05:46,05:51,05:55,05:58,06:01,06:05,06:09,06:13,06:17,06:27
3812,,,,,,,05:37,05:43,05:46,05:50,05:56,06:01,06:06,06:11,06:15,06:18,06:21,06:25,06:29,06:33,06:37,06:47
3814,,,05:33,05:38,05:43,05:49,05:55,06:01,06:04,06:08,06:14,06:19,06:24,06:29,06:33,06:36,06:39,06:43,06:47,06:51,06:55,07:05
3816,05:31,05:39,05:53,05:58,06:03,06:09,06:15,06:21,06:24,06:28,06:34,06:39,06:44,06:49,06:53,06:56,06:59,07:03,07:07,07:11,07:15,07:25
3818,,,06:09,06:14,06:19,06:25,06:31,06:37,06:40,06:44,06:50,06:55,07:00,07:05,07:09,07:12,07:15,07:19,07:23,07:27,07:31,07:41
3820,,,,,,,06:52,06:58,07:01,07:05,07:11,07:16,07:21,07:26,07:30,07:33,07:36,07:40,07:44,07:48,07:52,08:02
3822,,,06:46,06:51,06:56,07:02,07:08,07:14,07:17,07:21,07:27,07:32,07:37,07:42,07:46,07:49,07:52,07:56,08:00,08:04,08:08,08:18
3824,,,07:13,07:18,07:23,07:29,07:35,07:41,07:44,07:48,07:54,07:59,08:04,08:09,08:13,08:16,08:19,08:23,08:27,08:31,08:35,08:45
3826,,,,,,,07:48,07:54,07:57,08:01,08:07,08:12,08:17,08:22,08:26,08:29,08:32,08:36,08:40,08:44,08:48,08:58
3828,,,07:48,07:53,07:58,08:04,08:10,08:16,08:19,08:23,08:29,08:34,08:39,08:44,08:48,08:51,08:54,08:58,09:02,09:06,09:10,09:20
3830,07:49,07:57,08:11,08:16,08:21,08:27,08:33,08:39,08:42,08:46,08:52,08:57,09:02,09:07,09:11,09:14,09:17,09:21,09:25,09:29,09:33,09:43
