SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-DRAGO,LM-URQUI,LM-PUEYR,LM-MIGUE,LM-SMART,LM-SANDR,LM-MALAV,LM-VBALL,LM-CHILA,LM-JLSUA
3501,07:41,07:44,07:47,07:51,,07:58,08:01,08:05,08:09,08:11,08:13,08:16,08:18,08:20,
3505,07:52,08:03,08:06,08:09,08:13,08:17,08:20,08:23,08:27,08:31,08:33,08:35,08:38,08:40,08:42
3509,08:23,08:34,08:37,08:40,08:44,08:48,08:51,08:54,08:58,09:02,09:04,09:06,09:09,09:11,09:13
3511,08:45,08:56,08:59,09:02,09:06,09:10,09:13,09:16,09:20,09:24,09:26,09:28,09:31,09:33,09:35
3515,09:10,09:21,09:24,09:27,09:31,09:35,09:38,09:41,09:45,09:49,09:51,09:53,09:56,09:58,10:00
3517,09:34,09:45,09:48,09:51,09:55,09:59,10:02,10:05,10:09,10:13,10:15,10:17,10:20,10:22,10:24
3521,10:03,10:14,10:17,10:20,10:24,10:28,10:31,10:34,10:38,10:42,10:44,10:46,10:49,10:51,10:53
3525,10:26,10:37,10:40,10:43,10:47,10:51,10:54,10:57,11:01,11:05,11:07,11:09,11:12,11:14,11:16
3527,10:50,11:01,11:04,11:07,11:11,11:15,11:18,11:21,11:25,11:29,11:31,11:33,11:36,11:38,11:40
3531,11:14,11:25,11:28,11:31,11:35,11:39,11:42,11:45,11:49,11:53,11:55,11:57,12:00,12:02,12:04
3535,11:42,11:53,11:56,11:59,12:03,12:07,12:10,12:13,12:17,12:21,12:23,12:25,12:28,12:30,12:32
3537,12:05,12:16,12:19,12:22,12:26,12:30,12:33,12:36,12:40,12:44,12:46,12:48,12:51,12:53,12:55
3541,12:30,12:41,12:44,12:47,12:51,12:55,12:58,13:01,13:05,13:09,13:11,13:13,13:16,13:18,13:20
3543,12:51,13:02,13:05,13:08,13:12,13:16,13:19,13:22,13:26,13:30,13:32,13:34,13:37,13:39,13:41
3547,13:18,13:29,13:32,13:35,13:39,13:43,13:46,13:49,13:53,13:57,13:59,14:01,14:04,14:06,14:08
3551,13:46,13:57,14:00,14:03,14:07,14:11,14:14,14:17,14:21,14:25,14:27,14:29,14:32,14:34,14:36
3553,14:10,14:21,14:24,14:27,14:31,14:35,14:38,14:41,14:45,14:49,14:51,14:53,14:56,14:58,15:00
3557,14:36,14:47,14:50,14:53,14:57,15:01,15:04,15:07,15:11,15:15,15:17,15:19,15:22,15:24,15:26
3561,15:02,15:13,15:16,15:19,15:23,15:27,15:30,15:33,15:37,15:41,15:43,15:45,15:48,15:50,15:52
3563,15:25,15:36,15:39,15:42,15:46,15:50,15:53,15:56,16:00,16:04,16:06,16:08,16:11,16:13,16:15
3567,15:50,16:01,16:04,16:07,16:11,16:15,16:18,16:21,16:25,16:29,16:31,16:33,16:36,16:38,16:40
3569,16:10,16:21,16:24,16:27,16:31,16:35,16:38,16:41,16:45,16:49,16:51,16:53,16:56,16:58,17:00
3573,16:39,16:50,16:53,16:56,17:00,17:04,17:07,17:10,17:14,17:18,17:20,17:22,17:25,17:27,17:29
3577,17:06,17:17,17:20,17:23,17:27,17:31,17:34,17:37,17:41,17:45,17:47,17:49,17:52,17:54,17:56
3579,17:30,17:41,17:44,17:47,17:51,17:55,17:58,18:01,18:05,18:09,18:11,18:13,18:16,18:18,18:20
3583,17:55,18:06,18:09,18:12,18:16,18:20,18:23,18:26,18:30,18:34,18:36,18:38,18:41,18:43,18:45
3587,18:23,18:34,18:37,18:40,18:44,18:48,18:51,18:54,18:58,19:02,19:04,19:06,19:09,19:11,19:13
3589,18:45,18:56,18:59,19:02,19:06,19:10,19:13,19:16,19:20,19:24,19:26,19:28,19:31,19:33,19:35
3593,19:10,19:21,19:24,19:27,19:31,19:35,19:38,19:41,19:45,19:49,19:51,19:53,19:56,19:58,20:00
3595,19:32,19:43,19:46,19:49,19:53,19:57,20:00,20:03,20:07,20:11,20:13,20:15,20:18,20:20,20:22
3599,20:01,20:12,20:15,20:18,20:22,20:26,20:29,20:32,20:36,20:40,20:42,20:44,20:47,20:49,20:51
3603,20:26,20:37,20:40,20:43,20:47,20:51,20:54,20:57,21:01,21:05,21:07,21:09,21:12,21:14,21:16
3605,20:40,20:51,20:54,20:57,21:01,21:05,21:08,21:11,21:15,21:19,21:21,21:23,21:26,21:28,21:30
3607,20:52,21:03,21:06,21:09,21:13,21:17,21:20,21:23,21:27,21:31,21:33,21:35,21:38,21:40,21:42
3609,21:10,21:21,21:24,21:27,21:31,21:35,21:38,21:41,21:45,21:49,21:51,21:53,21:56,21:58,22:00
3611,21:25,21:36,21:39,21:42,21:46,21:50,21:53,21:56,22:00,22:04,22:06,22:08,22:11,22:13,22:15
3613,21:38,21:49,21:52,21:55,21:59,22:03,22:06,22:09,22:13,22:17,22:19,22:21,22:24,22:26,22:28
3615,22:00,22:11,22:14,22:17,22:21,22:25,22:28,22:31,22:35,22:39,22:41,22:43,22:46,22:48,22:50
3617,22:10,22:21,22:24,22:27,22:31,22:35,22:38,22:41,22:45,22:49,22:51,22:53,22:56,22:58,23:00
