SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-DRAGO,LM-URQUI,LM-PUEYR,LM-MIGUE,LM-SMART,LM-SANDR,LM-MALAV,LM-VBALL,LM-CHILA,LM-JLSUA
1291,,,,,05:11,05:15,05:18,05:21,05:25,05:29,05:31,05:33,05:36,05:38,05:40
1293,,,,,05:41,05:45,05:48,05:51,05:55,05:59,06:01,06:03,06:06,06:08,06:10
3501,06:49,07:00,07:03,07:06,07:10,07:14,07:17,07:20,07:24,07:28,07:30,07:32,07:35,07:37,07:39
3505,07:06,07:17,07:20,07:23,07:27,07:31,07:34,07:37,07:41,07:45,07:47,07:49,07:52,07:54,07:56
3507,07:25,07:36,07:39,07:42,07:46,07:50,07:53,07:56,08:00,08:04,08:06,08:08,08:11,08:13,08:15
3511,07:43,07:54,07:57,08:00,08:04,08:08,08:11,08:14,08:18,08:22,08:24,08:26,08:29,08:31,08:33
3513,08:01,08:12,08:15,08:18,08:22,08:26,08:29,08:32,08:36,08:40,08:42,08:44,08:47,08:49,08:51
3517,08:19,08:30,08:33,08:36,08:40,08:44,08:47,08:50,08:54,08:58,09:00,09:02,09:05,09:07,09:09
3519,08:37,08:48,08:51,08:54,08:58,09:02,09:05,09:08,09:12,09:16,09:18,09:20,09:23,09:25,09:27
3523,08:55,09:06,09:09,09:12,09:16,09:20,09:23,09:26,09:30,09:34,09:36,09:38,09:41,09:43,09:45
3525,09:13,09:24,09:27,09:30,09:34,09:38,09:41,09:44,09:48,09:52,09:54,09:56,09:59,10:01,10:03
3529,09:31,09:42,09:45,09:48,09:52,09:56,09:59,10:02,10:06,10:10,10:12,10:14,10:17,10:19,10:21
3531,09:49,10:00,10:03,10:06,10:10,10:14,10:17,10:20,10:24,10:28,10:30,10:32,10:35,10:37,10:39
3535,10:07,10:18,10:21,10:24,10:28,10:32,10:35,10:38,10:42,10:46,10:48,10:50,10:53,10:55,10:57
3537,10:25,10:36,10:39,10:42,10:46,10:50,10:53,10:56,11:00,11:04,11:06,11:08,11:11,11:13,11:15
3541,10:43,10:54,10:57,11:00,11:04,11:08,11:11,11:14,11:18,11:22,11:24,11:26,11:29,11:31,11:33
3543,11:01,11:12,11:15,11:18,11:22,11:26,11:29,11:32,11:36,11:40,11:42,11:44,11:47,11:49,11:51
3547,11:19,11:30,11:33,11:36,11:40,11:44,11:47,11:50,11:54,11:58,12:00,12:02,12:05,12:07,12:09
3549,11:37,11:48,11:51,11:54,11:58,12:02,12:05,12:08,12:12,12:16,12:18,12:20,12:23,12:25,12:27
3553,11:55,12:06,12:09,12:12,12:16,12:20,12:23,12:26,12:30,12:34,12:36,12:38,12:41,12:43,12:45
3555,12:13,12:24,12:27,12:30,12:34,12:38,12:41,12:44,12:48,12:52,12:54,12:56,12:59,13:01,13:03
3559,12:31,12:42,12:45,12:48,12:52,12:56,12:59,13:02,13:06,13:10,13:12,13:14,13:17,13:19,13:21
3561,12:49,13:00,13:03,13:06,13:10,13:14,13:17,13:20,13:24,13:28,13:30,13:32,13:35,13:37,13:39
