SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-DRAGO,LM-URQUI,LM-PUEYR,LM-MIGUE,LM-SMART,LM-SANDR,LM-MALAV,LM-VBALL,LM-CHILA,LM-JLSUA
3501,07:30,07:41,07:44,07:47,07:51,07:55,07:58,08:01,08:05,08:09,08:11,08:13,08:16,08:18,08:20
3505,07:52,08:03,08:06,08:09,08:13,08:17,08:20,08:23,08:27,08:31,08:33,08:35,08:38,08:40,08:42
3509,08:20,08:31,08:34,08:37,08:41,08:45,08:48,08:51,08:55,08:59,09:01,09:03,09:06,09:08,09:10
3511,08:45,08:56,08:59,09:02,09:06,09:10,09:13,09:16,09:20,09:24,09:26,09:28,09:31,09:33,09:35
3515,09:10,09:21,09:24,09:27,09:31,09:35,09:38,09:41,09:45,09:49,09:51,09:53,09:56,09:58,10:00
3517,09:34,09:45,09:48,09:51,09:55,09:59,10:02,10:05,10:09,10:13,10:15,10:17,10:20,10:22,10:24
3521,10:03,10:14,10:17,10:20,10:24,10:28,10:31,10:34,10:38,10:42,10:44,10:46,10:49,10:51,10:53
3525,10:26,10:37,10:40,10:43,10:47,10:51,10:54,10:57,11:01,11:05,11:07,11:09,11:12,11:14,11:16
3527,10:50,11:01,11:04,11:07,11:11,11:15,11:18,11:21,11:25,11:29,11:31,11:33,11:36,11:38,11:40
3531,11:14,11:25,11:28,11:31,11:35,11:39,11:42,11:45,11:49,11:53,11:55,11:57,12:00,12:02,12:04
3533,11:36,11:47,11:50,11:53,11:57,12:01,12:04,12:07,12:11,12:15,12:17,12:19,12:22,12:24,12:26
3537,12:05,12:16,12:19,12:22,12:26,12:30,12:33,12:36,12:40,12:44,12:46,12:48,12:51,12:53,12:55
3541,12:30,12:41,12:44,12:47,12:51,12:55,12:58,13:01,13:05,13:09,13:11,13:13,13:16,13:18,13:20
3543,12:54,13:05,13:08,13:11,13:15,13:19,13:22,13:25,13:29,13:33,13:35,13:37,13:40,13:42,13:44
3547,13:20,13:31,13:34,13:37,13:41,13:45,13:48,13:51,13:55,13:59,14:01,14:03,14:06,14:08,14:10
3551,13:45,13:56,13:59,14:02,14:06,14:10,14:13,14:16,14:20,14:24,14:26,14:28,14:31,14:33,14:35
3553,14:10,14:21,14:24,14:27,14:31,14:35,14:38,14:41,14:45,14:49,14:51,14:53,14:56,14:58,15:00
3557,14:30,14:41,14:44,14:47,14:51,14:55,14:58,15:01,15:05,15:09,15:11,15:13,15:16,15:18,15:20
3559,14:54,15:05,15:08,15:11,15:15,15:19,15:22,15:25,15:29,15:33,15:35,15:37,15:40,15:42,15:44
3563,15:25,15:36,15:39,15:42,15:46,15:50,15:53,15:56,16:00,16:04,16:06,16:08,16:11,16:13,16:15
3567,15:50,16:01,16:04,16:07,16:11,16:15,16:18,16:21,16:25,16:29,16:31,16:33,16:36,16:38,16:40
3569,16:10,16:21,16:24,16:27,16:31,16:35,16:38,16:41,16:45,16:49,16:51,16:53,16:56,16:58,17:00
3573,16:40,16:51,16:54,16:57,17:01,17:05,17:08,17:11,17:15,17:19,17:21,17:23,17:26,17:28,17:30
3577,17:05,17:16,17:19,17:22,17:26,17:30,17:33,17:36,17:40,17:44,17:46,17:48,17:51,17:53,17:55
3579,17:30,17:41,17:44,17:47,17:51,17:55,17:58,18:01,18:05,18:09,18:11,18:13,18:16,18:18,18:20
3583,17:55,18:06,18:09,18:12,18:16,18:20,18:23,18:26,18:30,18:34,18:36,18:38,18:41,18:43,18:45
3587,18:22,18:33,18:36,18:39,18:43,18:47,18:50,18:53,18:57,19:01,19:03,19:05,19:08,19:10,19:12
3589,18:45,18:56,18:59,19:02,19:06,19:10,19:13,19:16,19:20,19:24,19:26,19:28,19:31,19:33,19:35
3593,19:10,19:21,19:24,19:27,19:31,19:35,19:38,19:41,19:45,19:49,19:51,19:53,19:56,19:58,20:00
3595,19:34,19:45,19:48,19:51,19:55,19:59,20:02,20:05,20:09,20:13,20:15,20:17,20:20,20:22,20:24
3599,20:00,20:11,20:14,20:17,20:21,20:25,20:28,20:31,20:35,20:39,20:41,20:43,20:46,20:48,20:50
3603,20:26,20:37,20:40,20:43,20:47,20:51,20:54,20:57,21:01,21:05,21:07,21:09,21:12,21:14,21:16
3605,20:40,20:51,20:54,20:57,21:01,21:05,21:08,21:11,21:15,21:19,21:21,21:23,21:26,21:28,21:30
3607,20:50,21:01,21:04,21:07,21:11,21:15,21:18,21:21,21:25,21:29,21:31,21:33,21:36,21:38,21:40
3609,21:15,21:26,21:29,21:32,21:36,21:40,21:43,21:46,21:50,21:54,21:56,21:58,22:01,22:03,22:05
3611,21:25,21:36,21:39,21:42,21:46,21:50,21:53,21:56,22:00,22:04,22:06,22:08,22:11,22:13,22:15
3613,21:38,21:49,21:52,21:55,21:59,22:03,22:06,22:09,22:13,22:17,22:19,22:21,22:24,22:26,22:28
3615,21:59,22:10,22:13,22:16,22:20,22:24,22:27,22:30,22:34,22:38,22:40,22:42,22:45,22:47,22:49
3617,22:10,22:21,22:24,22:27,22:31,22:35,22:38,22:41,22:45,22:49,22:51,22:53,22:56,22:58,23:0
