SERVICIO,LM-JLSUA,LM-CHILA,LM-VBALL,LM-MALAV,LM-SANDR,LM-SMART,LM-MIGUE,LM-PUEYR,LM-URQUI,LM-DRAGO,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3502,06:24,06:27,06:30,06:33,06:35,06:38,06:42,06:46,06:49,06:51,06:55,06:59,07:02,07:05,07:14
3504,06:35,06:38,06:41,06:44,06:46,06:49,06:53,06:57,07:00,07:02,07:06,07:10,07:13,07:16,07:25
3506,06:49,06:52,06:55,06:58,07:00,07:03,07:07,07:11,07:14,07:16,07:20,07:24,07:27,07:30,07:39
3508,07:06,07:09,07:12,07:15,07:17,07:20,07:24,07:28,07:31,07:33,07:37,07:41,07:44,07:47,07:56
3510,07:23,07:26,07:29,07:32,07:34,07:37,07:41,07:45,07:48,07:50,07:54,07:58,08:01,08:04,08:13
3512,07:39,07:42,07:45,07:48,07:50,07:53,07:57,08:01,08:04,08:06,08:10,08:14,08:17,08:20,08:29
3514,07:54,07:57,08:00,08:03,08:05,08:08,08:12,08:16,08:19,08:21,08:25,08:29,08:32,08:35,08:44
3516,08:12,08:15,08:18,08:21,08:23,08:26,08:30,08:34,08:37,08:39,08:43,08:47,08:50,08:53,09:02
3520,08:32,08:35,08:38,08:41,08:43,08:46,08:50,08:54,08:57,08:59,09:03,09:07,09:10,09:13,09:22
3522,08:56,08:59,09:02,09:05,09:07,09:10,09:14,09:18,09:21,09:23,09:27,09:31,09:34,09:37,09:46
3526,09:22,09:25,09:28,09:31,09:33,09:36,09:40,09:44,09:47,09:49,09:53,09:57,10:00,10:03,10:12
3530,09:47,09:50,09:53,09:56,09:58,10:01,10:05,10:09,10:12,10:14,10:18,10:22,10:25,10:28,10:37
3532,10:10,10:13,10:16,10:19,10:21,10:24,10:28,10:32,10:35,10:37,10:41,10:45,10:48,10:51,11:00
3536,10:36,10:39,10:42,10:45,10:47,10:50,10:54,10:58,11:01,11:03,11:07,11:11,11:14,11:17,11:26
3540,11:03,11:06,11:09,11:12,11:14,11:17,11:21,11:25,11:28,11:30,11:34,11:38,11:41,11:44,11:53
3542,11:24,11:27,11:30,11:33,11:35,11:38,11:42,11:46,11:49,11:51,11:55,11:59,12:02,12:05,12:14
3546,11:50,11:53,11:56,11:59,12:01,12:04,12:08,12:12,12:15,12:17,12:21,12:25,12:28,12:31,12:40
3548,12:18,12:21,12:24,12:27,12:29,12:32,12:36,12:40,12:43,12:45,12:49,12:53,12:56,12:59,13:08
3552,12:47,12:50,12:53,12:56,12:58,13:01,13:05,13:09,13:12,13:14,13:18,13:22,13:25,13:28,13:37
3556,13:07,13:10,13:13,13:16,13:18,13:21,13:25,13:29,13:32,13:34,13:38,13:42,13:45,13:48,13:57
3558,13:30,13:33,13:36,13:39,13:41,13:44,13:48,13:52,13:55,13:57,14:01,14:05,14:08,14:11,14:20
3562,13:58,14:01,14:04,14:07,14:09,14:12,14:16,14:20,14:23,14:25,14:29,14:33,14:36,14:39,14:48
3566,14:27,14:30,14:33,14:36,14:38,14:41,14:45,14:49,14:52,14:54,14:58,15:02,15:05,15:08,15:17
3568,14:47,14:50,14:53,14:56,14:58,15:01,15:05,15:09,15:12,15:14,15:18,15:22,15:25,15:28,15:37
3572,15:12,15:15,15:18,15:21,15:23,15:26,15:30,15:34,15:37,15:39,15:43,15:47,15:50,15:53,16:02
3574,15:36,15:39,15:42,15:45,15:47,15:50,15:54,15:58,16:01,16:03,16:07,16:11,16:14,16:17,16:26
3578,16:03,16:06,16:09,16:12,16:14,16:17,16:21,16:25,16:28,16:30,16:34,16:38,16:41,16:44,16:53
3582,16:29,16:32,16:35,16:38,16:40,16:43,16:47,16:51,16:54,16:56,17:00,17:04,17:07,17:10,17:19
3584,16:54,16:57,17:00,17:03,17:05,17:08,17:12,17:16,17:19,17:21,17:25,17:29,17:32,17:35,17:44
3588,17:24,17:27,17:30,17:33,17:35,17:38,17:42,17:46,17:49,17:51,17:55,17:59,18:02,18:05,18:14
3592,17:44,17:47,17:50,17:53,17:55,17:58,18:02,18:06,18:09,18:11,18:15,18:19,18:22,18:25,18:34
3594,18:07,18:10,18:13,18:16,18:18,18:21,18:25,18:29,18:32,18:34,18:38,18:42,18:45,18:48,18:57
3598,18:32,18:35,18:38,18:41,18:43,18:46,18:50,18:54,18:57,18:59,19:03,19:07,19:10,19:13,19:22
3600,18:55,18:58,19:01,19:04,19:06,19:09,19:13,19:17,19:20,19:22,19:26,19:30,19:33,19:36,19:45
3604,19:22,19:25,19:28,19:31,19:33,19:36,19:40,19:44,19:47,19:49,19:53,19:57,20:00,20:03,20:12
3608,19:47,19:50,19:53,19:56,19:58,20:01,20:05,20:09,20:12,20:14,20:18,20:22,20:25,20:28,20:37
3610,20:10,20:13,20:16,20:19,20:21,20:24,20:28,20:32,20:35,20:37,20:41,20:45,20:48,20:51,21:00
3614,20:39,20:42,20:45,20:48,20:50,20:53,20:57,21:01,21:04,21:06,21:10,21:14,21:17,21:20,21:29
3618,21:10,21:13,21:16,21:19,21:21,21:24,21:28,21:32,21:35,21:37,21:41,21:45,21:48,21:51,22:0
