SERVICIO,LM-JLSUA,LM-CHILA,LM-VBALL,LM-MALAV,LM-SANDR,LM-SMART,LM-MIGUE,LM-PUEYR,LM-URQUI,LM-DRAGO,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
1290,04:26,04:29,04:32,04:35,04:37,04:40,04:44,04:48,04:51,04:53,04:57,,,,
1292,04:56,04:59,05:02,05:05,05:07,05:10,05:14,05:18,05:21,05:23,05:27,,,,
3502,05:36,05:39,05:42,05:45,05:47,05:50,05:54,05:58,06:01,06:03,06:07,06:11,06:14,06:17,06:26
3504,05:48,05:51,05:54,05:57,05:59,06:02,06:06,06:10,06:13,06:15,06:19,06:23,06:26,06:29,06:38
3506,06:00,06:03,06:06,06:09,06:11,06:14,06:18,06:22,06:25,06:27,06:31,06:35,06:38,06:41,06:50
1294,06:07,06:10,06:13,06:16,06:18,06:21,06:25,06:29,06:32,06:34,06:38,,,,
3508,06:15,06:18,06:21,06:24,06:26,06:29,06:33,06:37,06:40,06:42,06:46,06:50,06:53,06:56,07:05
3510,06:22,06:25,06:28,06:31,06:33,06:36,06:40,06:44,06:47,06:49,06:53,06:57,07:00,07:03,07:12
3512,06:34,06:37,06:40,06:43,06:45,06:48,06:52,06:56,06:59,07:01,07:05,07:09,07:12,07:15,07:24
3514,06:49,06:52,06:55,06:58,07:00,07:03,07:07,07:11,07:14,07:16,07:20,07:24,07:27,07:30,07:39
3518,07:10,07:13,07:16,07:19,07:21,07:24,07:28,07:32,07:35,07:37,07:41,07:45,07:48,07:51,08:00
3520,07:28,07:31,07:34,07:37,07:39,07:42,07:46,07:50,07:53,07:55,07:59,08:03,08:06,08:09,08:18
3524,07:46,07:49,07:52,07:55,07:57,08:00,08:04,08:08,08:11,08:13,08:17,08:21,08:24,08:27,08:36
3526,08:04,08:07,08:10,08:13,08:15,08:18,08:22,08:26,08:29,08:31,08:35,08:39,08:42,08:45,08:54
3530,08:22,08:25,08:28,08:31,08:33,08:36,08:40,08:44,08:47,08:49,08:53,08:57,09:00,09:03,09:12
3532,08:40,08:43,08:46,08:49,08:51,08:54,08:58,09:02,09:05,09:07,09:11,09:15,09:18,09:21,09:30
3536,08:58,09:01,09:04,09:07,09:09,09:12,09:16,09:20,09:23,09:25,09:29,09:33,09:36,09:39,09:48
3538,09:16,09:19,09:22,09:25,09:27,09:30,09:34,09:38,09:41,09:43,09:47,09:51,09:54,09:57,10:06
3542,09:34,09:37,09:40,09:43,09:45,09:48,09:52,09:56,09:59,10:01,10:05,10:09,10:12,10:15,10:24
