SERVICIO,LM-JLSUA,LM-CHILA,LM-VBALL,LM-MALAV,LM-SANDR,LM-SMART,LM-MIGUE,LM-PUEYR,LM-URQUI,LM-DRAGO,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3502,06:24,06:27,06:30,06:33,06:35,06:38,06:42,06:46,06:49,06:51,06:55,06:59,07:02,07:05,07:14
3504,06:34,06:37,06:40,06:43,06:45,06:48,06:52,06:56,06:59,07:01,07:05,07:09,07:12,07:15,07:24
3506,06:50,06:53,06:56,06:59,07:01,07:04,07:08,07:12,07:15,07:17,07:21,07:25,07:28,07:31,07:40
3508,07:09,07:12,07:15,07:18,07:20,07:23,07:27,07:31,07:34,07:36,07:40,07:44,07:47,07:50,07:59
3510,07:20,07:23,07:26,07:29,07:31,07:34,07:38,07:42,07:45,07:47,07:51,07:55,07:58,08:01,08:10
3512,07:40,07:43,07:46,07:49,07:51,07:54,07:58,08:02,08:05,08:07,08:11,08:15,08:18,08:21,08:30
3514,07:58,08:01,08:04,08:07,08:09,08:12,08:16,08:20,08:23,08:25,08:29,08:33,08:36,08:39,08:48
3516,08:12,08:15,08:18,08:21,08:23,08:26,08:30,08:34,08:37,08:39,08:43,08:47,08:50,08:53,09:02
3520,08:30,08:33,08:36,08:39,08:41,08:44,08:48,08:52,08:55,08:57,09:01,09:05,09:08,09:11,09:20
3522,08:54,08:57,09:00,09:03,09:05,09:08,09:12,09:16,09:19,09:21,09:25,09:29,09:32,09:35,09:44
3526,09:18,09:21,09:24,09:27,09:29,09:32,09:36,09:40,09:43,09:45,09:49,09:53,09:56,09:59,10:08
3530,09:45,09:48,09:51,09:54,09:56,09:59,10:03,10:07,10:10,10:12,10:16,10:20,10:23,10:26,10:35
3532,10:10,10:13,10:16,10:19,10:21,10:24,10:28,10:32,10:35,10:37,10:41,10:45,10:48,10:51,11:00
3536,10:35,10:38,10:41,10:44,10:46,10:49,10:53,10:57,11:00,11:02,11:06,11:10,11:13,11:16,11:25
3540,11:03,11:06,11:09,11:12,11:14,11:17,11:21,11:25,11:28,11:30,11:34,11:38,11:41,11:44,11:53
3542,11:25,11:28,11:31,11:34,11:36,11:39,11:43,11:47,11:50,11:52,11:56,12:00,12:03,12:06,12:15
3546,11:50,11:53,11:56,11:59,12:01,12:04,12:08,12:12,12:15,12:17,12:21,12:25,12:28,12:31,12:40
3548,12:15,12:18,12:21,12:24,12:26,12:29,12:33,12:37,12:40,12:42,12:46,12:50,12:53,12:56,13:05
3552,12:35,12:38,12:41,12:44,12:46,12:49,12:53,12:57,13:00,13:02,13:06,13:10,13:13,13:16,13:25
3556,13:05,13:08,13:11,13:14,13:16,13:19,13:23,13:27,13:30,13:32,13:36,13:40,13:43,13:46,13:55
3558,13:30,13:33,13:36,13:39,13:41,13:44,13:48,13:52,13:55,13:57,14:01,14:05,14:08,14:11,14:20
3562,13:55,13:58,14:01,14:04,14:06,14:09,14:13,14:17,14:20,14:22,14:26,14:30,14:33,14:36,14:45
3566,14:27,14:30,14:33,14:36,14:38,14:41,14:45,14:49,14:52,14:54,14:58,15:02,15:05,15:08,15:17
3568,14:45,14:48,14:51,14:54,14:56,14:59,15:03,15:07,15:10,15:12,15:16,15:20,15:23,15:26,15:35
3572,15:10,15:13,15:16,15:19,15:21,15:24,15:28,15:32,15:35,15:37,15:41,15:45,15:48,15:51,16:00
3574,15:32,15:35,15:38,15:41,15:43,15:46,15:50,15:54,15:57,15:59,16:03,16:07,16:10,16:13,16:22
3578,16:00,16:03,16:06,16:09,16:11,16:14,16:18,16:22,16:25,16:27,16:31,16:35,16:38,16:41,16:50
3582,16:29,16:32,16:35,16:38,16:40,16:43,16:47,16:51,16:54,16:56,17:00,17:04,17:07,17:10,17:19
3584,16:54,16:57,17:00,17:03,17:05,17:08,17:12,17:16,17:19,17:21,17:25,17:29,17:32,17:35,17:44
3588,17:24,17:27,17:30,17:33,17:35,17:38,17:42,17:46,17:49,17:51,17:55,17:59,18:02,18:05,18:14
3592,17:46,17:49,17:52,17:55,17:57,18:00,18:04,18:08,18:11,18:13,18:17,18:21,18:24,18:27,18:36
3594,18:11,18:14,18:17,18:20,18:22,18:25,18:29,18:33,18:36,18:38,18:42,18:46,18:49,18:52,19:01
3598,18:30,18:33,18:36,18:39,18:41,18:44,18:48,18:52,18:55,18:57,19:01,19:05,19:08,19:11,19:20
3600,18:54,18:57,19:00,19:03,19:05,19:08,19:12,19:16,19:19,19:21,19:25,19:29,19:32,19:35,19:44
3604,19:20,19:23,19:26,19:29,19:31,19:34,19:38,19:42,19:45,19:47,19:51,19:55,19:58,20:01,20:10
3608,19:46,19:49,19:52,19:55,19:57,20:00,20:04,20:08,20:11,20:13,20:17,20:21,20:24,20:27,20:36
3610,20:10,20:13,20:16,20:19,20:21,20:24,20:28,20:32,20:35,20:37,20:41,20:45,20:48,20:51,21:00
3614,20:40,20:43,20:46,20:49,20:51,20:54,20:58,21:02,21:05,21:07,21:11,21:15,21:18,21:21,21:30
3618,21:10,21:13,21:16,21:19,21:21,21:24,21:28,21:32,21:35,21:37,21:41,21:45,21:48,21:51,22:00
