SERVICIO,LM_RETIR,LM_LTORR,LM_BELGC,LM_NUNEZ,LM_RIVAD,LM_VLOPE,LM_OLIVO,LM_LUCIL,LM_MARTI,LM_ACASU,LM_SISID,LM_BECCA,LM_VICTO,LM_VIRRE,LM_SFERN,LM_CARUP,LM_TIGRE
1703,,,,,,,,,,,,,07:15,07:19,07:23,07:26,07:32
1705,,,,,,,,,,,,,07:40,07:44,07:48,07:51,07:57
1707,,,,,,,,,,,,,08:05,08:09,08:13,08:16,08:22
3009,07:40,07:50,07:52,07:56,08:02,08:05,08:10,08:13,08:15,08:18,08:21,08:25,08:30,08:34,08:38,08:41,08:47
3011,08:05,08:15,08:17,08:21,08:27,08:30,08:35,08:38,08:40,08:43,08:46,08:50,08:55,08:59,09:03,09:06,09:12
3013,08:30,08:40,08:42,08:46,08:52,08:55,09:00,09:03,09:05,09:08,09:11,09:15,09:20,09:24,09:28,09:31,09:37
3015,08:55,09:05,09:07,09:11,09:17,09:20,09:25,09:28,09:30,09:33,09:36,09:40,09:45,09:49,09:53,09:56,10:02
3017,09:20,09:30,09:32,09:36,09:42,09:45,09:50,09:53,09:55,09:58,10:01,10:05,10:10,10:14,10:18,10:21,10:27
3019,09:45,09:55,09:57,10:01,10:07,10:10,10:15,10:18,10:20,10:23,10:26,10:30,10:35,10:39,10:43,10:46,10:52
3021,10:10,10:20,10:22,10:26,10:32,10:35,10:40,10:43,10:45,10:48,10:51,10:55,11:00,11:04,11:08,11:11,11:17
3023,10:35,10:45,10:47,10:51,10:57,11:00,11:05,11:08,11:10,11:13,11:16,11:20,11:25,11:29,11:33,11:36,11:42
3025,11:00,11:10,11:12,11:16,11:22,11:25,11:30,11:33,11:35,11:38,11:41,11:45,11:50,11:54,11:58,12:01,12:07
3027,11:25,11:35,11:37,11:41,11:47,11:50,11:55,11:58,12:00,12:03,12:06,12:10,12:15,12:19,12:23,12:26,12:32
3029,11:50,12:00,12:02,12:06,12:12,12:15,12:20,12:23,12:25,12:28,12:31,12:35,12:40,12:44,12:48,12:51,12:57
3031,12:15,12:25,12:27,12:31,12:37,12:40,12:45,12:48,12:50,12:53,12:56,13:00,13:05,13:09,13:13,13:16,13:22
3033,12:40,12:50,12:52,12:56,13:02,13:05,13:10,13:13,13:15,13:18,13:21,13:25,13:30,13:34,13:38,13:41,13:47
3035,13:05,13:15,13:17,13:21,13:27,13:30,13:35,13:38,13:40,13:43,13:46,13:50,13:55,13:59,14:03,14:06,14:12
3037,13:30,13:40,13:42,13:46,13:52,13:55,14:00,14:03,14:05,14:08,14:11,14:15,14:20,14:24,14:28,14:31,14:37
3039,13:55,14:05,14:07,14:11,14:17,14:20,14:25,14:28,14:30,14:33,14:36,14:40,14:45,14:49,14:53,14:56,15:02
3041,14:20,14:30,14:32,14:36,14:42,14:45,14:50,14:53,14:55,14:58,15:01,15:05,15:10,15:14,15:18,15:21,15:27
3043,14:45,14:55,14:57,15:01,15:07,15:10,15:15,15:18,15:20,15:23,15:26,15:30,15:35,15:39,15:43,15:46,15:52
3045,15:10,15:20,15:22,15:26,15:32,15:35,15:40,15:43,15:45,15:48,15:51,15:55,16:00,16:04,16:08,16:11,16:17
3047,15:35,15:45,15:47,15:51,15:57,16:00,16:05,16:08,16:10,16:13,16:16,16:20,16:25,16:29,16:33,16:36,16:42
3049,16:00,16:10,16:12,16:16,16:22,16:25,16:30,16:33,16:35,16:38,16:41,16:45,16:50,16:54,16:58,17:01,17:07
3051,16:26,16:36,16:38,16:42,16:48,16:51,16:56,16:59,17:01,17:04,17:07,17:11,17:16,17:20,17:24,17:27,17:33
3053,16:46,16:56,16:58,17:02,17:08,17:11,17:16,17:19,17:21,17:24,17:27,17:31,17:36,17:40,17:44,17:47,17:53
3055,17:05,17:15,17:17,17:21,17:27,17:30,17:35,17:38,17:40,17:43,17:46,17:50,17:55,17:59,18:03,18:06,18:12
3057,17:24,17:34,17:36,17:40,17:46,17:49,17:54,17:57,17:59,18:02,18:05,18:09,18:14,18:18,18:22,18:25,18:31
3059,17:43,17:53,17:55,17:59,18:05,18:08,18:13,18:16,18:18,18:21,18:24,18:28,18:33,18:37,18:41,18:44,18:50
3061,18:02,18:12,18:14,18:18,18:24,18:27,18:32,18:35,18:37,18:40,18:43,18:47,18:52,18:56,19:00,19:03,19:09
3063,18:21,18:31,18:33,18:37,18:43,18:46,18:51,18:54,18:56,18:59,19:02,19:06,19:11,19:15,19:19,19:22,19:28
3065,18:40,18:50,18:52,18:56,19:02,19:05,19:10,19:13,19:15,19:18,19:21,19:25,19:30,19:34,19:38,19:41,19:47
3067,18:59,19:09,19:11,19:15,19:21,19:24,19:29,19:32,19:34,19:37,19:40,19:44,19:49,19:53,19:57,20:00,20:06
3069,19:18,19:28,19:30,19:34,19:40,19:43,19:48,19:51,19:53,19:56,19:59,20:03,20:08,20:12,20:16,20:19,20:25
3071,19:37,19:47,19:49,19:53,19:59,20:02,20:07,20:10,20:12,20:15,20:18,20:22,20:27,20:31,20:35,20:38,20:44
3073,19:56,20:06,20:08,20:12,20:18,20:21,20:26,20:29,20:31,20:34,20:37,20:41,20:46,20:50,20:54,20:57,21:03
3075,20:15,20:25,20:27,20:31,20:37,20:40,20:45,20:48,20:50,20:53,20:56,21:00,21:05,21:09,21:13,21:16,21:22
3077,20:34,20:44,20:46,20:50,20:56,20:59,21:04,21:07,21:09,21:12,21:15,21:19,21:24,21:28,21:32,21:35,21:41
3079,20:53,21:03,21:05,21:09,21:15,21:18,21:23,21:26,21:28,21:31,21:34,21:38,21:43,21:47,21:51,21:54,22:00
1781,21:30,21:40,21:42,21:46,21:52,21:55,22:00,22:03,22:05,22:08,22:11,22:15,22:20,22:24,22:28,22:31,22:37
3085,21:50,22:00,22:02,22:06,22:12,22:15,22:20,22:23,22:25,22:28,22:31,22:35,22:39,,,,
1787,22:09,22:19,22:21,22:25,22:31,22:34,22:39,22:42,22:44,22:47,22:50,22:54,22:58,,,,
