SERVICIO,LM_RETIR,LM_LTORR,LM_BELGC,LM_NUNEZ,LM_RIVAD,LM_VLOPE,LM_OLIVO,LM_LUCIL,LM_MARTI,LM_ACASU,LM_SISID,LM_BECCA,LM_VICTO,LM_VIRRE,LM_SFERN,LM_CARUP,LM_TIGRE
1705,,,,,,,,,,,,,06:15,06:19,06:23,06:26,06:32
1707,,,,,,,,,,,,,06:30,06:34,06:38,06:41,06:47
1709,,,,,,,,,,,,,06:45,06:49,06:53,06:56,07:02
1711,,,,,,,,,,,,,07:00,07:04,07:08,07:11,07:17
1713,,,,,,,,,,,,,07:15,07:19,07:23,07:26,07:32
1715,,,,,,,,,,,,,07:30,07:34,07:38,07:41,07:47
3017,06:55,07:05,07:07,07:11,07:17,07:20,07:25,07:28,07:30,07:33,07:36,07:40,07:45,07:49,07:53,07:56,08:02
3019,07:10,07:20,07:22,07:26,07:32,07:35,07:40,07:43,07:45,07:48,07:51,07:55,08:00,08:04,08:08,08:11,08:17
3021,07:25,07:35,07:37,07:41,07:47,07:50,07:55,07:58,08:00,08:03,08:06,08:10,08:15,08:19,08:23,08:26,08:32
3023,07:40,07:50,07:52,07:56,08:02,08:05,08:10,08:13,08:15,08:18,08:21,08:25,08:30,08:34,08:38,08:41,08:47
3025,07:55,08:05,08:07,08:11,08:17,08:20,08:25,08:28,08:30,08:33,08:36,08:40,08:45,08:49,08:53,08:56,09:02
3027,08:10,08:20,08:22,08:26,08:32,08:35,08:40,08:43,08:45,08:48,08:51,08:55,09:00,09:04,09:08,09:11,09:17
3029,08:25,08:35,08:37,08:41,08:47,08:50,08:55,08:58,09:00,09:03,09:06,09:10,09:15,09:19,09:23,09:26,09:32
3031,08:40,08:50,08:52,08:56,09:02,09:05,09:10,09:13,09:15,09:18,09:21,09:25,09:30,09:34,09:38,09:41,09:47
3033,08:55,09:05,09:07,09:11,09:17,09:20,09:25,09:28,09:30,09:33,09:36,09:40,09:45,09:49,09:53,09:56,10:02
3035,09:10,09:20,09:22,09:26,09:32,09:35,09:40,09:43,09:45,09:48,09:51,09:55,10:00,10:04,10:08,10:11,10:17
3037,09:25,09:35,09:37,09:41,09:47,09:50,09:55,09:58,10:00,10:03,10:06,10:10,10:15,10:19,10:23,10:26,10:32
3039,09:40,09:50,09:52,09:56,10:02,10:05,10:10,10:13,10:15,10:18,10:21,10:25,10:30,10:34,10:38,10:41,10:47
3041,09:55,10:05,10:07,10:11,10:17,10:20,10:25,10:28,10:30,10:33,10:36,10:40,10:45,10:49,10:53,10:56,11:02
3043,10:10,10:20,10:22,10:26,10:32,10:35,10:40,10:43,10:45,10:48,10:51,10:55,11:00,11:04,11:08,11:11,11:17
3045,10:25,10:35,10:37,10:41,10:47,10:50,10:55,10:58,11:00,11:03,11:06,11:10,11:15,11:19,11:23,11:26,11:32
3047,10:40,10:50,10:52,10:56,11:02,11:05,11:10,11:13,11:15,11:18,11:21,11:25,11:30,11:34,11:38,11:41,11:47
3049,10:57,11:07,11:09,11:13,11:19,11:22,11:27,11:30,11:32,11:35,11:38,11:42,11:47,11:51,11:55,11:58,12:04
3051,11:14,11:24,11:26,11:30,11:36,11:39,11:44,11:47,11:49,11:52,11:55,11:59,12:04,12:08,12:12,12:15,12:21
3053,11:31,11:41,11:43,11:47,11:53,11:56,12:01,12:04,12:06,12:09,12:12,12:16,12:21,12:25,12:29,12:32,12:38
3055,11:48,11:58,12:00,12:04,12:10,12:13,12:18,12:21,12:23,12:26,12:29,12:33,12:38,12:42,12:46,12:49,12:55
3057,12:05,12:15,12:17,12:21,12:27,12:30,12:35,12:38,12:40,12:43,12:46,12:50,12:55,12:59,13:03,13:06,13:12
3059,12:22,12:32,12:34,12:38,12:44,12:47,12:52,12:55,12:57,13:00,13:03,13:07,13:12,13:16,13:20,13:23,13:29
3061,12:39,12:49,12:51,12:55,13:01,13:04,13:09,13:12,13:14,13:17,13:20,13:24,13:29,13:33,13:37,13:40,13:46
3063,12:56,13:06,13:08,13:12,13:18,13:21,13:26,13:29,13:31,13:34,13:37,13:41,13:46,13:50,13:54,13:57,14:03
3065,13:13,13:23,13:25,13:29,13:35,13:38,13:43,13:46,13:48,13:51,13:54,13:58,14:03,14:07,14:11,14:14,14:20
3067,13:30,13:40,13:42,13:46,13:52,13:55,14:00,14:03,14:05,14:08,14:11,14:15,14:20,14:24,14:28,14:31,14:37
3069,13:47,13:57,13:59,14:03,14:09,14:12,14:17,14:20,14:22,14:25,14:28,14:32,14:37,14:41,14:45,14:48,14:54
3071,14:04,14:14,14:16,14:20,14:26,14:29,14:34,14:37,14:39,14:42,14:45,14:49,14:54,14:58,15:02,15:05,15:11
3073,14:21,14:31,14:33,14:37,14:43,14:46,14:51,14:54,14:56,14:59,15:02,15:06,15:11,15:15,15:19,15:22,15:28
3075,14:38,14:48,14:50,14:54,15:00,15:03,15:08,15:11,15:13,15:16,15:19,15:23,15:28,15:32,15:36,15:39,15:45
3077,14:55,15:05,15:07,15:11,15:17,15:20,15:25,15:28,15:30,15:33,15:36,15:40,15:45,15:49,15:53,15:56,16:02
3079,15:12,15:22,15:24,15:28,15:34,15:37,15:42,15:45,15:47,15:50,15:53,15:57,16:02,16:06,16:10,16:13,16:19
3081,15:29,15:39,15:41,15:45,15:51,15:54,15:59,16:02,16:04,16:07,16:10,16:14,16:19,16:23,16:27,16:30,16:36
3083,15:46,15:56,15:58,16:02,16:08,16:11,16:16,16:19,16:21,16:24,16:27,16:31,16:36,16:40,16:44,16:47,16:53
3085,16:03,16:13,16:15,16:19,16:25,16:28,16:33,16:36,16:38,16:41,16:44,16:48,16:53,16:57,17:01,17:04,17:10
3087,16:20,16:30,16:32,16:36,16:42,16:45,16:50,16:53,16:55,16:58,17:01,17:05,17:10,17:14,17:18,17:21,17:27
3089,16:37,16:47,16:49,16:53,16:59,17:02,17:07,17:10,17:12,17:15,17:18,17:22,17:27,17:31,17:35,17:38,17:44
3091,16:53,17:03,17:05,17:09,17:15,17:18,17:23,17:26,17:28,17:31,17:34,17:38,17:43,17:47,17:51,17:54,18:00
3093,17:08,17:18,17:20,17:24,17:30,17:33,17:38,17:41,17:43,17:46,17:49,17:53,17:58,18:02,18:06,18:09,18:15
3095,17:23,17:33,17:35,17:39,17:45,17:48,17:53,17:56,17:58,18:01,18:04,18:08,18:13,18:17,18:21,18:24,18:30
3097,17:38,17:48,17:50,17:54,18:00,18:03,18:08,18:11,18:13,18:16,18:19,18:23,18:28,18:32,18:36,18:39,18:45
3099,17:53,18:03,18:05,18:09,18:15,18:18,18:23,18:26,18:28,18:31,18:34,18:38,18:43,18:47,18:51,18:54,19:00
3101,18:08,18:18,18:20,18:24,18:30,18:33,18:38,18:41,18:43,18:46,18:49,18:53,18:58,19:02,19:06,19:09,19:15
3103,18:23,18:33,18:35,18:39,18:45,18:48,18:53,18:56,18:58,19:01,19:04,19:08,19:13,19:17,19:21,19:24,19:30
