SERVICIO,LM_TIGRE,LM_CARUP,LM_SFERN,LM_VIRRE,LM_VICTO,LM_BECCA,LM_SISID,LM_ACASU,LM_MARTI,LM_LUCIL,LM_OLIVO,LM_VLOPE,LM_RIVAD,LM_NUNEZ,LM_BELGC,LM_LTORR,LM_RETIR
1712,,,,,07:06,07:10,07:15,07:18,07:21,07:23,07:27,07:31,07:35,07:40,07:44,07:46,07:57
1714,,,,,07:31,07:35,07:40,07:43,07:46,07:48,07:52,07:56,08:00,08:05,08:09,08:11,08:22
3016,07:40,07:46,07:49,07:52,07:56,08:00,08:05,08:08,08:11,08:13,08:17,08:21,08:25,08:30,08:34,08:36,08:47
3018,08:05,08:11,08:14,08:17,08:21,08:25,08:30,08:33,08:36,08:38,08:42,08:46,08:50,08:55,08:59,09:01,09:12
3020,08:30,08:36,08:39,08:42,08:46,08:50,08:55,08:58,09:01,09:03,09:07,09:11,09:15,09:20,09:24,09:26,09:37
3022,08:55,09:01,09:04,09:07,09:11,09:15,09:20,09:23,09:26,09:28,09:32,09:36,09:40,09:45,09:49,09:51,10:02
3024,09:20,09:26,09:29,09:32,09:36,09:40,09:45,09:48,09:51,09:53,09:57,10:01,10:05,10:10,10:14,10:16,10:27
3026,09:45,09:51,09:54,09:57,10:01,10:05,10:10,10:13,10:16,10:18,10:22,10:26,10:30,10:35,10:39,10:41,10:52
3028,10:10,10:16,10:19,10:22,10:26,10:30,10:35,10:38,10:41,10:43,10:47,10:51,10:55,11:00,11:04,11:06,11:17
3030,10:35,10:41,10:44,10:47,10:51,10:55,11:00,11:03,11:06,11:08,11:12,11:16,11:20,11:25,11:29,11:31,11:42
3032,11:00,11:06,11:09,11:12,11:16,11:20,11:25,11:28,11:31,11:33,11:37,11:41,11:45,11:50,11:54,11:56,12:07
3034,11:25,11:31,11:34,11:37,11:41,11:45,11:50,11:53,11:56,11:58,12:02,12:06,12:10,12:15,12:19,12:21,12:32
3036,11:50,11:56,11:59,12:02,12:06,12:10,12:15,12:18,12:21,12:23,12:27,12:31,12:35,12:40,12:44,12:46,12:57
3038,12:15,12:21,12:24,12:27,12:31,12:35,12:40,12:43,12:46,12:48,12:52,12:56,13:00,13:05,13:09,13:11,13:22
3040,12:40,12:46,12:49,12:52,12:56,13:00,13:05,13:08,13:11,13:13,13:17,13:21,13:25,13:30,13:34,13:36,13:47
3042,13:05,13:11,13:14,13:17,13:21,13:25,13:30,13:33,13:36,13:38,13:42,13:46,13:50,13:55,13:59,14:01,14:12
