SERVICIO,BN-RETIR,BN-SALDI,BN-CUNIV,BN-ARIST,BN-PADIL,BN-FLORI,BN-MUNRO,BN-CARAP,BN-VADEL,BN-BOULO,BN-MONTE,BN-DTORC,BN-SOURD,BN-VMAYO,BN-POLVO,BN-PNOGU,BN-GBOUR,BN-TALTA,BN-TORTU,BN-MALBE,BN-DVISO,BN-CGRIE,BN-VROSA
3001,00:20:00,00:26:00,00:32:00,00:37:00,00:41:00,00:44:00,00:47:00,00:50:00,00:53:00,00:57:00,,,,,,,,,,,,,
3003,02:40:00,02:47:00,02:51:00,02:55:00,02:57:00,03:00:00,03:04:00,03:08:00,03:12:00,03:16:00,03:19:00,03:23:00,03:27:00,03:33:00,,,,,,,,,
3005,03:40:00,03:47:00,03:51:00,03:55:00,03:57:00,04:00:00,04:04:00,04:08:00,04:12:00,04:16:00,04:19:00,04:23:00,04:27:00,04:33:00,,,,,,,,,
3007,04:15:00,04:22:00,04:26:00,04:30:00,04:32:00,04:35:00,04:39:00,04:43:00,04:47:00,04:51:00,04:54:00,04:58:00,05:02:00,05:08:00,,,,,,,,,
3009,04:55:00,05:02:00,05:06:00,05:10:00,05:12:00,05:15:00,05:19:00,05:23:00,05:27:00,05:31:00,05:34:00,05:38:00,05:42:00,05:48:00,,,,,,,,,
3011,04:55:00,05:01:00,05:07:00,05:12:00,05:16:00,05:19:00,05:22:00,05:25:00,05:28:00,05:32:00,05:39:00,05:43:00,05:47:00,05:49:00,05:52:00,05:56:00,06:00:00,06:04:00,06:08:00,06:11:00,06:15:00,06:19:00,06:25:00
3013,05:30:00,05:36:00,05:42:00,05:47:00,05:51:00,05:54:00,05:57:00,06:00:00,06:03:00,06:07:00,06:14:00,06:18:00,06:22:00,06:24:00,06:27:00,06:31:00,06:35:00,06:39:00,06:43:00,06:46:00,06:50:00,06:54:00,07:00:00
3015,06:05:00,06:11:00,06:17:00,06:22:00,06:26:00,06:29:00,06:32:00,06:35:00,06:38:00,06:42:00,06:49:00,06:53:00,06:57:00,06:59:00,07:02:00,07:06:00,07:10:00,07:14:00,07:18:00,07:21:00,07:25:00,07:29:00,07:35:00
3017,06:40:00,06:46:00,06:52:00,06:57:00,07:01:00,07:04:00,07:07:00,07:10:00,07:13:00,07:17:00,07:24:00,07:28:00,07:32:00,07:34:00,07:37:00,07:41:00,07:45:00,07:49:00,07:53:00,07:56:00,08:00:00,08:04:00,08:10:00
3019,07:15:00,07:21:00,07:27:00,07:32:00,07:36:00,07:39:00,07:42:00,07:45:00,07:48:00,07:52:00,07:59:00,08:03:00,08:07:00,08:09:00,08:12:00,08:16:00,08:20:00,08:24:00,08:28:00,08:31:00,08:35:00,08:39:00,08:45:00
