SERVICIO,BN-RETIR,BN-SALDI,BN-CUNIV,BN-ARIST,BN-PADIL,BN-FLORI,BN-MUNRO,BN-CARAP,BN-VADEL,BN-BOULO,BN-MONTE,BN-DTORC,BN-SOURD,BN-VMAYO,BN-POLVO,BN-PNOGU,BN-GBOUR,BN-TALTA,BN-TORTU,BN-MALBE,BN-DVISO,BN-CGRIE,BN-VROSA
3001,00:20:00,00:26:00,00:32:00,00:37:00,00:41:00,00:44:00,00:47:00,00:50:00,00:53:00,00:57:00,,,,,,,,,,,,,
3003,03:50:00,03:57:00,04:01:00,04:05:00,04:07:00,04:10:00,04:14:00,04:18:00,04:22:00,04:26:00,04:29:00,04:33:00,04:37:00,04:43:00,,,,,,,,,
3005,04:20:00,04:27:00,04:31:00,04:35:00,04:37:00,04:40:00,04:44:00,04:48:00,04:52:00,04:56:00,04:59:00,05:03:00,05:07:00,05:13:00,,,,,,,,,
3007,04:50:00,04:57:00,05:01:00,05:05:00,05:07:00,05:10:00,05:14:00,05:18:00,05:22:00,05:26:00,05:29:00,05:33:00,05:37:00,05:43:00,,,,,,,,,
3009,04:50:00,04:56:00,05:02:00,05:07:00,05:11:00,05:14:00,05:17:00,05:20:00,05:23:00,05:27:00,05:34:00,05:38:00,05:42:00,05:44:00,05:47:00,05:51:00,05:55:00,05:59:00,06:03:00,06:06:00,06:10:00,06:14:00,06:20:00
3011,05:20:00,05:26:00,05:32:00,05:37:00,05:41:00,05:44:00,05:47:00,05:50:00,05:53:00,05:57:00,06:04:00,06:08:00,06:12:00,06:14:00,06:17:00,06:21:00,06:25:00,06:29:00,06:33:00,06:36:00,06:40:00,06:44:00,06:50:00
3013,05:45:00,05:51:00,05:57:00,06:02:00,06:06:00,06:09:00,06:12:00,06:15:00,06:18:00,06:22:00,06:29:00,06:33:00,06:37:00,06:39:00,06:42:00,06:46:00,06:50:00,,,,,,
3015,06:05:00,06:11:00,06:17:00,06:22:00,06:26:00,06:29:00,06:32:00,06:35:00,06:38:00,06:42:00,06:49:00,06:53:00,06:57:00,06:59:00,07:02:00,07:06:00,07:10:00,07:14:00,07:18:00,07:21:00,07:25:00,07:29:00,07:35:00
3017,06:25:00,06:31:00,06:37:00,06:42:00,06:46:00,06:49:00,06:52:00,06:55:00,06:58:00,07:02:00,07:09:00,07:13:00,07:17:00,07:19:00,07:22:00,07:26:00,07:30:00,,,,,,
3019,06:40:00,06:46:00,06:52:00,06:57:00,07:01:00,07:04:00,07:07:00,07:10:00,07:13:00,07:17:00,07:24:00,07:28:00,07:32:00,07:34:00,07:37:00,07:41:00,07:45:00,07:49:00,07:53:00,07:56:00,08:00:00,08:04:00,08:10:00
