SERVICIO,BN-VROSA,BN-CGRIE,BN-DVISO,BN-MALBE,BN-TORTU,BN-TALTA,BN-GBOUR,BN-PNOGU,BN-POLVO,BN-VMAYO,BN-SOURD,BN-DTORC,BN-MONTE,BN-BOULO,BN-VADEL,BN-CARAP,BN-MUNRO,BN-FLORI,BN-PADIL,BN-ARIST,BN-CUNIV,BN-SALDI,BN-RETIR
3002,00:30,00:35,00:39,00:43,00:46,00:50,00:54,00:58,01:02,01:05,01:08,01:11,01:15,01:22,,,,,,,,,
3004,01:30,01:35,01:39,01:43,01:46,01:50,01:54,01:58,02:02,02:05,02:08,02:11,02:15,02:22,,,,,,,,,
3006,03:10,03:15,03:19,03:23,03:26,03:30,03:34,03:38,03:42,03:45,03:48,03:51,03:55,04:02,04:06,04:09,04:12,04:15,04:18,04:22,04:27,04:33,04:40
3008,03:40,03:45,03:49,03:53,03:56,04:00,04:04,04:08,04:12,04:15,04:18,04:21,04:25,04:32,04:36,04:39,04:42,04:45,04:48,04:52,04:57,05:03,05:10
3010,04:29,04:33,04:37,04:40,04:43,04:46,04:50,04:57,05:01,05:04,05:07,05:10,05:13,05:17,05:22,05:28,05:35,,,,,,
3012,04:25,04:30,04:34,04:38,04:41,04:45,04:49,04:53,04:57,05:00,05:03,05:06,05:10,05:17,05:21,05:24,05:27,05:30,05:33,05:37,05:42,05:48,05:55
3014,05:08,05:12,05:16,05:19,05:22,05:25,05:29,05:36,05:40,05:43,05:46,05:49,05:52,05:56,06:01,06:07,06:14,,,,,,
3016,05:00,05:05,05:09,05:13,05:16,05:20,05:24,05:28,05:32,05:35,05:38,05:41,05:45,05:52,05:56,05:59,06:02,06:05,06:08,06:12,06:17,06:23,06:30
3018,05:40,05:44,05:48,05:51,05:54,05:57,06:01,06:08,06:12,06:15,06:18,06:21,06:24,06:28,06:33,06:39,06:46,,,,,,
3020,05:32,05:37,05:41,05:45,05:48,05:52,05:56,06:00,06:04,06:07,06:10,06:13,06:17,06:24,06:28,06:31,06:34,06:37,06:40,06:44,06:49,06:55,07:02
3022,06:12,06:16,06:20,06:23,06:26,06:29,06:33,06:40,06:44,06:47,06:50,06:53,06:56,07:00,07:05,07:11,07:18,,,,,,
3024,06:04,06:09,06:13,06:17,06:20,06:24,06:28,06:32,06:36,06:39,06:42,06:45,06:49,06:56,07:00,07:03,07:06,07:09,07:12,07:16,07:21,07:27,07:34
3026,06:44,06:48,06:52,06:55,06:58,07:01,07:05,07:12,07:16,07:19,07:22,07:25,07:28,07:32,07:37,07:43,07:50,,,,,,
3028,06:36,06:41,06:45,06:49,06:52,06:56,07:00,07:04,07:08,07:11,07:14,07:17,07:21,07:28,07:32,07:35,07:38,07:41,07:44,07:48,07:53,07:59,08:06
3030,07:16,07:20,07:24,07:27,07:30,07:33,07:37,07:44,07:48,07:51,07:54,07:57,08:00,08:04,08:09,08:15,08:22,,,,,,
3032,07:08,07:13,07:17,07:21,07:24,07:28,07:32,07:36,07:40,07:43,07:46,07:49,07:53,08:00,08:04,08:07,08:10,08:13,08:16,08:20,08:25,08:31,08:38
3034,07:48,07:52,07:56,07:59,08:02,08:05,08:09,08:16,08:20,08:23,08:26,08:29,08:32,08:36,08:41,08:47,08:54,,,,,,
