SERVICIO,LM-BMITR,LM-CETRA,LM-FLORI,LM-JBJUS,LM-SAAVE,LM-COGHL,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3318,08:32,08:35,08:37,08:39,08:42,08:45,08:50,08:54,08:57,09:00,09:09
3324,09:15,09:18,09:20,09:22,09:25,09:28,09:33,09:37,09:40,09:43,09:52
3328,09:51,09:54,09:56,09:58,10:01,10:04,10:09,10:13,10:16,10:19,10:28
3334,10:32,10:35,10:37,10:39,10:42,10:45,10:50,10:54,10:57,11:00,11:09
3338,11:10,11:13,11:15,11:17,11:20,11:23,11:28,11:32,11:35,11:38,11:47
3344,11:51,11:54,11:56,11:58,12:01,12:04,12:09,12:13,12:16,12:19,12:28
3350,12:37,12:40,12:42,12:44,12:47,12:50,12:55,12:59,13:02,13:05,13:14
3354,13:12,13:15,13:17,13:19,13:22,13:25,13:30,13:34,13:37,13:40,13:49
3360,13:52,13:55,13:57,13:59,14:02,14:05,14:10,14:14,14:17,14:20,14:29
3364,14:29,14:32,14:34,14:36,14:39,14:42,14:47,14:51,14:54,14:57,15:06
3370,15:12,15:15,15:17,15:19,15:22,15:25,15:30,15:34,15:37,15:40,15:49
3376,15:55,15:58,16:00,16:02,16:05,16:08,16:13,16:17,16:20,16:23,16:32
3380,16:32,16:35,16:37,16:39,16:42,16:45,16:50,16:54,16:57,17:00,17:09
3386,17:13,17:16,17:18,17:20,17:23,17:26,17:31,17:35,17:38,17:41,17:50
3390,17:51,17:54,17:56,17:58,18:01,18:04,18:09,18:13,18:16,18:19,18:28
3396,18:32,18:35,18:37,18:39,18:42,18:45,18:50,18:54,18:57,19:00,19:09
3402,19:14,19:17,19:19,19:21,19:24,19:27,19:32,19:36,19:39,19:42,19:51
3406,19:52,19:55,19:57,19:59,20:02,20:05,20:10,20:14,20:17,20:20,20:29
3412,20:32,20:35,20:37,20:39,20:42,20:45,20:50,20:54,20:57,21:00,21:09
3416,21:12,21:15,21:17,21:19,21:22,21:25,21:30,21:34,21:37,21:40,21:49
