SERVICIO,LM-BMITR,LM-CETRA,LM-FLORI,LM-JBJUS,LM-SAAVE,LM-COGHL,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3316,07:17,07:20,07:22,07:24,07:27,07:30,07:35,07:39,07:42,07:45,07:54
3322,07:50,07:53,07:55,07:57,08:00,08:03,08:08,08:12,08:15,08:18,08:27
3328,08:26,08:29,08:31,08:33,08:36,08:39,08:44,08:48,08:51,08:54,09:03
3334,09:02,09:05,09:07,09:09,09:12,09:15,09:20,09:24,09:27,09:30,09:39
3340,09:38,09:41,09:43,09:45,09:48,09:51,09:56,10:00,10:03,10:06,10:15
3346,10:14,10:17,10:19,10:21,10:24,10:27,10:32,10:36,10:39,10:42,10:51
3352,10:50,10:53,10:55,10:57,11:00,11:03,11:08,11:12,11:15,11:18,11:27
3358,11:26,11:29,11:31,11:33,11:36,11:39,11:44,11:48,11:51,11:54,12:03
3364,12:02,12:05,12:07,12:09,12:12,12:15,12:20,12:24,12:27,12:30,12:39
3370,12:38,12:41,12:43,12:45,12:48,12:51,12:56,13:00,13:03,13:06,13:15
3376,13:14,13:17,13:19,13:21,13:24,13:27,13:32,13:36,13:39,13:42,13:51
3382,13:50,13:53,13:55,13:57,14:00,14:03,14:08,14:12,14:15,14:18,14:27
3388,14:26,14:29,14:31,14:33,14:36,14:39,14:44,14:48,14:51,14:54,15:03
3394,15:02,15:05,15:07,15:09,15:12,15:15,15:20,15:24,15:27,15:30,15:39
3400,15:38,15:41,15:43,15:45,15:48,15:51,15:56,16:00,16:03,16:06,16:15
3406,16:14,16:17,16:19,16:21,16:24,16:27,16:32,16:36,16:39,16:42,16:51
3412,16:50,16:53,16:55,16:57,17:00,17:03,17:08,17:12,17:15,17:18,17:27
3418,17:26,17:29,17:31,17:33,17:36,17:39,17:44,17:48,17:51,17:54,18:03
3424,18:02,18:05,18:07,18:09,18:12,18:15,18:20,18:24,18:27,18:30,18:39
3430,18:38,18:41,18:43,18:45,18:48,18:51,18:56,19:00,19:03,19:06,19:15
3436,19:14,19:17,19:19,19:21,19:24,19:27,19:32,19:36,19:39,19:42,19:51
3442,19:50,19:53,19:55,19:57,20:00,20:03,20:08,20:12,20:15,20:18,20:27
3448,20:26,20:29,20:31,20:33,20:36,20:39,20:44,20:48,20:51,20:54,21:03
3454,21:02,21:05,21:07,21:09,21:12,21:15,21:20,21:24,21:27,21:30,21:39
3460,21:34,21:37,21:39,21:41,21:44,21:47,21:52,21:56,21:59,22:02,22:11
