SERVICIO,LM-BMITR,LM-CETRA,LM-FLORI,LM-JBJUS,LM-SAAVE,LM-COGHL,LM-BELGR,LM-COLEG,LM-CARRA,LM-3FEBR,LM-RETIR
3318,08:32,08:35,08:37,08:39,08:42,08:45,08:50,08:54,08:57,09:00,09:09
3324,09:14,09:17,09:19,09:21,09:24,09:27,09:32,09:36,09:39,09:42,09:51
3328,09:52,09:55,09:57,09:59,10:02,10:05,10:10,10:14,10:17,10:20,10:29
3334,10:32,10:35,10:37,10:39,10:42,10:45,10:50,10:54,10:57,11:00,11:09
3338,11:10,11:13,11:15,11:17,11:20,11:23,11:28,11:32,11:35,11:38,11:47
3344,11:52,11:55,11:57,11:59,12:02,12:05,12:10,12:14,12:17,12:20,12:29
3350,12:34,12:37,12:39,12:41,12:44,12:47,12:52,12:56,12:59,13:02,13:11
3354,13:12,13:15,13:17,13:19,13:22,13:25,13:30,13:34,13:37,13:40,13:49
3360,13:52,13:55,13:57,13:59,14:02,14:05,14:10,14:14,14:17,14:20,14:29
3364,14:32,14:35,14:37,14:39,14:42,14:45,14:50,14:54,14:57,15:00,15:09
3370,15:12,15:15,15:17,15:19,15:22,15:25,15:30,15:34,15:37,15:40,15:49
3376,15:52,15:55,15:57,15:59,16:02,16:05,16:10,16:14,16:17,16:20,16:29
3380,16:32,16:35,16:37,16:39,16:42,16:45,16:50,16:54,16:57,17:00,17:09
3386,17:13,17:16,17:18,17:20,17:23,17:26,17:31,17:35,17:38,17:41,17:50
3390,17:52,17:55,17:57,17:59,18:02,18:05,18:10,18:14,18:17,18:20,18:29
3396,18:32,18:35,18:37,18:39,18:42,18:45,18:50,18:54,18:57,19:00,19:09
3402,19:13,19:16,19:18,19:20,19:23,19:26,19:31,19:35,19:38,19:41,19:50
3406,19:52,19:55,19:57,19:59,20:02,20:05,20:10,20:14,20:17,20:20,20:29
3412,20:32,20:35,20:37,20:39,20:42,20:45,20:50,20:54,20:57,21:00,21:09
3416,21:12,21:15,21:17,21:19,21:22,21:25,21:30,21:34,21:37,21:40,21:49
