SERVICIO,BS-SAENZ,BS-SOLDA,BS-ILLIA,BS-LUGAN,BS-MADER,BS-FOURN,BS-TAPIA,BS-CASTE,BS-QUERA,BS-LAFER,BS-EVADU,BS-INDEP,BS-CATAN
3803,,,,,,,04:14,04:18,04:23,04:31,04:35,04:38,04:44
3805,,,,,,,04:45,04:49,04:54,05:02,05:06,05:09,05:15
3609,04:45,04:53,04:55,05:02,05:06,05:09,05:16,05:20,05:24,05:32,05:36,05:39,05:45
3611,05:15,05:23,05:25,05:32,05:36,05:39,05:46,05:50,05:54,06:02,06:06,06:09,06:15
3615,05:45,05:53,05:55,06:02,06:06,06:09,06:16,06:20,06:24,06:32,06:36,06:39,06:45
3617,06:15,06:23,06:25,06:32,06:36,06:39,06:46,06:50,06:54,07:02,07:06,07:09,07:15
3621,06:45,06:53,06:55,07:02,07:06,07:09,07:16,07:20,07:24,07:32,07:36,07:39,07:45
3623,07:15,07:23,07:25,07:32,07:36,07:39,07:46,07:50,07:54,08:02,08:06,08:09,08:15
3627,07:46,07:54,07:56,08:03,08:07,08:10,08:17,08:21,08:25,08:33,08:37,08:40,08:46
3629,08:15,08:23,08:25,08:32,08:36,08:39,08:46,08:50,08:54,09:02,09:06,09:09,09:15
3633,08:42,08:50,08:52,08:59,09:03,09:06,09:13,09:17,09:21,09:29,09:33,09:36,09:42
3635,09:15,09:23,09:25,09:32,09:36,09:39,09:46,09:50,09:54,10:02,10:06,10:09,10:15
3639,09:45,09:53,09:55,10:02,10:06,10:09,10:16,10:20,10:24,10:32,10:36,10:39,10:45
3641,10:15,10:23,10:25,10:32,10:36,10:39,10:46,10:50,10:54,11:02,11:06,11:09,11:15
3645,10:45,10:53,10:55,11:02,11:06,11:09,11:16,11:20,11:24,11:32,11:36,11:39,11:45
3647,11:11,11:19,11:21,11:28,11:32,11:35,11:42,11:46,11:50,11:58,12:02,12:05,12:11
3651,11:45,11:53,11:55,12:02,12:06,12:09,12:16,12:20,12:24,12:32,12:36,12:39,12:45
3653,12:15,12:23,12:25,12:32,12:36,12:39,12:46,12:50,12:54,13:02,13:06,13:09,13:15
3657,12:42,12:50,12:52,12:59,13:03,13:06,13:13,13:17,13:21,13:29,13:33,13:36,13:42
3659,13:15,13:23,13:25,13:32,13:36,13:39,13:46,13:50,13:54,14:02,14:06,14:09,14:15
3663,13:45,13:53,13:55,14:02,14:06,14:09,14:16,14:20,14:24,14:32,14:36,14:39,14:45
3665,14:15,14:23,14:25,14:32,14:36,14:39,14:46,14:50,14:54,15:02,15:06,15:09,15:15
3669,14:45,14:53,14:55,15:02,15:06,15:09,15:16,15:20,15:24,15:32,15:36,15:39,15:45
3671,15:15,15:23,15:25,15:32,15:36,15:39,15:46,15:50,15:54,16:02,16:06,16:09,16:15
3675,15:45,15:53,15:55,16:02,16:06,16:09,16:16,16:20,16:24,16:32,16:36,16:39,16:45
3677,16:15,16:23,16:25,16:32,16:36,16:39,16:46,16:50,16:54,17:02,17:06,17:09,17:15
3681,16:45,16:53,16:55,17:02,17:06,17:09,17:16,17:20,17:24,17:32,17:36,17:39,17:45
3683,17:15,17:23,17:25,17:32,17:36,17:39,17:46,17:50,17:54,18:02,18:06,18:09,18:15
3687,17:45,17:53,17:55,18:02,18:06,18:09,18:16,18:20,18:24,18:32,18:36,18:39,18:45
3689,18:15,18:23,18:25,18:32,18:36,18:39,18:46,18:50,18:54,19:02,19:06,19:09,19:15
3693,18:45,18:53,18:55,19:02,19:06,19:09,19:16,19:20,19:24,19:32,19:36,19:39,19:45
3695,19:15,19:23,19:25,19:32,19:36,19:39,19:46,19:50,19:54,20:02,20:06,20:09,20:15
3699,19:45,19:53,19:55,20:02,20:06,20:09,20:16,20:20,20:24,20:32,20:36,20:39,20:45
3701,20:20,20:28,20:30,20:37,20:41,20:44,20:51,20:55,20:59,21:07,21:11,21:14,21:20
3705,20:57,21:05,21:07,21:14,21:18,21:21,21:28,21:32,21:36,21:44,21:48,21:51,21:57
3707,21:25,21:33,21:35,21:42,21:46,21:49,21:56,22:00,22:04,22:12,22:16,22:19,22:25
3711,22:10,22:18,22:20,22:27,22:31,22:34,22:41,22:45,22:49,22:57,23:01,23:04,23:10
