SERVICIO,BS-SAENZ,BS-SOLDA,BS-ILLIA,BS-LUGAN,BS-MADER,BS-FOURN,BS-TAPIA,BS-CASTE,BS-QUERA,BS-LAFER,BS-EVADU,BS-INDEP,BS-CATAN
3203,,,,,,,03:30,03:34,03:39,03:47,03:51,03:54,04:00
3007,03:51,03:59,04:01,04:08,04:12,04:15,04:22,04:26,04:30,04:38,04:42,04:45,04:51
3011,04:18,04:26,04:28,04:35,04:39,04:42,04:49,04:53,04:57,05:05,05:09,05:12,05:18
3015,04:48,04:56,04:58,05:05,05:09,05:12,05:19,05:23,05:27,05:35,05:39,05:42,05:48
3021,05:25,05:33,05:35,05:42,05:46,05:49,05:56,06:00,06:04,06:12,06:16,06:19,06:25
3025,05:57,06:05,06:07,06:14,06:18,06:21,06:28,06:32,06:36,06:44,06:48,06:51,06:57
3029,06:19,06:27,06:29,06:36,06:40,06:43,06:50,06:54,06:58,07:06,07:10,07:13,07:19
3035,06:47,06:55,06:57,07:04,07:08,07:11,07:18,07:22,07:26,07:34,07:38,07:41,07:47
3039,07:10,07:18,07:20,07:27,07:31,07:34,07:41,07:45,07:49,07:57,08:01,08:04,08:10
3043,07:30,07:38,07:40,07:47,07:51,07:54,08:01,08:05,08:09,08:17,08:21,08:24,08:30
3047,08:05,08:13,08:15,08:22,08:26,08:29,08:36,08:40,08:44,08:52,08:56,08:59,09:05
3053,08:37,08:45,08:48,08:55,08:59,09:02,09:08,09:12,09:16,09:24,09:28,09:31,09:37
3057,09:10,09:18,09:20,09:27,09:31,09:34,09:41,09:45,09:49,09:57,10:01,10:04,10:10
3061,09:35,09:43,09:45,09:52,09:56,09:59,10:06,10:10,10:14,10:22,10:26,10:29,10:35
3065,09:58,10:06,10:08,10:15,10:19,10:22,10:29,10:33,10:37,10:45,10:49,10:52,10:58
3069,10:30,10:38,10:40,10:47,10:51,10:54,11:01,11:05,11:09,11:17,11:21,11:24,11:30
3073,11:05,11:13,11:15,11:22,11:26,11:29,11:36,11:40,11:44,11:52,11:56,11:59,12:05
3079,11:35,11:43,11:45,11:52,11:56,11:59,12:06,12:10,12:14,12:22,12:26,12:29,12:35
3083,12:02,12:10,12:12,12:19,12:23,12:26,12:33,12:37,12:41,12:49,12:53,12:56,13:02
3089,12:35,12:43,12:45,12:52,12:56,12:59,13:06,13:10,13:14,13:22,13:26,13:29,13:35
3093,13:03,13:11,13:13,13:20,13:24,13:27,13:34,13:38,13:42,13:50,13:54,13:57,14:03
3097,13:28,13:36,13:38,13:45,13:49,13:52,13:59,14:03,14:07,14:15,14:19,14:22,14:28
3103,14:05,14:13,14:15,14:22,14:26,14:29,14:36,14:40,14:44,14:52,14:56,14:59,15:05
3107,14:38,14:46,14:48,14:55,14:59,15:02,15:09,15:13,15:17,15:25,15:29,15:32,15:38
3113,15:07,15:15,15:17,15:24,15:28,15:31,15:38,15:42,15:46,15:54,15:58,16:01,16:07
3117,15:33,15:41,15:43,15:50,15:54,15:57,16:04,16:08,16:12,16:20,16:24,16:27,16:33
3121,15:58,16:06,16:08,16:15,16:19,16:22,16:29,16:33,16:37,16:45,16:49,16:52,16:58
3123,16:17,16:25,16:27,16:34,16:38,16:41,16:48,16:52,16:56,17:04,17:08,17:11,17:17
3127,16:40,16:48,16:50,16:57,17:01,17:04,17:11,17:15,17:19,17:27,17:31,17:34,17:40
3131,17:03,17:11,17:13,17:20,17:24,17:27,17:34,17:38,17:42,17:50,17:54,17:57,18:03
3135,17:21,17:29,17:31,17:38,17:42,17:45,17:52,17:56,18:00,18:08,18:12,18:15,18:21
3141,17:39,17:47,17:49,17:56,18:00,18:03,18:10,18:14,18:18,18:26,18:30,18:33,18:39
3145,17:58,18:06,18:08,18:15,18:19,18:22,18:29,18:33,18:37,18:45,18:49,18:52,18:58
3149,18:19,18:27,18:29,18:36,18:40,18:43,18:50,18:54,18:58,19:06,19:10,19:13,19:19
3153,18:42,18:50,18:52,18:59,19:03,19:06,19:13,19:17,19:21,19:29,19:33,19:36,19:42
3155,19:05,19:13,19:15,19:22,19:26,19:29,19:36,19:40,19:44,19:52,19:56,19:59,20:05
3159,19:30,19:38,19:40,19:47,19:51,19:54,20:01,20:05,20:09,20:17,20:21,20:24,20:30
3163,19:54,20:02,20:04,20:11,20:15,20:18,20:25,20:29,20:33,20:41,20:45,20:48,20:54
3169,20:25,20:33,20:35,20:42,20:46,20:49,20:56,21:00,21:04,21:12,21:16,21:19,21:25
3173,20:57,21:05,21:07,21:14,21:18,21:21,21:28,21:32,21:36,21:44,21:48,21:51,21:57
3177,21:28,21:36,21:38,21:45,21:49,21:52,21:59,22:03,22:07,22:15,22:19,22:22,22:28
3183,22:05,22:13,22:15,22:22,22:26,22:29,22:36,22:40,22:44,22:52,22:56,22:59,23:05
