SERVICIO,BS-TAPIA,BS-BONZI,BS-MENDE,BS-JINGE,BS-VILLE,BS-CASAN,BS-CASTI,BS-MGOME,BS-LIBER,BS-MCGBE
4801,04:05,04:11,04:15,04:19,04:22,04:28,04:34,04:38,04:44,04:53
4807,05:00,05:06,05:10,05:14,05:17,05:23,05:29,05:33,05:39,05:48
4813,06:07,06:13,06:17,06:21,06:24,06:30,06:36,06:40,06:46,06:55
4819,07:06,07:12,07:16,07:20,07:23,07:29,07:35,07:39,07:45,07:54
4825,08:05,08:11,08:15,08:19,08:22,08:28,08:34,08:38,08:44,08:53
4831,09:05,09:11,09:15,09:19,09:22,09:28,09:34,09:38,09:44,09:53
4837,10:05,10:11,10:15,10:19,10:22,10:28,10:34,10:38,10:44,10:53
4843,11:05,11:11,11:15,11:19,11:22,11:28,11:34,11:38,11:44,11:53
4849,12:05,12:11,12:15,12:19,12:22,12:28,12:34,12:38,12:44,12:53
4855,13:05,13:11,13:15,13:19,13:22,13:28,13:34,13:38,13:44,13:53
4861,14:05,14:11,14:15,14:19,14:22,14:28,14:34,14:38,14:44,14:53
4867,15:05,15:11,15:15,15:19,15:22,15:28,15:34,15:38,15:44,15:53
4873,16:05,16:11,16:15,16:19,16:22,16:28,16:34,16:38,16:44,16:53
4879,17:05,17:11,17:15,17:19,17:22,17:28,17:34,17:38,17:44,17:53
4885,18:05,18:11,18:15,18:19,18:22,18:28,18:34,18:38,18:44,18:53
4891,19:05,19:11,19:15,19:19,19:22,19:28,19:34,19:38,19:44,19:53
4897,20:05,20:11,20:15,20:19,20:22,20:28,20:34,20:38,20:44,20:53
4903,21:08,21:14,21:18,21:22,21:25,21:31,21:37,21:41,21:47,21:56
4909,22:08,22:14,22:18,22:22,22:25,22:31,22:37,22:41,22:47,22:56
