SERVICIO,BS-TAPIA,BS-BONZI,BS-MENDE,BS-JINGE,BS-VILLE,BS-CASAN,BS-CASTI,BS-MGOME,BS-LIBER,BS-MCGBE
4201,03:13,03:19,03:23,03:27,03:30,03:36,03:42,03:46,03:52,04:01
4205,04:02,04:08,04:12,04:16,04:19,04:25,04:31,04:35,04:41,04:50
4209,04:41,04:47,04:51,04:55,04:58,05:04,05:10,05:14,05:20,05:29
4217,05:26,05:32,05:36,05:40,05:43,05:49,05:55,05:59,06:05,06:14
4223,06:08,06:14,06:18,06:22,06:25,06:31,06:37,06:41,06:47,06:56
4231,06:54,07:00,07:04,07:08,07:11,07:17,07:23,07:27,07:33,07:42
4237,07:31,07:37,07:41,07:45,07:48,07:54,08:00,08:04,08:10,08:19
4245,08:15,08:21,08:25,08:29,08:32,08:38,08:44,08:48,08:54,09:03
4251,09:00,09:06,09:10,09:14,09:17,09:23,09:29,09:33,09:39,09:48
4259,09:48,09:54,09:58,10:02,10:05,10:11,10:17,10:21,10:27,10:36
4267,10:36,10:42,10:46,10:50,10:53,10:59,11:05,11:09,11:15,11:24
4271,11:20,11:26,11:30,11:34,11:37,11:43,11:49,11:53,11:59,12:08
4277,11:59,12:05,12:09,12:13,12:16,12:22,12:28,12:32,12:38,12:47
4285,12:39,12:45,12:49,12:53,12:56,13:02,13:08,13:12,13:18,13:27
4291,13:20,13:26,13:30,13:34,13:37,13:43,13:49,13:53,13:59,14:08
4299,14:05,14:11,14:15,14:19,14:22,14:28,14:34,14:38,14:44,14:53
4305,14:48,14:54,14:58,15:02,15:05,15:11,15:17,15:21,15:27,15:36
4311,15:25,15:31,15:35,15:39,15:42,15:48,15:54,15:58,16:04,16:13
4319,16:11,16:17,16:21,16:25,16:28,16:34,16:40,16:44,16:50,16:59
4325,16:56,17:02,17:06,17:10,17:13,17:19,17:25,17:29,17:35,17:44
4333,17:42,17:48,17:52,17:56,17:59,18:05,18:11,18:15,18:21,18:30
4343,18:24,18:30,18:34,18:38,18:41,18:47,18:53,18:57,19:03,19:12
4351,19:00,19:06,19:10,19:14,19:17,19:23,19:29,19:33,19:39,19:48
4357,19:45,19:51,19:55,19:59,20:02,20:08,20:14,20:18,20:24,20:33
4365,20:32,20:38,20:42,20:46,20:49,20:55,21:01,21:05,21:11,21:20
4371,21:18,21:24,21:28,21:32,21:35,21:41,21:47,21:51,21:57,22:06
4379,22:05,22:11,22:15,22:19,22:22,22:28,22:34,22:38,22:44,22:53
