SERVICIO,BS-TAPIA,BS-BONZI,BS-MENDE,BS-JINGE,BS-VILLE,BS-CASAN,BS-CASTI,BS-MGOME,BS-LIBER,BS-MCGBE
4501,03:13,03:19,03:23,03:27,03:30,03:36,03:42,03:46,03:52,04:01
4505,04:00,04:06,04:10,04:14,04:17,04:23,04:29,04:33,04:39,04:48
4509,04:45,04:51,04:55,04:59,05:02,05:08,05:14,05:18,05:24,05:33
4517,05:27,05:33,05:37,05:41,05:44,05:50,05:56,06:00,06:06,06:15
4523,06:08,06:14,06:18,06:22,06:25,06:31,06:37,06:41,06:47,06:56
4531,06:52,06:58,07:02,07:06,07:09,07:15,07:21,07:25,07:31,07:40
4539,07:32,07:38,07:42,07:46,07:49,07:55,08:01,08:05,08:11,08:20
4545,08:17,08:23,08:27,08:31,08:34,08:40,08:46,08:50,08:56,09:05
4555,09:02,09:08,09:12,09:16,09:19,09:25,09:31,09:35,09:41,09:50
4561,09:50,09:56,10:00,10:04,10:07,10:13,10:19,10:23,10:29,10:38
4569,10:35,10:41,10:45,10:49,10:52,10:58,11:04,11:08,11:14,11:23
4573,11:16,11:22,11:26,11:30,11:33,11:39,11:45,11:49,11:55,12:04
4581,12:00,12:06,12:10,12:14,12:17,12:23,12:29,12:33,12:39,12:48
4587,12:41,12:47,12:51,12:55,12:58,13:04,13:10,13:14,13:20,13:29
4593,13:19,13:25,13:29,13:33,13:36,13:42,13:48,13:52,13:58,14:07
4601,14:04,14:10,14:14,14:18,14:21,14:27,14:33,14:37,14:43,14:52
4607,14:48,14:54,14:58,15:02,15:05,15:11,15:17,15:21,15:27,15:36
4613,15:25,15:31,15:35,15:39,15:42,15:48,15:54,15:58,16:04,16:13
4621,16:10,16:16,16:20,16:24,16:27,16:33,16:39,16:43,16:49,16:58
4625,16:57,17:03,17:07,17:11,17:14,17:20,17:26,17:30,17:36,17:45
4633,17:40,17:46,17:50,17:54,17:57,18:03,18:09,18:13,18:19,18:28
4639,18:21,18:27,18:31,18:35,18:38,18:44,18:50,18:54,19:00,19:09
4645,19:00,19:06,19:10,19:14,19:17,19:23,19:29,19:33,19:39,19:48
4653,19:45,19:51,19:55,19:59,20:02,20:08,20:14,20:18,20:24,20:33
4659,20:20,20:26,20:30,20:34,20:37,20:43,20:49,20:53,20:59,21:08
4667,21:07,21:13,21:17,21:21,21:24,21:30,21:36,21:40,21:46,21:55
4673,21:51,21:57,22:01,22:05,22:08,22:14,22:20,22:24,22:30,22:39
