SERVICIO,BS-CATAN,BS-INDEP,BS-EVADU,BS-LAFER,BS-QUERA,BS-CASTE,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3608,05:00,05:06,05:10,05:14,05:22,05:26,05:30,05:34,05:38,05:42,05:49,05:52,06:00
3612,05:32,05:38,05:42,05:46,05:54,05:58,06:02,06:06,06:10,06:14,06:21,06:24,06:32
3614,06:00,06:06,06:10,06:14,06:22,06:26,06:30,06:34,06:38,06:42,06:49,06:52,07:00
3618,06:32,06:38,06:42,06:46,06:54,06:58,07:02,07:06,07:10,07:14,07:21,07:24,07:32
3620,07:00,07:06,07:10,07:14,07:22,07:26,07:30,07:34,07:38,07:42,07:49,07:52,08:00
3624,07:30,07:36,07:40,07:44,07:52,07:56,08:00,08:04,08:08,08:12,08:19,08:22,08:30
3626,08:00,08:06,08:10,08:14,08:22,08:26,08:30,08:34,08:38,08:42,08:49,08:52,09:00
3630,08:30,08:36,08:40,08:44,08:52,08:56,09:00,09:04,09:08,09:12,09:19,09:22,09:30
3632,08:58,09:04,09:08,09:12,09:20,09:24,09:28,09:32,09:36,09:40,09:47,09:50,09:58
3636,09:30,09:36,09:40,09:44,09:52,09:56,10:00,10:04,10:08,10:12,10:19,10:22,10:30
3638,10:00,10:06,10:10,10:14,10:22,10:26,10:30,10:34,10:38,10:42,10:49,10:52,11:00
3642,10:30,10:36,10:40,10:44,10:52,10:56,11:00,11:04,11:08,11:12,11:19,11:22,11:30
3644,11:00,11:06,11:10,11:14,11:22,11:26,11:30,11:34,11:38,11:42,11:49,11:52,12:00
3648,11:30,11:36,11:40,11:44,11:52,11:56,12:00,12:04,12:08,12:12,12:19,12:22,12:30
3650,11:57,12:03,12:07,12:11,12:19,12:23,12:27,12:31,12:35,12:39,12:46,12:49,12:57
3654,12:32,12:38,12:42,12:46,12:54,12:58,13:02,13:06,13:10,13:14,13:21,13:24,13:32
3656,13:00,13:06,13:10,13:14,13:22,13:26,13:30,13:34,13:38,13:42,13:49,13:52,14:00
3660,13:30,13:36,13:40,13:44,13:52,13:56,14:00,14:04,14:08,14:12,14:19,14:22,14:30
3662,14:03,14:09,14:13,14:17,14:25,14:29,14:33,14:37,14:41,14:45,14:52,14:55,15:03
3666,14:31,14:37,14:41,14:45,14:53,14:57,15:01,15:05,15:09,15:13,15:20,15:23,15:31
3668,15:00,15:06,15:10,15:14,15:22,15:26,15:30,15:34,15:38,15:42,15:49,15:52,16:00
3672,15:30,15:36,15:40,15:44,15:52,15:56,16:00,16:04,16:08,16:12,16:19,16:22,16:30
3674,16:00,16:06,16:10,16:14,16:22,16:26,16:30,16:34,16:38,16:42,16:49,16:52,17:00
3678,16:30,16:36,16:40,16:44,16:52,16:56,17:00,17:04,17:08,17:12,17:19,17:22,17:30
3680,17:04,17:10,17:14,17:18,17:26,17:30,17:34,17:38,17:42,17:46,17:53,17:56,18:04
3684,17:31,17:37,17:41,17:45,17:53,17:57,18:01,18:05,18:09,18:13,18:20,18:23,18:31
3686,18:00,18:06,18:10,18:14,18:22,18:26,18:30,18:34,18:38,18:42,18:49,18:52,19:00
3690,18:30,18:36,18:40,18:44,18:52,18:56,19:00,19:04,19:08,19:12,19:19,19:22,19:30
3692,19:00,19:06,19:10,19:14,19:22,19:26,19:30,19:34,19:38,19:42,19:49,19:52,20:00
3696,19:30,19:36,19:40,19:44,19:52,19:56,20:00,20:04,20:08,20:12,20:19,20:22,20:30
3698,20:05,20:11,20:15,20:19,20:27,20:31,20:35,20:39,20:43,20:47,20:54,20:57,21:05
3702,20:34,20:40,20:44,20:48,20:56,21:00,21:04,21:08,21:12,21:16,21:23,21:26,21:34
3704,20:57,21:03,21:07,21:11,21:19,21:23,21:27,21:31,21:35,21:39,21:46,21:49,21:57
3708,21:34,21:40,21:44,21:48,21:56,22:00,22:04,22:08,22:12,22:16,22:23,22:26,22:34
3710,22:10,22:16,22:20,22:24,22:32,22:36,22:40,22:44,22:48,22:52,22:59,23:02,23:10
