SERVICIO,BS-CATAN,BS-INDEP,BS-EVADU,BS-LAFER,BS-QUERA,BS-CASTE,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3008,04:08,04:14,04:18,04:22,04:30,04:34,04:38,04:42,04:46,04:50,04:57,05:00,05:08
3014,04:45,04:51,04:55,04:59,05:07,05:11,05:15,05:19,05:23,05:27,05:34,05:37,05:45
3018,05:08,05:14,05:18,05:22,05:30,05:34,05:38,05:42,05:46,05:50,05:57,06:00,06:08
3022,05:35,05:41,05:45,05:49,05:57,06:01,06:05,06:09,06:13,06:17,06:24,06:27,06:35
3026,06:00,06:06,06:10,06:14,06:22,06:26,06:30,06:34,06:38,06:42,06:49,06:52,07:00
3030,06:17,06:23,06:27,06:31,06:39,06:43,06:47,06:51,06:55,06:59,07:06,07:09,07:17
3032,06:35,06:41,06:45,06:49,06:57,07:01,07:05,07:09,07:13,07:17,07:24,07:27,07:35
3036,06:53,06:59,07:03,07:07,07:15,07:19,07:23,07:27,07:31,07:35,07:42,07:45,07:53
3038,07:11,07:17,07:21,07:25,07:33,07:37,07:41,07:45,07:49,07:53,08:00,08:03,08:11
3042,07:33,07:39,07:43,07:47,07:55,07:59,08:03,08:07,08:11,08:15,08:22,08:25,08:33
3046,08:00,08:06,08:10,08:14,08:22,08:26,08:30,08:34,08:38,08:42,08:49,08:52,09:00
3050,08:23,08:29,08:33,08:37,08:45,08:49,08:53,08:57,09:01,09:05,09:12,09:15,09:23
3054,08:48,08:54,08:58,09:02,09:10,09:14,09:18,09:22,09:26,09:30,09:37,09:40,09:48
3058,09:16,09:22,09:26,09:30,09:38,09:42,09:46,09:50,09:54,09:58,10:05,10:08,10:16
3064,09:50,09:56,10:00,10:04,10:12,10:16,10:20,10:24,10:28,10:32,10:39,10:42,10:50
3068,10:20,10:26,10:30,10:34,10:42,10:46,10:50,10:54,10:58,11:02,11:09,11:12,11:20
3070,10:47,10:53,10:57,11:01,11:09,11:13,11:17,11:21,11:25,11:29,11:36,11:39,11:47
3076,11:21,11:27,11:31,11:35,11:43,11:47,11:51,11:55,11:59,12:03,12:10,12:13,12:21
3080,11:47,11:53,11:57,12:01,12:09,12:13,12:17,12:21,12:25,12:29,12:36,12:39,12:47
3086,12:17,12:23,12:27,12:31,12:39,12:43,12:47,12:51,12:55,12:59,13:06,13:09,13:17
3090,12:48,12:54,12:58,13:02,13:10,13:14,13:18,13:22,13:26,13:30,13:37,13:40,13:48
3096,13:21,13:27,13:31,13:35,13:43,13:47,13:51,13:55,13:59,14:03,14:10,14:13,14:21
3100,13:50,13:56,14:00,14:04,14:12,14:16,14:20,14:24,14:28,14:32,14:39,14:42,14:50
3104,14:15,14:21,14:25,14:29,14:37,14:41,14:45,14:49,14:53,14:57,15:04,15:07,15:15
3110,14:48,14:54,14:58,15:02,15:10,15:14,15:18,15:22,15:26,15:30,15:37,15:40,15:48
3114,15:21,15:27,15:31,15:35,15:43,15:47,15:51,15:55,15:59,16:03,16:10,16:13,16:21
3120,15:51,15:57,16:01,16:05,16:13,16:17,16:21,16:25,16:29,16:33,16:40,16:43,16:51
3124,16:19,16:25,16:29,16:33,16:41,16:45,16:49,16:53,16:57,17:01,17:08,17:11,17:19
3128,16:45,16:51,16:55,16:59,17:07,17:11,17:15,17:19,17:23,17:27,17:34,17:37,17:45
3132,17:09,17:15,17:19,17:23,17:31,17:35,17:39,17:43,17:47,17:51,17:58,18:01,18:09
3136,17:28,17:34,17:38,17:42,17:50,17:54,17:58,18:02,18:06,18:10,18:17,18:20,18:28
3142,17:52,17:58,18:02,18:06,18:14,18:18,18:22,18:26,18:30,18:34,18:41,18:44,18:52
3146,18:13,18:19,18:23,18:27,18:35,18:39,18:43,18:47,18:51,18:55,19:02,19:05,19:13
3152,18:43,18:49,18:53,18:57,19:05,19:09,19:13,19:17,19:21,19:25,19:32,19:35,19:43
3156,19:11,19:17,19:21,19:25,19:33,19:37,19:41,19:45,19:49,19:53,20:00,20:03,20:11
3162,19:45,19:51,19:55,19:59,20:07,20:11,20:15,20:19,20:23,20:27,20:34,20:37,20:45
3166,20:15,20:21,20:25,20:29,20:37,20:41,20:45,20:49,20:53,20:57,21:04,21:07,21:15
3170,20:45,20:51,20:55,20:59,21:07,21:11,21:15,21:19,21:23,21:27,21:34,21:37,21:45
3176,21:18,21:24,21:28,21:32,21:40,21:44,21:48,21:52,21:56,22:00,22:07,22:10,22:18
5112,21:37,,,,,,,,,,,,
3180,21:50,21:56,22:00,22:04,22:12,22:16,22:20,22:24,22:28,22:32,22:39,22:42,22:50
3184,22:15,22:21,22:25,22:29,22:37,22:41,22:45,22:49,22:53,22:57,23:04,23:07,23:15
