SERVICIO,BS-CATAN,BS-INDEP,BS-EVADU,BS-LAFER,BS-QUERA,BS-CASTE,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3308,04:12,04:18,04:22,04:26,04:34,04:38,04:42,04:46,04:50,04:54,05:01,05:04,05:12
3314,04:47,04:53,04:57,05:01,05:09,05:13,05:17,05:21,05:25,05:29,05:36,05:39,05:47
3318,05:10,05:16,05:20,05:24,05:32,05:36,05:40,05:44,05:48,05:52,05:59,06:02,06:10
3322,05:35,05:41,05:45,05:49,05:57,06:01,06:05,06:09,06:13,06:17,06:24,06:27,06:35
3326,05:58,06:04,06:08,06:12,06:20,06:24,06:28,06:32,06:36,06:40,06:47,06:50,06:58
3330,06:19,06:25,06:29,06:33,06:41,06:45,06:49,06:53,06:57,07:01,07:08,07:11,07:19
3334,06:41,06:47,06:51,06:55,07:03,07:07,07:11,07:15,07:19,07:23,07:30,07:33,07:41
3340,07:11,07:17,07:21,07:25,07:33,07:37,07:41,07:45,07:49,07:53,08:00,08:03,08:11
3344,07:39,07:45,07:49,07:53,08:01,08:05,08:09,08:13,08:17,08:21,08:28,08:31,08:39
3348,08:00,08:06,08:10,08:14,08:22,08:26,08:30,08:34,08:38,08:42,08:49,08:52,09:00
3352,08:28,08:34,08:38,08:42,08:50,08:54,08:58,09:02,09:06,09:10,09:17,09:20,09:28
3356,08:45,08:51,08:55,08:59,09:07,09:11,09:15,09:19,09:23,09:27,09:34,09:37,09:45
3360,09:10,09:16,09:20,09:24,09:32,09:36,09:40,09:44,09:48,09:52,09:59,10:02,10:10
3364,09:37,09:43,09:47,09:51,09:59,10:03,10:07,10:11,10:15,10:19,10:26,10:29,10:37
3368,10:03,10:09,10:13,10:17,10:25,10:29,10:33,10:37,10:41,10:45,10:52,10:55,11:03
3372,10:40,10:46,10:50,10:54,11:02,11:06,11:10,11:14,11:18,11:22,11:29,11:32,11:40
3376,11:08,11:14,11:18,11:22,11:30,11:34,11:38,11:42,11:46,11:50,11:57,12:00,12:08
3382,11:40,11:46,11:50,11:54,12:02,12:06,12:10,12:14,12:18,12:22,12:29,12:32,12:40
3386,12:09,12:15,12:19,12:23,12:31,12:35,12:39,12:43,12:47,12:51,12:58,13:01,13:09
3392,12:45,12:51,12:55,12:59,13:07,13:11,13:15,13:19,13:23,13:27,13:34,13:37,13:45
3396,13:10,13:16,13:20,13:24,13:32,13:36,13:40,13:44,13:48,13:52,13:59,14:02,14:10
3402,13:45,13:51,13:55,13:59,14:07,14:11,14:15,14:19,14:23,14:27,14:34,14:37,14:45
3406,14:15,14:21,14:25,14:29,14:37,14:41,14:45,14:49,14:53,14:57,15:04,15:07,15:15
3412,14:50,14:56,15:00,15:04,15:12,15:16,15:20,15:24,15:28,15:32,15:39,15:42,15:50
3416,15:21,15:27,15:31,15:35,15:43,15:47,15:51,15:55,15:59,16:03,16:10,16:13,16:21
3422,15:50,15:56,16:00,16:04,16:12,16:16,16:20,16:24,16:28,16:32,16:39,16:42,16:50
3426,16:19,16:25,16:29,16:33,16:41,16:45,16:49,16:53,16:57,17:01,17:08,17:11,17:19
3428,16:43,16:49,16:53,16:57,17:05,17:09,17:13,17:17,17:21,17:25,17:32,17:35,17:43
3434,17:19,17:25,17:29,17:33,17:41,17:45,17:49,17:53,17:57,18:01,18:08,18:11,18:19
3438,17:47,17:53,17:57,18:01,18:09,18:13,18:17,18:21,18:25,18:29,18:36,18:39,18:47
3442,18:15,18:21,18:25,18:29,18:37,18:41,18:45,18:49,18:53,18:57,19:04,19:07,19:15
3448,18:48,18:54,18:58,19:02,19:10,19:14,19:18,19:22,19:26,19:30,19:37,19:40,19:48
3452,19:12,19:18,19:22,19:26,19:34,19:38,19:42,19:46,19:50,19:54,20:01,20:04,20:12
3458,19:47,19:53,19:57,20:01,20:09,20:13,20:17,20:21,20:25,20:29,20:36,20:39,20:47
3462,20:16,20:22,20:26,20:30,20:38,20:42,20:46,20:50,20:54,20:58,21:05,21:08,21:16
3468,20:53,20:59,21:03,21:07,21:15,21:19,21:23,21:27,21:31,21:35,21:42,21:45,21:53
3472,21:18,21:24,21:28,21:32,21:40,21:44,21:48,21:52,21:56,22:00,22:07,22:10,22:18
3478,21:52,21:58,22:02,22:06,22:14,22:18,22:22,22:26,22:30,22:34,22:41,22:44,22:52
3480,22:15,22:21,22:25,22:29,22:37,22:41,22:45,22:49,22:53,22:57,23:04,23:07,23:15
