SERVICIO,BS-MCGBE,BS-LIBER,BS-MGOME,BS-CASTI,BS-CASAN,BS-VILLE,BS-JINGE,BS-MENDE,BS-BONZI,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3206,,,,,,,,,,04:05,04:09,04:13,04:17,04:24,04:27,04:35
4212,04:19,04:28,04:34,04:38,04:44,04:51,04:54,04:56,05:01,05:07,,,,,,
4220,05:03,05:12,05:18,05:22,05:28,05:35,05:38,05:40,05:45,05:51,,,,,,
4228,05:50,05:59,06:05,06:09,06:15,06:22,06:25,06:27,06:32,06:38,,,,,,
4234,06:30,06:39,06:45,06:49,06:55,07:02,07:05,07:07,07:12,07:18,,,,,,
4240,07:07,07:16,07:22,07:26,07:32,07:39,07:42,07:44,07:49,07:55,,,,,,
4248,07:54,08:03,08:09,08:13,08:19,08:26,08:29,08:31,08:36,08:42,,,,,,
4256,08:38,08:46,08:52,08:56,09:02,09:09,09:12,09:14,09:20,09:26,,,,,,
4262,09:25,09:34,09:40,09:44,09:50,09:57,10:00,10:02,10:07,10:13,,,,,,
4268,10:13,10:22,10:28,10:32,10:38,10:45,10:48,10:50,10:55,11:01,,,,,,
4274,10:56,11:05,11:11,11:15,11:21,11:28,11:31,11:33,11:38,11:44,,,,,,
4282,11:37,11:46,11:52,11:56,12:02,12:09,12:12,12:14,12:19,12:25,,,,,,
4288,12:18,12:27,12:33,12:37,12:43,12:50,12:53,12:55,13:00,13:06,,,,,,
4294,12:58,13:07,13:13,13:17,13:23,13:30,13:33,13:35,13:40,13:46,,,,,,
4302,13:42,13:51,13:57,14:01,14:07,14:14,14:17,14:19,14:24,14:30,,,,,,
4308,14:24,14:33,14:39,14:43,14:49,14:56,14:59,15:01,15:06,15:12,,,,,,
4316,15:10,15:19,15:25,15:29,15:35,15:42,15:45,15:47,15:52,15:58,,,,,,
4322,15:48,15:57,16:03,16:07,16:13,16:20,16:23,16:25,16:30,16:36,,,,,,
4330,16:36,16:45,16:51,16:55,17:01,17:08,17:11,17:13,17:18,17:24,,,,,,
4338,17:19,17:28,17:34,17:38,17:44,17:51,17:54,17:56,18:01,18:07,,,,,,
4348,18:02,18:11,18:17,18:21,18:27,18:34,18:37,18:39,18:44,18:50,,,,,,
4354,18:41,18:50,18:56,19:00,19:06,19:13,19:16,19:18,19:23,19:29,,,,,,
4360,19:21,19:30,19:36,19:40,19:46,19:53,19:56,19:58,20:03,20:09,,,,,,
4368,20:08,20:17,20:23,20:27,20:33,20:40,20:43,20:45,20:50,20:56,,,,,,
4374,20:54,21:03,21:09,21:13,21:19,21:26,21:29,21:31,21:36,21:42,,,,,,
4382,21:42,21:51,21:57,22:01,22:07,22:14,22:17,22:19,22:24,22:30,,,,,,
4386,22:21,22:30,22:36,22:40,22:46,22:53,22:56,22:58,23:03,23:09,,,,,,
