SERVICIO,BS-MCGBE,BS-LIBER,BS-MGOME,BS-CASTI,BS-CASAN,BS-VILLE,BS-JINGE,BS-MENDE,BS-BONZI,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3506,,,,,,,,,,04:05,04:09,04:13,04:17,04:24,04:27,04:35
4512,04:22,04:31,04:37,04:41,04:47,04:54,04:57,04:59,05:04,05:10,,,,,,
4520,05:05,05:14,05:20,05:24,05:30,05:37,05:40,05:42,05:47,05:53,,,,,,
4528,05:48,05:57,06:03,06:07,06:13,06:20,06:23,06:25,06:30,06:36,,,,,,
4536,06:30,06:39,06:45,06:49,06:55,07:02,07:05,07:07,07:12,07:18,,,,,,
4542,07:11,07:20,07:26,07:30,07:36,07:43,07:46,07:48,07:53,07:59,,,,,,
4550,07:54,08:03,08:09,08:13,08:19,08:26,08:29,08:31,08:36,08:42,,,,,,
4558,08:37,08:46,08:52,08:56,09:02,09:09,09:12,09:14,09:19,09:25,,,,,,
4566,09:27,09:36,09:42,09:46,09:52,09:59,10:02,10:04,10:09,10:15,,,,,,
4570,10:13,10:22,10:28,10:32,10:38,10:45,10:48,10:50,10:55,11:01,,,,,,
4578,10:54,11:03,11:09,11:13,11:19,11:26,11:29,11:31,11:36,11:42,,,,,,
4584,11:35,11:44,11:50,11:54,12:00,12:07,12:10,12:12,12:17,12:23,,,,,,
4590,12:18,12:27,12:33,12:37,12:43,12:50,12:53,12:55,13:00,13:06,,,,,,
4598,13:00,13:09,13:15,13:19,13:25,13:32,13:35,13:37,13:42,13:48,,,,,,
4604,13:42,13:51,13:57,14:01,14:07,14:14,14:17,14:19,14:24,14:30,,,,,,
4610,14:24,14:33,14:39,14:43,14:49,14:56,14:59,15:01,15:06,15:12,,,,,,
4618,15:10,15:19,15:25,15:29,15:35,15:42,15:45,15:47,15:52,15:58,,,,,,
4624,15:48,15:57,16:03,16:07,16:13,16:20,16:23,16:25,16:30,16:36,,,,,,
4630,16:32,16:41,16:47,16:51,16:57,17:04,17:07,17:09,17:14,17:20,,,,,,
4636,17:18,17:27,17:33,17:37,17:43,17:50,17:53,17:55,18:00,18:06,,,,,,
4644,18:02,18:11,18:17,18:21,18:27,18:34,18:37,18:39,18:44,18:50,,,,,,
4650,18:40,18:49,18:55,18:59,19:05,19:12,19:15,19:17,19:22,19:28,,,,,,
4656,19:20,19:29,19:35,19:39,19:45,19:52,19:55,19:57,20:02,20:08,,,,,,
4664,20:05,20:14,20:20,20:24,20:30,20:37,20:40,20:42,20:47,20:53,,,,,,
4670,20:43,20:52,20:58,21:02,21:08,21:15,21:18,21:20,21:25,21:31,,,,,,
4676,21:28,21:37,21:43,21:47,21:53,22:00,22:03,22:05,22:10,22:16,,,,,,
4682,22:08,22:17,22:23,22:27,22:33,22:40,22:43,22:45,22:50,22:56,,,,,,
