SERVICIO,LM-VBALL,LM-BANCA,LM-PACHE,LM-BENAV,LM-MASCH,LM-ESCOB,LM-RIOLU,LM-OTAME,LM-CAMPA,LM-KM.83,LM-ZARA
2501,02:30,02:48,02:52,03:02,03:08,03:20,03:32,03:39,03:48,03:53,04:05
9503,03:12,03:30,03:34,03:44,03:50,04:01,,,,,
2505,04:34,04:52,04:56,05:06,05:12,05:24,05:36,05:43,05:52,05:57,06:09
9507,05:30,05:48,05:52,06:02,06:08,06:19,,,,,
2509,06:30,06:48,06:52,07:02,07:08,07:20,07:32,07:39,07:48,07:53,08:05
9511,07:57,08:15,08:19,08:29,08:35,08:46,,,,,
2513,08:34,08:52,08:56,09:06,09:12,09:24,09:36,09:43,09:52,09:57,10:09
2515,10:40,10:58,11:02,11:12,11:18,11:30,11:42,11:49,11:58,12:03,12:15
9517,11:16,11:34,11:38,11:48,11:54,12:05,,,,,
2519,12:46,13:04,13:08,13:18,13:24,13:36,13:48,13:55,14:04,14:09,14:21
2521,14:51,15:09,15:13,15:23,15:29,15:41,15:53,16:00,16:09,16:14,16:26
9523,15:28,15:46,15:50,16:00,16:06,16:17,,,,,
2525,16:58,17:16,17:20,17:30,17:36,17:48,18:00,18:07,18:16,18:21,18:33
9527,18:10,18:28,18:32,18:42,18:48,18:59,,,,,
2529,19:04,19:22,19:26,19:36,19:42,19:54,20:06,20:13,20:22,20:27,20:39
2531,21:10,21:28,21:32,21:42,21:48,22:00,22:12,22:19,22:28,22:33,22:45
9533,22:22,22:40,22:44,22:54,23:00,23:11,,,,
