SERVICIO,LM-ZARAT,LM-KM.83,LM-CAMPA,LM-OTAME,LM-RIOLU,LM-ESCOB,LM-MASCH,LM-BENAV,LM-PACHE,LM-BANCA,LM-VBALL
2502,04:37,04:50,04:55,05:04,05:11,05:23,05:34,05:41,05:51,05:56,06:12
2504,06:36,06:49,06:54,07:03,07:10,07:22,07:33,07:40,07:50,07:55,08:11
2506,08:34,08:47,08:52,09:01,09:08,09:20,09:31,09:38,09:48,09:53,10:09
2508,10:34,10:47,10:52,11:01,11:08,11:20,11:31,11:38,11:48,11:53,12:09
2510,12:51,13:04,13:09,13:18,13:25,13:37,13:48,13:55,14:05,14:10,14:26
2512,14:53,15:06,15:11,15:20,15:27,15:39,15:50,15:57,16:07,16:12,16:28
2514,16:54,17:07,17:12,17:21,17:28,17:40,17:51,17:58,18:08,18:13,18:29
2516,18:54,19:07,19:12,19:21,19:28,19:40,19:51,19:58,20:08,20:13,20:29
2518,20:58,21:11,21:16,21:25,21:32,21:44,21:55,22:02,22:12,22:17,22:33
2520,23:09,23:22,23:27,23:36,23:43,23:55,00:06,00:13,00:23,00:28,00:44
