SERVICIO,LM-ZARAT,LM-KM.83,LM-CAMPA,LM-OTAME,LM-RIOLU,LM-ESCOB,LM-MASCH,LM-BENAV,LM-PACHE,LM-BANCA,LM-VBALL
9502,,,,,,04:21,04:32,04:39,04:49,04:54,05:10
2504,04:24,04:37,04:42,04:51,04:58,05:10,05:21,05:28,05:38,05:43,05:59
9506,,,,,,06:38,06:49,06:56,07:06,07:11,07:27
2508,06:28,06:41,06:46,06:55,07:02,07:14,07:25,07:32,07:42,07:47,08:03
2510,08:32,08:45,08:50,08:59,09:06,09:18,09:29,09:36,09:46,09:51,10:07
9512,,,,,,09:56,10:07,10:14,10:24,10:29,10:45
2514,10:38,10:51,10:56,11:05,11:12,11:24,11:35,11:42,11:52,11:57,12:13
9516,,,,,,12:36,12:47,12:54,13:04,13:09,13:25
2518,12:45,12:58,13:03,13:12,13:19,13:31,13:42,13:49,13:59,14:04,14:20
2520,14:51,15:04,15:09,15:18,15:25,15:37,15:48,15:55,16:05,16:10,16:26
9522,,,,,,16:48,16:59,17:06,17:16,17:21,17:37
2524,16:57,17:10,17:15,17:24,17:31,17:43,17:54,18:01,18:11,18:16,18:32
2526,19:03,19:16,19:21,19:30,19:37,19:49,20:00,20:07,20:17,20:22,20:38
9528,,,,,,20:43,20:54,21:01,21:11,21:16,21:32
2530,21:09,21:22,21:27,21:36,21:43,21:55,22:06,22:13,22:23,22:28,22:44
9532,,,,,,23:31,23:42,23:49,23:59,00:04,00:20
2534,23:15,23:28,23:33,23:42,23:49,00:01,00:12,00:19,00:29,00:34,00:50
