SERVICIO,LM_CAPIL,LM_CARDA,LM_ZELAY,LM_MATHE,LM_SAVIO,LM_GARIN,LM_CAMEL,LM_TALAR,LM_SCHWE,LM-VICTO
2002,,05:42,06:01,06:08,06:17,06:24,06:32,06:38,06:57,07:05
2004,,,,07:13,07:22,07:29,07:37,07:43,08:02,08:10
2006,,09:56,10:15,10:22,10:31,10:38,10:46,10:52,11:11,11:19
2008,,11:56,12:15,12:22,12:31,12:38,12:46,12:52,13:11,13:19
2010,,13:56,14:15,14:22,14:31,14:38,14:49,14:55,15:14,15:22
2012,,16:03,16:22,16:29,16:38,16:45,16:56,17:02,17:21,17:29
2014,,18:16,18:35,18:45,18:54,19:01,19:09,19:15,19:34,19:42
2016,,19:37,19:56,20:03,20:12,20:19,20:30,20:36,20:55,21:03
2018,,21:37,21:56,22:03,22:12,22:19,22:30,22:36,22:55,23:03
2020,,,,23:11,23:20,23:27,23:35,23:41,00:00,00:08
